"date","age_cat","n","percent"
2020-01-01,"Under 15",1,1
2020-01-01,"15 to 39",2,1
2020-01-01,"40 to 59",1,1
2020-01-01,"60+",2,1
2020-01-02,"Under 15",3,1
2020-01-02,"15 to 39",2,1
2020-01-02,"40 to 59",0,NA
2020-01-02,"60+",0,NA
2020-01-03,"Under 15",3,1
2020-01-03,"15 to 39",2,1
2020-01-03,"40 to 59",0,NA
2020-01-03,"60+",1,1
2020-01-04,"Under 15",3,1
2020-01-04,"15 to 39",0,NA
2020-01-04,"40 to 59",0,NA
2020-01-04,"60+",0,NA
2020-01-05,"Under 15",1,1
2020-01-05,"15 to 39",2,1
2020-01-05,"40 to 59",4,1
2020-01-05,"60+",1,1
2020-01-06,"Under 15",2,1
2020-01-06,"15 to 39",0,NA
2020-01-06,"40 to 59",2,1
2020-01-06,"60+",0,NA
2020-01-07,"Under 15",1,1
2020-01-07,"15 to 39",2,1
2020-01-07,"40 to 59",0,NA
2020-01-07,"60+",1,1
2020-01-08,"Under 15",1,1
2020-01-08,"15 to 39",2,1
2020-01-08,"40 to 59",0,NA
2020-01-08,"60+",0,NA
2020-01-09,"Under 15",1,1
2020-01-09,"15 to 39",0,NA
2020-01-09,"40 to 59",1,1
2020-01-09,"60+",1,1
2020-01-10,"Under 15",1,1
2020-01-10,"15 to 39",1,1
2020-01-10,"40 to 59",0,NA
2020-01-10,"60+",1,1
2020-01-11,"Under 15",1,1
2020-01-11,"15 to 39",2,1
2020-01-11,"40 to 59",3,1
2020-01-11,"60+",3,1
2020-01-12,"Under 15",3,1
2020-01-12,"15 to 39",1,1
2020-01-12,"40 to 59",1,1
2020-01-12,"60+",3,1
2020-01-13,"Under 15",1,1
2020-01-13,"15 to 39",1,1
2020-01-13,"40 to 59",1,1
2020-01-13,"60+",1,1
2020-01-14,"Under 15",0,NA
2020-01-14,"15 to 39",4,1
2020-01-14,"40 to 59",2,1
2020-01-14,"60+",5,1
2020-01-15,"Under 15",1,1
2020-01-15,"15 to 39",1,1
2020-01-15,"40 to 59",3,1
2020-01-15,"60+",3,1
2020-01-16,"Under 15",1,1
2020-01-16,"15 to 39",3,1
2020-01-16,"40 to 59",1,1
2020-01-16,"60+",0,NA
2020-01-17,"Under 15",3,1
2020-01-17,"15 to 39",2,1
2020-01-17,"40 to 59",2,1
2020-01-17,"60+",0,NA
2020-01-18,"Under 15",1,1
2020-01-18,"15 to 39",1,1
2020-01-18,"40 to 59",1,1
2020-01-18,"60+",2,1
2020-01-19,"Under 15",2,1
2020-01-19,"15 to 39",3,1
2020-01-19,"40 to 59",1,1
2020-01-19,"60+",2,1
2020-01-20,"Under 15",1,1
2020-01-20,"15 to 39",3,1
