"date","pcr_positive_all","pcr_positive_0_19","pcr_positive_20_29","pcr_positive_30_39","pcr_positive_40_49","pcr_positive_50_59","pcr_positive_60_plus"
2021-01-01,9,1,3,3,1,1,0
2021-01-02,29,6,11,6,0,4,2
2021-01-03,22,2,15,3,2,0,0
2021-01-04,26,8,4,1,7,1,5
2021-01-05,129,13,45,39,18,7,7
2021-01-06,122,22,51,26,12,5,6
2021-01-07,27,7,8,8,2,2,0
2021-01-08,184,30,74,44,23,11,2
2021-01-09,68,8,28,21,7,4,0
2021-01-10,177,31,53,39,26,19,9
2021-01-11,43,6,12,9,8,3,5
2021-01-12,17,2,7,5,2,0,1
2021-01-13,62,9,27,11,5,2,8
2021-01-14,14,0,10,1,2,0,1
2021-01-15,20,1,5,5,5,3,1
2021-01-16,12,3,4,0,4,1,0
2021-01-17,30,2,9,9,7,2,1
2021-01-18,19,0,6,4,9,0,0
2021-01-19,18,0,1,5,6,5,1
2021-01-20,8,0,3,2,2,1,0
2021-01-21,13,4,4,1,2,1,1
2021-01-22,4,0,4,0,0,0,0
2021-01-23,5,1,3,1,0,0,0
2021-01-25,13,0,8,3,0,2,0
2021-01-26,14,1,6,2,2,0,3
2021-01-27,10,2,6,2,0,0,0
2021-01-28,17,1,7,5,2,0,2
2021-01-29,1,0,0,1,0,0,0
2021-01-30,20,0,14,4,1,0,1
2021-01-31,25,1,7,7,4,4,2
2021-02-01,73,7,26,21,6,4,9
2021-02-02,141,15,49,28,17,10,22
2021-02-03,58,6,17,12,16,1,6
2021-02-04,38,12,11,6,2,5,2
2021-02-05,108,7,24,23,32,7,15
2021-02-06,122,13,57,26,15,7,4
2021-02-07,15,3,3,4,1,3,1
2021-02-08,65,7,15,14,13,9,7
2021-02-09,76,11,21,21,14,6,3
2021-02-10,72,5,29,18,12,4,4
2021-02-11,47,8,15,12,6,3,3
2021-02-12,76,27,13,18,8,4,6
2021-02-13,23,7,5,4,3,0,4
2021-02-14,2,0,1,1,0,0,0
2021-02-15,1,0,0,0,1,0,0
2021-02-16,25,2,6,6,5,3,3
2021-02-18,2,1,0,1,0,0,0
2021-02-19,3,2,0,0,0,1,0
2021-02-20,5,0,0,1,1,1,2
2021-02-22,5,0,0,3,1,1,0
2021-02-23,5,0,0,2,0,2,1
2021-02-25,2,0,1,1,0,0,0
2021-02-26,1,0,0,0,1,0,0
2021-02-28,4,0,0,2,0,1,1
2021-03-01,13,4,2,2,1,0,4
2021-03-02,4,4,0,0,0,0,0
2021-03-03,19,5,5,1,4,2,2
2021-03-04,2,0,1,0,0,0,1
2021-03-06,5,0,1,3,1,0,0
2021-03-08,1,0,0,0,0,0,1
2021-03-09,1,0,0,0,0,1,0
2021-03-10,10,2,2,4,1,1,0
2021-03-12,1,1,0,0,0,0,0
2021-03-15,14,0,5,5,3,1,0
2021-03-16,15,6,4,4,0,0,1
2021-03-17,5,2,0,2,1,0,0
2021-03-18,5,1,2,1,0,0,1
2021-03-19,7,3,0,2,1,0,1
2021-03-20,4,1,1,1,1,0,0
2021-03-21,2,0,0,2,0,0,0
2021-03-22,9,2,4,2,0,0,1
2021-03-23,2,0,0,1,1,0,0
2021-03-24,1,1,0,0,0,0,0
2021-03-26,5,3,1,0,1,0,0
2021-03-27,1,0,0,0,0,1,0
2021-03-29,1,0,0,0,0,1,0
2021-03-30,1,0,1,0,0,0,0
2021-04-01,3,0,0,3,0,0,0
2021-04-02,2,0,1,1,0,0,0
2021-04-03,6,2,2,0,1,1,0
2021-04-06,14,3,7,1,0,2,1
2021-04-14,5,1,0,1,2,0,1
2021-04-15,1,0,0,0,1,0,0
2021-04-19,2,0,1,1,0,0,0
2021-04-21,2,0,0,2,0,0,0
2021-04-25,1,0,0,0,1,0,0
2021-04-26,2,0,0,1,1,0,0
2021-04-27,1,0,0,1,0,0,0
2021-04-28,1,0,0,1,0,0,0
2021-04-29,1,0,1,0,0,0,0
2021-04-30,4,0,2,2,0,0,0
2021-05-01,4,0,2,2,0,0,0
2021-05-02,16,2,2,6,3,3,0
2021-05-04,4,0,2,0,0,1,1
2021-05-05,17,0,12,4,1,0,0
2021-05-06,3,0,1,0,1,0,1
2021-05-07,5,0,1,1,1,1,1
2021-05-08,16,2,6,3,3,1,1
2021-05-10,1,0,0,0,0,0,1
2021-05-11,6,3,2,1,0,0,0
2021-05-12,2,0,1,0,1,0,0
2021-05-16,1,0,1,0,0,0,0
2021-05-17,4,0,2,1,1,0,0
2021-05-18,9,2,3,0,1,1,2
2021-05-19,1,0,0,1,0,0,0
2021-05-20,1,1,0,0,0,0,0
2021-05-22,1,1,0,0,0,0,0
2021-05-23,1,0,1,0,0,0,0
2021-05-24,1,0,0,1,0,0,0
2021-05-25,3,0,3,0,0,0,0
2021-05-26,3,0,0,1,1,1,0
2021-05-27,1,1,0,0,0,0,0
2021-05-28,5,0,1,2,1,1,0
2021-05-29,15,3,5,1,3,3,0
2021-05-30,1,0,0,0,1,0,0
2021-05-31,16,5,3,0,4,4,0
2021-06-01,22,5,6,9,0,2,0
