"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000163418041183853,-1.05451985078447e-05,1.74997734518788e-05,-2.99955574539709e-06,1.6268078471566e-05,-4.47299851286325e-05,3.90433735719022e-05,2.43213885744884e-06,-1.32744599156501e-05,-6.89009908866547e-06,1.89903043929396e-05,-2.85910037218696e-05,-4.1405584230917e-05,1.59862189194796e-06,-2.90612238823609e-06,6.8591921914374e-06,7.79466990310968e-06,-1.53573735001907e-05,1.94411683304903e-05,-3.68178870376733e-05,2.00036678440351e-05,-4.38568603440233e-06,1.20403945225757e-05,5.53573248954707e-06,3.09599239592994e-05,-3.57627263017935e-05,6.66018580838825e-06,3.91989240376728e-05,-3.72152113761955e-05,2.24860075315109e-05,1.33037508551613e-05,-1.24898230842124e-05,-8.64776207451521e-06,6.63544957875736e-06,-4.16549876714451e-07,-1.90316622763153e-06,-1.01340521760057e-05,5.084219952316e-05,3.58947260990678e-05,-4.38271497382117e-05,-6.55606350295743e-06,1.24266589442958e-05,-1.76083586907716e-05,3.06885396995964e-05,1.16105067432616e-05,-1.46409196030427e-05,1.77284032210497e-06,-1.1804085353756e-05,-9.36773984789681e-06,-8.33480320811343e-05,-0.0112373535416275
"kabwe","beta1",-1.05451985078447e-05,5.43401745628503e-05,1.58369348246695e-05,-1.42424488091857e-05,5.41506378082567e-06,9.18142903084936e-06,-1.04367554666601e-06,1.14762236767687e-05,-1.39558592881633e-05,-6.85255895319845e-06,8.64390447679458e-06,-6.05763772479615e-06,8.00579919821868e-06,7.41595888736475e-06,3.07120052758137e-06,-4.51160861474526e-06,1.04444397349904e-05,-4.97890584561497e-06,-2.39688799362656e-06,2.19105007897916e-05,-1.61851584853618e-05,2.0461217093545e-05,-1.46755386139039e-05,-7.79210485221979e-06,9.8087091687264e-07,-6.61915025322501e-06,2.19217049646693e-05,-1.81547532539094e-05,1.57190881800292e-05,-4.6285763809964e-07,4.66163227217537e-06,-2.47600130489283e-05,2.51487042116156e-05,-3.73026894258068e-05,1.4091587174091e-05,3.11018047944188e-05,3.2018058468232e-05,-5.29095466981635e-05,1.66609808826639e-06,4.0977568588978e-05,-6.53705099838286e-05,5.05301660061566e-05,-1.72318266712019e-05,3.01677600382808e-05,-6.55425630895309e-06,-9.30448881970946e-06,7.12462169894818e-06,8.21920071447022e-06,-1.36039015543655e-05,1.4757017282282e-05,0.00809856422101749
"kabwe","beta10",1.74997734518788e-05,1.58369348246695e-05,0.0001576929188163,-6.43144527587053e-05,8.90743384876111e-06,1.26674157437121e-05,-1.17665668304939e-05,3.87698170628462e-05,-2.03697562393035e-05,-1.20694496327353e-05,-7.08185682107739e-06,6.07300902840662e-06,4.45179606392437e-06,-5.63007504579868e-06,2.20663371545489e-05,-2.58104557087668e-05,-1.84047014966974e-06,3.3793876127807e-05,-2.89662149804825e-05,2.14486254359029e-05,-2.07301560132152e-05,1.90603886364452e-05,-4.17502965384205e-05,-7.06546569986268e-05,-1.20061922705139e-05,7.34562284790245e-05,-2.20321632283235e-05,-1.64696324043737e-05,1.33663284339237e-05,-2.58055286348296e-05,2.04973017379403e-05,1.21990008474209e-05,-7.4848875843346e-05,7.24519699165714e-05,2.1235733824678e-05,-5.05181263717949e-05,-4.61606469806204e-05,9.65315345167214e-05,-2.43286025736591e-05,-6.12417189840173e-05,-1.3922884715084e-05,4.0265836996508e-05,-3.34609245806162e-05,-6.40729960256683e-05,7.58243554485514e-06,-2.05317874630431e-05,1.62168879413416e-05,4.21164100539349e-05,-0.000126981732471684,1.63146123826329e-05,-0.00720533872376812
"kabwe","beta11",-2.99955574539709e-06,-1.42424488091857e-05,-6.43144527587053e-05,7.61091484291168e-05,-4.12753158966275e-05,3.29858107259052e-06,1.12776938185335e-05,-1.95581445737892e-05,-1.79362015877256e-05,4.17272074439138e-05,4.93908448484267e-06,-7.09915013741766e-06,-3.6541881575805e-07,6.27316430639068e-06,-2.70003920397849e-05,2.4637548643112e-05,-1.16847817270534e-05,-5.9083783341019e-06,4.51958559914692e-06,-1.0316977172234e-05,2.1381294743209e-05,-1.26666731338117e-05,-8.92532727719104e-06,2.58637816554123e-05,4.27057297281495e-05,-8.69634396781155e-05,1.67132057642796e-05,2.65723908529863e-05,-4.16025448558914e-05,1.42409551680551e-05,-1.80651204434095e-05,-1.34104060897772e-05,2.23212953573591e-05,-4.85742907638828e-05,-2.91134721233383e-05,1.74401904930614e-05,-2.0042832616624e-05,-2.68783503160446e-05,-3.67691596517382e-05,1.04941078779763e-05,2.21378315131721e-06,-4.27497805541412e-05,-6.62630798453172e-06,-2.57811857511989e-05,2.99950574356369e-05,1.51709877242608e-05,-6.91429387754031e-06,-3.127567064797e-05,3.19763263439532e-05,7.57304752362436e-05,0.00423394096587171
"kabwe","beta12",1.6268078471566e-05,5.41506378082567e-06,8.90743384876111e-06,-4.12753158966275e-05,8.22337357712846e-05,-6.76546345564305e-05,2.7344046163952e-05,-1.89714857354298e-06,3.64668223235547e-06,-2.48339372844278e-05,3.91140673244218e-06,4.59819992202675e-06,-1.65627038511136e-05,-2.19097123957507e-05,2.94519909272792e-05,-9.9773669842428e-06,1.70563725426692e-05,-2.73299076418916e-05,1.98184324368585e-05,-2.10279215911848e-05,1.20465400722487e-05,-8.56179388988304e-06,3.70527754945626e-05,2.39984697283606e-06,-2.18667940969948e-05,1.04275454752926e-05,-2.16368870877464e-05,1.36648632386428e-05,-5.57896281947989e-06,1.31676530334213e-05,-1.34596787832053e-06,-7.75348080595737e-06,1.80779101578206e-05,-3.47200457547654e-05,-6.50473164490887e-06,5.66986244323332e-05,-2.45410156749312e-05,-1.80946404416784e-05,4.62754932571452e-05,5.64766207610717e-06,-1.31765833397838e-05,1.9249115649475e-05,-1.41976452573562e-05,2.62183008647506e-05,-6.67551962128397e-06,9.85444922134087e-07,9.11787325980661e-07,-2.30606131294765e-05,1.01491227244446e-05,-7.51771557440902e-05,-0.00726289010368521
"kabwe","beta13",-4.47299851286325e-05,9.18142903084936e-06,1.26674157437121e-05,3.29858107259052e-06,-6.76546345564305e-05,0.000138775438294982,-0.000115269268901335,2.10136919229599e-05,1.24431153264728e-05,1.87768250344084e-05,-1.80450242696445e-05,7.29780297222152e-07,-9.69848938725434e-06,2.34916675537786e-05,-1.36800955739666e-05,-1.51042411183699e-05,-1.14118589927322e-05,3.95226743757638e-05,-3.34683452130264e-05,4.81993675096401e-05,-2.79086075202422e-05,1.02476664235473e-05,-6.73467880911852e-06,-2.64680664585677e-05,-3.4714320655563e-05,3.94189322245433e-05,1.75572097178848e-05,-5.78200304648027e-05,7.19774342775573e-05,-4.52387416175658e-05,1.80708232068911e-05,1.24308941917522e-05,-2.02189017619949e-05,4.51052059375927e-05,1.82705644950886e-05,-2.13821882738424e-05,-3.47284921930093e-05,8.78259653383429e-05,-3.44595920318822e-05,-4.07311975556385e-05,3.6882027501295e-05,-2.4733470854324e-05,5.70705961564307e-05,-4.0766839087086e-05,-2.91986645191369e-05,9.79303133439577e-06,-6.03686986019904e-08,3.02228989068065e-05,-1.84163400148728e-05,0.000105123536640138,-0.00524542557608501
"kabwe","beta14",3.90433735719022e-05,-1.04367554666601e-06,-1.17665668304939e-05,1.12776938185335e-05,2.7344046163952e-05,-0.000115269268901335,0.000194246829021142,-6.76220943813844e-05,-2.55946825525411e-05,-3.14717075035607e-05,4.60901594905119e-05,-9.43335330391924e-06,6.49882145812451e-06,-1.56965583010916e-05,-6.73338542588692e-06,6.4629433277517e-05,-1.77292301897962e-05,-2.86113651165831e-05,2.74492954705639e-05,-4.61467395640988e-05,3.96638059819597e-05,2.88969166282611e-06,-1.33772734569755e-05,2.96637543250166e-05,7.07358353433809e-05,-9.67998135822904e-05,1.08714606284828e-05,7.31076036732707e-05,-8.45547606842081e-05,3.28612441133692e-05,-1.41009694737024e-06,-1.59999810194073e-05,6.41563874581854e-05,-7.42891093495058e-05,2.74346961449444e-05,-5.43620404083874e-05,7.24162769199256e-05,-1.75555942321502e-05,-6.68616255733512e-05,0.000104745141768087,-5.89709734884697e-05,5.27537429427598e-05,-9.05642333944804e-05,2.2697935299254e-05,2.99586804565666e-05,-3.03387930193573e-05,3.60323336894137e-05,-2.47035035836246e-05,-1.01104198586819e-05,-6.26928619239737e-05,0.0172447120798063
"kabwe","beta15",2.43213885744884e-06,1.14762236767687e-05,3.87698170628462e-05,-1.95581445737892e-05,-1.89714857354298e-06,2.10136919229599e-05,-6.76220943813844e-05,0.000110873190035242,-5.32109035351222e-05,-2.11798401067715e-05,2.79387794112425e-06,-6.67198182468297e-06,2.65608223105959e-05,1.80014519221663e-05,-2.26318420001379e-06,-2.56471905004805e-05,1.26116982077807e-06,3.20865140662106e-05,-2.45798307523409e-05,3.17651918414135e-05,-1.80361458018045e-05,1.50134293958577e-05,-1.07104024447761e-05,-2.37724400244158e-05,-5.17422537802835e-05,6.03304731166099e-05,-7.23034136004117e-06,-1.94348453734263e-05,2.48169445802944e-05,-3.20014881495517e-06,3.98271668083975e-07,3.95617376848929e-06,-2.00964739962461e-05,1.91939822816557e-05,2.11745541455991e-05,1.65847539289298e-05,-2.32214811953588e-05,1.73034871355408e-05,4.20917800717097e-05,-4.73586422325924e-05,7.93668260269592e-06,-1.07002380309047e-05,3.3056936794394e-05,1.10923306510693e-05,-1.14946975547531e-05,-1.92650442921956e-05,1.21875293215205e-05,1.51702469614765e-05,-2.24669657105228e-05,2.42272908854045e-05,0.00238692496341156
"kabwe","beta16",-1.32744599156501e-05,-1.39558592881633e-05,-2.03697562393035e-05,-1.79362015877256e-05,3.64668223235547e-06,1.24431153264728e-05,-2.55946825525411e-05,-5.32109035351222e-05,0.000140199014633002,-8.88446681221232e-05,-2.37888399110926e-05,4.72475149515668e-05,-7.40715646147896e-05,-4.97762234704304e-05,4.61741918973679e-05,-8.79633311652166e-06,3.86811315953004e-06,-1.81407201989709e-05,1.54571708659152e-05,1.48328605097681e-06,-3.62727647289365e-05,2.714059780606e-05,5.75710212596621e-06,2.59440143236018e-05,2.09947636446934e-06,3.32062326579921e-05,-6.29215097745304e-06,-1.80790658149692e-05,4.39052536061464e-05,5.07708636557924e-06,-1.20630445753364e-05,5.45453644308312e-05,2.46319684006773e-06,5.87233780430247e-05,-2.41970134186799e-05,-1.76475228992286e-06,4.91488085028834e-05,-4.64058058454285e-05,0.000109954664902546,-2.13134038061152e-05,0.00010422244739262,5.36390930401728e-06,2.54900107563343e-05,7.22142887968174e-05,-6.27184028400651e-05,1.9705705298703e-05,-1.99933081951033e-05,4.27538594933176e-05,1.18428526457151e-05,-0.000117900225292426,-0.0284640921142455
"kabwe","beta17",-6.89009908866547e-06,-6.85255895319845e-06,-1.20694496327353e-05,4.17272074439138e-05,-2.48339372844278e-05,1.87768250344084e-05,-3.14717075035607e-05,-2.11798401067715e-05,-8.88446681221232e-05,0.000269145840958078,-9.27106770069297e-05,-3.18087011764048e-05,9.3791896418959e-05,6.46932762977858e-05,-6.59998515493114e-05,-9.84086635641745e-06,8.01720765470867e-06,4.49906438769599e-06,-7.30884991632329e-06,-1.53043821575334e-05,4.5325137657001e-05,-9.88436277384641e-05,1.95204131011055e-05,1.89699919818558e-06,4.69387565586587e-05,-4.34897819385907e-05,-3.95650567349435e-06,6.27074220557883e-06,-5.82623346555358e-05,-7.40400720790047e-06,1.01825252032372e-05,-7.44517778302981e-05,-5.98863467322021e-05,-4.37855147459641e-05,-5.61947443163776e-05,6.5224987597222e-05,-6.76914066393973e-05,-4.98663924577113e-05,-8.84960886766002e-05,-2.71595331711736e-05,-0.000127509377655618,-2.85086282603819e-05,3.69486043837065e-05,-0.000162315148575433,7.06966116665457e-05,4.06933788465981e-05,-5.00298213825446e-05,-6.88927064526015e-05,3.72873843118261e-05,0.000157031922006547,0.0230345170679421
