"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000153471423184934,-2.36821881234115e-05,-5.04227529080989e-05,1.58469889099525e-05,2.43598698397553e-05,-4.47816461591497e-05,2.85716802537253e-05,-2.84957450969498e-05,-4.05564485990014e-06,2.05314943240704e-05,-2.41249660017904e-05,1.67246180907909e-05,0.000196628891095458,-1.27437984204944e-06,6.20922378570294e-06,-1.54463489624996e-05,1.97889694035748e-05,-2.68923313395299e-05,1.484752481995e-05,-4.90314032384337e-06,8.30161815391179e-06,-1.24223054586578e-05,-2.80975460464784e-05,1.0625351524016e-05,-1.46106561814888e-05,8.58583454868408e-05,-3.96967075890495e-05,-4.75530807886339e-06,6.21348875474983e-05,-6.9421944527882e-05,3.66901369942096e-05,-5.46017108494949e-05,2.16210262786001e-05,1.41242377324929e-05,6.35011372487271e-05,-6.02138893864234e-05,8.20242470350694e-05,-8.93948552608748e-05,3.13016322722971e-05,-8.83697958239166e-05,4.71468603142496e-05,-1.97131568640191e-05,-1.50241193056798e-05,-4.51847616885406e-05,-2.59842965406599e-05,5.00869110830366e-06,-1.42631736162238e-06,4.08494913776414e-05,1.31605481919044e-05,-2.74355105311784e-05,0.045412424180414
"kabwe","beta1",-2.36821881234115e-05,8.89849563829095e-05,-7.4551425822585e-06,1.99137727885824e-05,-2.39632040426099e-05,1.35384015832444e-05,-1.02427505674015e-05,1.02101190859709e-06,1.07614729513792e-05,-1.20615428728441e-05,-4.51790219679407e-06,2.96277578154104e-06,7.22543517825148e-09,-2.03530300078856e-06,2.01559607396013e-05,-4.6489954605015e-05,2.63220547540827e-05,-6.00706214531734e-06,2.38777589219117e-06,-1.66529645439294e-05,-4.53058791194442e-06,4.48002512375709e-06,5.82579502057163e-05,-2.65169666786381e-05,1.12330517614017e-05,-8.03331433353401e-05,4.1650913534398e-05,-2.17218454788529e-05,5.93509950136294e-06,1.7715283667802e-06,1.99346109008421e-05,-1.4530439101658e-05,4.87923478266305e-05,1.37435751586478e-05,-3.02842249417656e-05,-5.72445369511167e-06,-2.99824471478586e-05,6.7661521053166e-06,9.24130852709195e-05,-2.63138845489107e-06,3.86200680985356e-05,-6.0376651028326e-05,0.000112154747448967,-1.40183560839929e-05,2.19807722349828e-05,-9.35374798600392e-06,-1.22923518795416e-07,-1.26033329138501e-05,1.58172271466341e-05,-0.000107918237626741,0.0140779013850745
"kabwe","beta10",-5.04227529080989e-05,-7.4551425822585e-06,0.000129091793212632,-5.47349940034387e-05,-5.30707528276191e-06,2.6784571894556e-05,-3.61096720761599e-05,3.8278512353663e-05,-1.67866101539385e-05,3.94124952319234e-05,-2.25258694658023e-05,-1.27143861537287e-06,-0.000120181045113948,-1.12472450079829e-05,-6.55881123419608e-07,2.55812465797988e-05,-1.62153135685672e-05,8.44361309778084e-06,-1.52733696318807e-05,2.72370117122738e-05,-1.49240680023862e-05,-4.27568620730024e-06,1.11778248792709e-05,2.20429733884741e-05,3.11171684271966e-05,-4.80391868639112e-05,7.76272889179106e-06,1.06278091737965e-05,-4.09932597285065e-05,4.56365897694374e-05,-1.90728313499917e-05,3.93785241864366e-05,-2.21886179242079e-05,-2.00872294100059e-05,-5.44808652800129e-05,8.06765763067858e-05,-5.10169975334872e-05,4.96663934704402e-05,-4.8692613516703e-05,8.68705187893712e-05,-5.76704011061246e-05,6.88275022462233e-05,-9.35389900825454e-06,-2.81381490007579e-05,-3.89268607897552e-06,1.77447135085917e-06,2.87442601157203e-05,-4.40160996983217e-05,-6.81948647992824e-05,-7.39669857056205e-05,-0.0363422172498337
"kabwe","beta11",1.58469889099525e-05,1.99137727885824e-05,-5.47349940034387e-05,9.03355969255691e-05,-4.25603393990554e-05,5.32291109067132e-06,7.78210725317081e-06,-4.2345261637266e-06,2.81172704778452e-05,-6.99269564511821e-05,2.70013593169575e-05,-9.62888481786013e-06,0.000106306921980117,6.98038107957071e-06,1.45853687951434e-05,-2.52588720512927e-05,3.61583488918285e-06,1.20706438674612e-05,-7.06928406301501e-06,-6.10191594806212e-06,2.00336476525856e-06,3.65548330910497e-06,1.35784088350783e-05,-6.301542888071e-05,-1.29372167805244e-05,5.99258137659699e-06,-1.50414831432496e-05,-1.5890857038389e-07,1.60745039782906e-05,-1.46704350612691e-05,2.21711275431517e-05,-3.57922558746505e-05,3.60322091894596e-05,-3.25511333512208e-05,5.18210516467869e-05,1.49948597102051e-05,2.22816271993145e-05,-1.33954229638394e-05,-3.73224693047275e-05,3.80114622456788e-05,-2.03904840275137e-06,-6.58878775847812e-06,-5.42088558790557e-06,5.20553612796546e-05,2.60815061236101e-05,6.35266891032665e-06,-8.72357252099488e-06,-4.34302308631595e-05,1.65050473383765e-05,2.38224396005718e-05,0.0235971906808456
"kabwe","beta12",2.43598698397553e-05,-2.39632040426099e-05,-5.30707528276191e-06,-4.25603393990554e-05,0.000113205542483474,-9.01276124998952e-05,-1.3837706467525e-05,-2.42846782739851e-06,-1.69768134930673e-05,5.64112834237904e-05,-3.0727550898283e-05,2.67992392256364e-05,-8.35677474973021e-05,-1.83336629635494e-05,-4.07485441212763e-06,1.07995324952242e-05,-9.79433718527239e-06,1.53449434192482e-05,-2.65012890895511e-05,8.96714353518103e-06,-8.29869363635194e-06,7.55868777450832e-07,-3.29996760536422e-05,3.76732883297109e-05,-8.75794857310873e-06,7.4282392106994e-05,-1.07341064714768e-05,-1.5049480079777e-05,3.31912710134158e-05,-5.51814655333333e-05,9.22278064617673e-06,-1.79319151142385e-05,-1.72174476079734e-05,9.45623110064423e-05,4.16224247367088e-06,-0.000117407467621251,8.01036645862818e-05,-0.000142747723560047,0.000126474417201393,-0.000147845061112926,5.12165956364054e-05,-1.49112416104127e-05,4.95109713502898e-06,-9.60944575953042e-05,-5.64082822751625e-05,7.41088659617149e-06,-4.17909460171619e-05,0.000105992105906665,-1.4051891645228e-05,-2.03434963459506e-05,-0.0156953208957439
"kabwe","beta13",-4.47816461591497e-05,1.35384015832444e-05,2.6784571894556e-05,5.32291109067132e-06,-9.01276124998952e-05,0.000151915508547774,-7.78710769293096e-05,2.77355808220507e-05,2.17384847569724e-05,-5.01458444746166e-05,3.38684487577242e-05,-3.17285921100317e-05,8.32581320600186e-05,2.47611667800794e-05,3.7091656734395e-07,-4.91941748114744e-06,1.11149117296368e-05,-2.86225597352889e-05,4.01573940409765e-05,-1.84838018736109e-06,2.52203312024646e-05,-2.90664186771082e-05,5.57999305561474e-05,-6.14174059937469e-05,-9.11809256036253e-06,-5.13773869371137e-05,1.49342941958539e-05,-1.09525194743212e-05,-1.29104314682054e-05,4.86742143724964e-05,5.82884601068278e-06,7.9681172082159e-06,5.67147825415307e-06,-3.23181065639849e-05,6.75424820804247e-05,0.00010544099698073,-7.94219337358321e-05,7.91263070911555e-05,-3.46813508614307e-05,9.27519875686234e-05,-4.10212057853036e-05,1.15294288943997e-05,3.75879816871504e-06,9.17704960423633e-05,9.99990087195499e-06,7.07787481859182e-06,3.86226162356129e-05,-9.31972220658925e-05,-3.9477295922131e-06,-3.86909017758578e-05,0.0169976828254455
"kabwe","beta14",2.85716802537253e-05,-1.02427505674015e-05,-3.61096720761599e-05,7.78210725317081e-06,-1.3837706467525e-05,-7.78710769293096e-05,0.000177657429685422,-0.000105109083131479,7.82279797413032e-06,-8.37168393517021e-06,1.27651239136413e-05,-8.08093374218235e-06,1.1919031738152e-05,8.07567121592772e-06,-1.76190775821101e-05,2.05779703946735e-05,-1.36333864428406e-05,1.31044989080503e-05,-9.93197809915786e-08,-1.75327547180553e-05,-7.36240425535514e-06,3.83786930234769e-05,-4.8213138514247e-05,7.28137461911809e-05,1.42474240992624e-05,4.67959726491433e-06,-3.8205828881087e-05,6.75689614277014e-05,-4.0845592471806e-05,2.51147152669895e-05,-2.45947146324247e-05,2.51586278567535e-05,-1.35172284861854e-05,-5.00891569195793e-05,-7.43155678227857e-05,-8.0270096903981e-06,2.01564486041554e-05,6.3499046577239e-05,-0.000101168117812468,6.42447127588851e-05,5.76914582057836e-06,-1.13284793244394e-05,-8.28977018225247e-09,-4.04681342735471e-06,5.33211902693832e-05,-1.66393397054527e-05,4.68320692706445e-06,-7.94559137565224e-06,4.09551233064905e-05,0.000134939411231241,0.00882003942897832
"kabwe","beta15",-2.84957450969498e-05,1.02101190859709e-06,3.8278512353663e-05,-4.2345261637266e-06,-2.42846782739851e-06,2.77355808220507e-05,-0.000105109083131479,0.000139849396382847,-7.63018933761588e-05,5.35408947236839e-05,-2.40604909911328e-05,6.21898255508883e-06,-4.69235792192931e-05,-9.16203039136265e-06,1.78945182007064e-07,-1.24462405163304e-06,1.49241148819654e-05,-1.4969108530171e-05,-7.7345945403087e-06,2.64235712154071e-05,-2.77512393494821e-05,-1.23519440103699e-05,3.24913109240651e-05,-1.58020325278575e-05,-1.40235665529395e-05,-3.02982468515474e-05,4.48191837712366e-05,-3.59897632984414e-05,-5.59292090797575e-06,3.15954130992913e-06,-3.30827032173258e-05,4.37672766334946e-05,-1.63781062326178e-05,-5.70079854996375e-05,-1.31219406680951e-05,5.9969548141188e-05,-7.58863254172062e-05,7.69093816218604e-05,-6.12758939786289e-05,1.48358159843417e-05,-6.59234930328628e-05,5.19239803869526e-05,-6.38481715148129e-05,9.4392750161384e-06,-1.63666148379037e-05,-1.21998273993988e-05,1.50522172399983e-05,-4.25966348694052e-07,-3.03319756227528e-05,-4.07254397915939e-05,-0.0226014825289502
"kabwe","beta16",-4.05564485990014e-06,1.07614729513792e-05,-1.67866101539385e-05,2.81172704778452e-05,-1.69768134930673e-05,2.17384847569724e-05,7.82279797413032e-06,-7.63018933761588e-05,0.000158554689811788,-0.000157168529439315,3.38252713470833e-05,-4.2843689135052e-06,7.33397984824439e-05,-1.03432793572941e-05,3.20397302555096e-05,-1.666622051945e-06,-3.66293564043115e-05,4.21157072598523e-05,-3.86212475595681e-06,-1.94158920758011e-05,3.61690105322408e-05,4.78790898843081e-06,2.39682788393806e-06,-5.45808382654532e-05,-1.09369475965397e-05,1.76619245695497e-05,-3.17397095017492e-05,1.54840158728757e-05,3.08787487474032e-05,-2.39866892667809e-05,6.36114308916385e-05,-7.35727545141496e-05,3.72412118466741e-05,9.99057311992896e-05,3.22776789840688e-05,-9.3582722405957e-05,0.000102135770622703,-5.82656470242809e-05,5.67871702639641e-06,1.7290033253726e-05,3.9665096541061e-05,-3.14831706734422e-05,8.10399581505098e-05,6.75015506293515e-06,5.2323180530289e-06,4.10454942247828e-05,-4.2307508907746e-05,-1.21780783705905e-05,-1.34645779250158e-05,2.79588096533473e-05,0.0120193930227663
"kabwe","beta17",2.05314943240704e-05,-1.20615428728441e-05,3.94124952319234e-05,-6.99269564511821e-05,5.64112834237904e-05,-5.01458444746166e-05,-8.37168393517021e-06,5.35408947236839e-05,-0.000157168529439315,0.000264484987573978,-0.000128777876466719,3.82066648532595e-05,-0.000130183362119425,-6.62074731303549e-06,-3.35926535837909e-05,1.60112280435759e-05,2.80194232673891e-05,-4.68537195220217e-05,1.12463584803552e-05,3.61595555666519e-06,-3.25467782237263e-05,6.17301125410307e-06,1.11957426025715e-05,0.000148990481667812,-6.48925945891086e-06,-3.69119386958438e-05,6.95352930663376e-05,-2.3225329520346e-05,-3.41955390932386e-05,2.38208721484461e-05,-7.27694312751837e-05,7.93540086307975e-05,-3.84000778267378e-05,-3.45825779663592e-05,-8.5597784639837e-05,3.88934266653847e-05,-0.000119194511187126,7.47678932318338e-05,4.74768357873765e-05,-8.90125183492167e-05,2.48951565539403e-05,-2.01742697079121e-05,-4.58750856940218e-05,-4.15866716992739e-05,-4.49069370013449e-05,-5.76516851878645e-05,2.93960049840374e-05,9.75208918349533e-05,-2.62614971538682e-05,-3.85524460823012e-05,-0.0185734385130993
"kabwe","beta18",-2.41249660017904e-05,-4.51790219679407e-06,-2.25258694658023e-05,2.70013593169575e-05,-3.0727550898283e-05,3.38684487577242e-05,1.27651239136413e-05,-2.40604909911328e-05,3.38252713470833e-05,-0.000128777876466719,0.000146271166994547,-8.53904533726651e-05,6.92137279468199e-05,4.75272448662445e-05,-1.75337466865501e-05,-5.65327009793427e-06,4.32447707129811e-06,1.30126425249231e-05,-1.00556439022493e-05,1.10880499607816e-05,8.88690989616617e-06,-1.26650208367401e-05,-1.21439898583315e-05,-9.15485887022761e-05,6.8264276629873e-06,4.07748622732601e-05,-6.95136985996087e-05,3.70738687721599e-05,-1.0150435111001e-05,1.11981865271533e-05,8.89371003969591e-06,7.47988223946204e-06,-5.27181386562449e-06,-5.74172981421589e-06,7.26603829341859e-05,-1.25178507215506e-05,4.14176163372089e-05,-4.97425492390032e-05,2.63238579452399e-05,3.84182130079028e-05,-2.48342719836123e-05,2.73052791735766e-05,2.19036200940951e-05,-1.95016136441392e-05,1.99212251033089e-05,2.03989253100217e-05,1.98826578474565e-05,-8.70778072936602e-05,3.58584506498454e-05,7.77973096369727e-06,0.00905494668527002
"kabwe","beta19",1.67246180907909e-05,2.96277578154104e-06,-1.27143861537287e-06,-9.62888481786013e-06,2.67992392256364e-05,-3.17285921100317e-05,-8.08093374218235e-06,6.21898255508883e-06,-4.2843689135052e-06,3.82066648532595e-05,-8.53904533726651e-05,0.000110973233335312,-7.65807930764908e-05,-7.60322016307092e-05,3.74661701553978e-05,-1.15902362913519e-05,-3.37069367367853e-06,-1.85409562172545e-06,5.57340025565357e-06,-3.80810081940286e-06,-8.82152167625765e-06,2.40205931651595e-05,-4.85588158792174e-05,5.10804884774796e-05,4.13243478297964e-05,-2.71642464956134e-05,7.42790395006757e-05,-6.6464155738541e-05,4.52381210505739e-05,-4.13736705259514e-05,3.74135713073683e-05,-6.70411299290516e-05,2.41764761686409e-05,9.68749247845561e-06,-7.04779250325844e-05,1.15970483621179e-05,2.41629039637677e-06,1.69340546143455e-06,-5.60605985099773e-05,1.92540454248539e-06,-1.98997362339322e-06,8.66719378634302e-07,-6.70654323270414e-05,8.59739613500483e-05,1.93166961495824e-05,-1.82534005230955e-05,-2.05693416479422e-05,5.98948139722898e-05,-6.43309163979109e-06,2.56826009616461e-05,-0.0149548170633264
"kabwe","beta2",0.000196628891095458,7.22543517825148e-09,-0.000120181045113948,0.000106306921980117,-8.35677474973021e-05,8.32581320600186e-05,1.1919031738152e-05,-4.69235792192931e-05,7.33397984824439e-05,-0.000130183362119425,6.92137279468199e-05,-7.65807930764908e-05,0.00122759182864331,5.78621894654537e-05,5.83319781142743e-05,-0.000138060196889176,9.5477734662921e-05,-4.66728453746844e-05,5.4421836255791e-05,-2.94242581965432e-05,3.83480468671654e-05,-4.58598603352564e-05,0.000177386753496621,-3.7759618349119e-05,-0.000152624535891566,-1.63255424741086e-05,-9.77199953654591e-05,4.77131107650518e-05,0.000121726173170328,-0.00010619676599967,5.30583457892604e-05,-7.34894064715159e-05,0.000148578546508589,-0.000139713013302033,0.00022458625112982,-7.49671042450442e-05,0.000102369754243208,-7.17674905887734e-05,3.22691522340037e-05,-4.69025043259299e-05,1.07168211329056e-05,-1.78335561726175e-06,-4.82441216230656e-05,0.000154308938711525,5.99873305810577e-05,-6.2864935183974e-05,8.10432160830781e-05,-8.22973677484179e-05,1.39493226317033e-05,9.96405760750105e-06,0.265507668988213
