"date","district","sero_pos_all","sero_tot_all","pcr_pos_all","pcr_tot_all","deaths_all","deaths_0_14","deaths_40_59","deaths_15_39","deaths_60_plus"
2020-01-01,"kabwe",NA,NA,NA,NA,6,1,1,2,2
2020-01-02,"kabwe",NA,NA,NA,NA,5,1,NA,2,NA
2020-01-03,"kabwe",NA,NA,NA,NA,7,2,NA,2,1
2020-01-04,"kabwe",NA,NA,NA,NA,3,NA,NA,NA,NA
2020-01-05,"kabwe",NA,NA,NA,NA,8,NA,4,2,1
2020-01-06,"kabwe",NA,NA,NA,NA,4,NA,2,NA,NA
2020-01-07,"kabwe",NA,NA,NA,NA,4,NA,NA,2,1
2020-01-08,"kabwe",NA,NA,NA,NA,3,NA,NA,2,NA
2020-01-09,"kabwe",NA,NA,NA,NA,4,NA,1,NA,2
2020-01-10,"kabwe",NA,NA,NA,NA,3,NA,NA,1,1
2020-01-11,"kabwe",NA,NA,NA,NA,10,1,3,2,3
2020-01-12,"kabwe",NA,NA,NA,NA,8,1,1,1,3
2020-01-13,"kabwe",NA,NA,NA,NA,5,1,1,1,1
2020-01-14,"kabwe",NA,NA,NA,NA,11,NA,2,4,5
2020-01-15,"kabwe",NA,NA,NA,NA,8,NA,3,1,3
2020-01-16,"kabwe",NA,NA,NA,NA,6,1,1,3,NA
2020-01-17,"kabwe",NA,NA,NA,NA,7,1,2,2,NA
2020-01-18,"kabwe",NA,NA,NA,NA,5,NA,1,1,2
2020-01-19,"kabwe",NA,NA,NA,NA,9,3,1,3,2
2020-01-20,"kabwe",NA,NA,NA,NA,6,NA,1,3,1
2020-01-21,"kabwe",NA,NA,NA,NA,7,1,2,2,1
2020-01-22,"kabwe",NA,NA,NA,NA,5,1,NA,NA,3
2020-01-23,"kabwe",NA,NA,NA,NA,10,5,NA,2,2
2020-01-24,"kabwe",NA,NA,NA,NA,3,NA,NA,1,NA
2020-01-25,"kabwe",NA,NA,NA,NA,6,NA,1,2,2
2020-01-26,"kabwe",NA,NA,NA,NA,5,1,2,NA,2
2020-01-27,"kabwe",NA,NA,NA,NA,4,1,1,1,NA
2020-01-28,"kabwe",NA,NA,NA,NA,5,NA,1,3,NA
2020-01-29,"kabwe",NA,NA,NA,NA,6,NA,1,1,3
2020-01-30,"kabwe",NA,NA,NA,NA,7,NA,2,3,NA
2020-01-31,"kabwe",NA,NA,NA,NA,6,3,NA,NA,1
2020-02-01,"kabwe",NA,NA,NA,NA,4,NA,1,NA,2
2020-02-02,"kabwe",NA,NA,NA,NA,2,NA,NA,NA,NA
2020-02-03,"kabwe",NA,NA,NA,NA,8,4,1,1,2
2020-02-04,"kabwe",NA,NA,NA,NA,4,1,2,1,NA
2020-02-05,"kabwe",NA,NA,NA,NA,5,NA,2,NA,2
2020-02-06,"kabwe",NA,NA,NA,NA,8,1,1,2,3
2020-02-07,"kabwe",NA,NA,NA,NA,5,2,1,NA,1
2020-02-08,"kabwe",NA,NA,NA,NA,5,NA,1,NA,3
2020-02-09,"kabwe",NA,NA,NA,NA,4,NA,1,1,NA
2020-02-10,"kabwe",NA,NA,NA,NA,9,NA,2,2,4
2020-02-11,"kabwe",NA,NA,NA,NA,8,NA,1,1,6
2020-02-12,"kabwe",NA,NA,NA,NA,3,NA,1,NA,NA
2020-02-13,"kabwe",NA,NA,NA,NA,4,1,1,2,NA
2020-02-14,"kabwe",NA,NA,NA,NA,5,NA,NA,1,2
2020-02-15,"kabwe",NA,NA,NA,NA,6,1,NA,2,1
2020-02-16,"kabwe",NA,NA,NA,NA,7,1,1,3,NA
2020-02-17,"kabwe",NA,NA,NA,NA,12,3,4,1,4
2020-02-18,"kabwe",NA,NA,NA,NA,4,NA,NA,1,1
2020-02-19,"kabwe",NA,NA,NA,NA,4,1,NA,NA,NA
2020-02-20,"kabwe",NA,NA,NA,NA,6,2,1,1,1
2020-02-21,"kabwe",NA,NA,NA,NA,6,NA,1,1,3
2020-02-22,"kabwe",NA,NA,NA,NA,4,NA,2,NA,1
2020-02-23,"kabwe",NA,NA,NA,NA,9,2,1,2,3
2020-02-24,"kabwe",NA,NA,NA,NA,6,1,NA,1,3
2020-02-25,"kabwe",NA,NA,NA,NA,4,NA,NA,NA,2
2020-02-26,"kabwe",NA,NA,NA,NA,6,NA,1,2,2
2020-02-27,"kabwe",NA,NA,NA,NA,6,NA,2,NA,2
2020-02-28,"kabwe",NA,NA,NA,NA,8,1,2,2,3
2020-02-29,"kabwe",NA,NA,NA,NA,5,1,1,NA,2
2020-03-01,"kabwe",NA,NA,NA,NA,4,NA,1,1,1
2020-03-02,"kabwe",NA,NA,NA,NA,6,1,1,1,3
2020-03-03,"kabwe",NA,NA,NA,NA,14,NA,3,4,5
2020-03-04,"kabwe",NA,NA,NA,NA,4,1,1,NA,1
2020-03-05,"kabwe",NA,NA,NA,NA,8,NA,4,1,2
2020-03-06,"kabwe",NA,NA,NA,NA,5,2,NA,1,NA
2020-03-07,"kabwe",NA,NA,NA,NA,6,1,2,NA,2
2020-03-08,"kabwe",NA,NA,NA,NA,7,1,2,2,2
2020-03-09,"kabwe",NA,NA,NA,NA,3,NA,NA,1,NA
2020-03-10,"kabwe",NA,NA,NA,NA,12,1,3,4,3
