district,month,2017,2018,2019
solwezi,Jan,56,125,133
solwezi,Feb,38,105,91
solwezi,Mar,64,108,104
solwezi,Apr,46,111,138
solwezi,May,49,105,96
solwezi,Jun,33,109,87
solwezi,Jul,64,106,143
solwezi,Aug,45,119,139
solwezi,Sep,53,113,113
solwezi,Oct,61,132,114
solwezi,Nov,54,109,96
solwezi,Dec,56,119,130
livingstone,Jan,134,143,
livingstone,Feb,143,90,
livingstone,Mar,134,140,
livingstone,Apr,132,109,
livingstone,May,113,126,
livingstone,Jun,112,125,
livingstone,Jul,113,157,
livingstone,Aug,121,134,93
livingstone,Sep,124,130,102
livingstone,Oct,160,147,119
livingstone,Nov,141,138,117
livingstone,Dec,139,119,128
lusaka,Jan,1273,1021,867
lusaka,Feb,1300,931,1096
lusaka,Mar,1243,969,1294
lusaka,Apr,1364,950,1303
lusaka,May,1199,919,1175
lusaka,Jun,993,939,1289
lusaka,Jul,1370,1115,1165
lusaka,Aug,1256,1024,1023
lusaka,Sep,1247,930,1251
lusaka,Oct,1219,1100,1313
lusaka,Nov,898,972,1397
lusaka,Dec,1033,1316,1375
ndola,Jan,,304,288
ndola,Feb,,295,258
ndola,Mar,,304,256
ndola,Apr,,258,290
ndola,May,,301,265
ndola,Jun,325,302,246
ndola,Jul,241,312,283
ndola,Aug,324,328,288
ndola,Sep,279,287,260
ndola,Oct,421,408,353
ndola,Nov,309,289,266
ndola,Dec,327,319,216
kabwe,Jan,59,83,78
kabwe,Feb,68,86,63
kabwe,Mar,95,79,79
kabwe,Apr,87,74,83
kabwe,May,82,75,69
kabwe,Jun,90,70,61
kabwe,Jul,81,97,63
kabwe,Aug,90,93,74
kabwe,Sep,76,84,80
kabwe,Oct,118,81,64
kabwe,Nov,85,63,57
kabwe,Dec,84,63,68
