"date","region","vaccine","age_band_min","age_band_max","first_dose","second_dose","third_dose","fourth_dose","fifth_dose"
"2020-12-01","kabwe","Novavax",20,24,0,0,0,0,0
"2020-12-01","kabwe","Novavax",25,29,0,0,0,0,0
"2020-12-01","kabwe","Novavax",40,44,0,0,0,0,0
"2020-12-01","kabwe","Novavax",50,54,0,0,0,0,0
"2020-12-01","kabwe","Novavax",55,59,0,0,0,0,0
"2020-12-01","kabwe","Novavax",60,64,0,0,0,0,0
"2020-12-01","kabwe","Novavax",70,74,0,0,0,0,0
"2020-12-01","kabwe",NA,NA,NA,0,0,0,0,0
"2020-12-02","kabwe","Janssen",15,19,0,0,0,0,0
"2020-12-02","kabwe","Janssen",55,59,0,0,0,0,0
"2020-12-02","kabwe","Janssen",65,69,0,0,0,0,0
"2020-12-02","kabwe","Janssen",70,74,0,0,0,0,0
"2020-12-02","kabwe","Novavax",30,34,0,0,0,0,0
"2020-12-02","kabwe","Novavax",45,49,0,0,0,0,0
"2020-12-02","kabwe","Novavax",50,54,0,0,0,0,0
"2020-12-02","kabwe","Novavax",55,59,0,0,0,0,0
"2020-12-02","kabwe","Novavax",60,64,0,0,0,0,0
"2020-12-02","kabwe","Novavax",65,69,0,0,0,0,0
"2020-12-02","kabwe","Novavax",70,74,0,0,0,0,0
"2020-12-02","kabwe",NA,NA,NA,0,0,0,0,0
"2020-12-03","kabwe","Novavax",30,34,0,0,0,0,0
"2020-12-03","kabwe","Novavax",45,49,0,0,0,0,0
"2020-12-03","kabwe","Novavax",50,54,0,0,0,0,0
"2020-12-03","kabwe","Novavax",55,59,0,0,0,0,0
"2020-12-03","kabwe","Novavax",60,64,0,0,0,0,0
"2020-12-03","kabwe","Novavax",65,69,0,0,0,0,0
"2020-12-03","kabwe","Novavax",70,74,0,0,0,0,0
"2020-12-03","kabwe",NA,NA,NA,0,0,0,0,0
"2020-12-04","kabwe","Pfizer",50,54,0,0,0,0,0
"2020-12-04","kabwe","AZ",65,69,0,0,0,0,0
"2020-12-04","kabwe","Novavax",20,24,0,0,0,0,0
"2020-12-04","kabwe","Novavax",25,29,0,0,0,0,0
"2020-12-04","kabwe","Novavax",30,34,0,0,0,0,0
"2020-12-04","kabwe","Novavax",40,44,0,0,0,0,0
"2020-12-04","kabwe","Novavax",45,49,0,0,0,0,0
"2020-12-04","kabwe","Novavax",50,54,0,0,0,0,0
"2020-12-04","kabwe","Novavax",55,59,0,0,0,0,0
"2020-12-04","kabwe","Novavax",60,64,0,0,0,0,0
"2020-12-04","kabwe","Novavax",65,69,0,0,0,0,0
"2020-12-04","kabwe","Novavax",70,74,0,0,0,0,0
