"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000926315955117084,1.16527210575307e-05,-1.78386251673554e-05,-3.86936744776239e-05,-3.28580691928351e-07,2.17104585830209e-05,-4.41650854706121e-05,9.59211085488347e-07,-3.03447668218399e-06,-5.41718075208801e-07,-7.10144888959693e-06,-3.17965796037068e-05,-4.08621168075808e-05,-1.06247267649174e-05,-1.6453587668729e-05,-4.62477952958458e-05,4.11204961817236e-06,4.24217947099052e-05,-6.80308656522283e-05,-7.70494023059492e-05,3.85040264833826e-05,5.66627237424549e-05,-0.000156481715638505,2.77757599426637e-05,2.23357344997382e-05,-5.34217476992855e-05,-1.21752641316596e-05,-4.18744926156221e-05,-4.91223671929244e-05,0.000112789873739671,-3.30558549829757e-05,-0.000282266866675322,1.73218803058114e-05,-4.00487438235093e-05,-2.06086502876702e-05,-1.9855424223057e-06,2.60927069269488e-06,-4.60624305028334e-05,8.24782870393207e-05,0.000566570541657983,-0.00479307284141493
"kabwe","beta1",1.16527210575307e-05,0.000105297449781965,-8.38997348732618e-06,9.93183776625002e-06,-6.78891090710925e-06,-6.67243605921313e-06,3.97512443056555e-06,-1.24771299892907e-05,1.61365686399772e-05,-4.84259322499743e-06,3.41893047926233e-06,-1.72443443490226e-06,3.3902655008176e-05,6.66584378848478e-06,-2.11157280443124e-05,1.17021512083526e-05,-2.12035370295603e-06,-3.29745152163485e-06,-5.66943807780502e-06,1.57368974803572e-06,2.5455735961364e-06,-2.45745242872319e-06,3.39970127011858e-05,1.66179314076634e-05,-7.28132550935987e-05,8.9946781714034e-06,2.38166859729203e-06,-2.47626192591776e-06,-7.47538008709247e-06,-2.94126319920723e-06,-2.82903717792191e-05,-3.359722566468e-05,1.31296486759156e-05,-1.05455666878711e-05,-2.07208473552071e-05,1.94983596402558e-05,-1.24239882994897e-06,-7.02602193066334e-06,4.84249589590489e-06,7.09203891971562e-07,0.0464079583044709
"kabwe","beta10",-1.78386251673554e-05,-8.38997348732618e-06,0.000183063079617606,-0.000106959398490719,5.01204213719156e-05,-3.02010022746691e-05,7.6205886307961e-06,2.98364830361506e-06,1.61002000470126e-05,-3.23855614504523e-05,9.64499799589513e-06,6.80736847918492e-06,2.44773145096061e-05,-7.87540334038102e-06,1.9686289903766e-06,-5.28479759516863e-06,1.26017878716839e-05,-1.1520964321621e-05,1.01590661370736e-05,1.60957782490359e-06,-1.05330535170368e-07,-1.33583320708836e-05,9.64092089037745e-06,-1.10147668640082e-05,2.25292929541938e-05,5.23201690334994e-06,-2.00975828953753e-05,1.16843979315508e-05,2.2633989708588e-05,-1.56199826403462e-08,1.12254460694522e-05,-2.29677083196584e-05,-2.94876489977204e-05,9.38537872548023e-06,1.0458509380702e-05,-5.57338655422525e-06,3.63209004002323e-06,2.05154751797756e-05,-0.000128868105621275,-2.91978800807849e-05,0.00454845383934614
"kabwe","beta11",-3.86936744776239e-05,9.93183776625002e-06,-0.000106959398490719,0.000138472230315603,-8.24983926566475e-05,2.46448579028529e-05,-2.94467717591104e-06,6.66162994676234e-06,-1.72967494053853e-05,2.24999116151742e-05,-7.63772948344896e-06,-6.51333678417546e-07,-1.67931398810258e-06,2.84520231715269e-06,6.92075035153327e-06,6.00943656374146e-06,-9.13939462064029e-06,2.35377099157379e-07,-4.91413790980251e-06,1.853444510533e-05,-2.47681457261333e-05,1.58213460880363e-05,2.13119550360034e-05,-5.72530357240944e-06,-4.33056519993714e-05,3.94165999082621e-06,2.56256919529096e-05,-2.16555796125844e-05,7.61036638726336e-07,-1.50048288327521e-05,-7.74669673890992e-06,6.48481401734868e-05,1.7338854892982e-05,1.0172790186726e-05,-7.91380812561309e-06,7.4683261533506e-06,-6.60546391747382e-06,-3.3830636369795e-06,3.42481865714478e-05,-6.23121022172785e-06,0.0013558170323235
"kabwe","beta12",-3.28580691928351e-07,-6.78891090710925e-06,5.01204213719156e-05,-8.24983926566475e-05,0.000127993652936742,-9.6521406217981e-05,1.07295324334244e-05,-3.52715105433469e-06,1.98917571918846e-05,-1.58214624642649e-05,4.25212661141368e-06,1.33023296900329e-06,1.83693559445621e-05,4.92353407402519e-06,-1.27428080015357e-06,-1.97784473647753e-06,1.74299036169562e-05,-1.11660637141539e-05,8.64533244223672e-06,-1.63960630747585e-06,1.29321217832498e-05,1.71853048154086e-05,-2.3932956004565e-05,4.9044814769017e-06,3.9201589522005e-05,-5.68656368651291e-06,5.04079850473258e-06,7.73901126195883e-06,9.0177264383875e-06,3.7634646807141e-05,2.58500445649205e-05,-6.87729739169688e-05,1.18791696968441e-06,-4.52967623673945e-06,1.3834232957235e-07,-4.99044056827604e-06,2.18667239105483e-05,-1.99157332162083e-07,-3.47116070946426e-05,-6.10748787337112e-05,0.00525891635146486
"kabwe","beta13",2.17104585830209e-05,-6.67243605921313e-06,-3.02010022746691e-05,2.46448579028529e-05,-9.6521406217981e-05,0.000175062537306248,-9.51889382894459e-05,1.94180112505016e-05,-2.11173048511026e-05,1.10379821583638e-05,7.35253358105479e-06,-8.67285714248207e-06,-3.60416112904219e-05,-8.97402846282643e-07,-2.09321573098185e-06,6.47553985063338e-07,-1.71760437475346e-05,2.16685189890044e-05,-2.16377079230363e-06,-2.28680160005503e-05,1.19337293092906e-05,-1.82501375782425e-05,3.22546084839057e-06,-1.40997674276685e-05,-1.26384165412857e-05,2.25506671656832e-06,-1.92004388319948e-05,7.29129601026842e-06,5.68409132285408e-06,-5.60682362787179e-05,4.47039217902228e-05,3.91184463635765e-05,-1.45696885745233e-05,4.20424158715777e-06,2.8166720024134e-06,-2.65725075113964e-06,-1.48249780899128e-05,-2.34256686394209e-06,3.9530907755295e-05,7.04774745731826e-05,-0.0169703664474998
"kabwe","beta14",-4.41650854706121e-05,3.97512443056555e-06,7.6205886307961e-06,-2.94467717591104e-06,1.07295324334244e-05,-9.51889382894459e-05,0.000172377013997653,-0.000109398156780756,2.24500368283192e-05,7.36030206938038e-06,-3.90767444579118e-06,4.21907637859192e-06,1.64931390821113e-05,4.2632210111144e-06,-1.27978451337834e-06,4.65444565927591e-07,4.28214981327509e-06,-7.91712681554955e-06,-1.14737254316087e-07,8.64816024864846e-06,-4.28093532919886e-06,6.64456218257076e-07,5.0670206860733e-06,1.57128210247017e-06,-5.63493242258238e-06,9.35678155964539e-06,1.38368143548578e-07,9.32885775091804e-06,-3.01123266442552e-05,3.43104641606025e-05,-8.64284440706531e-05,1.94114504640632e-05,5.37353336406273e-06,-5.33070404336575e-06,8.19401735204439e-07,6.01048117028164e-06,-5.81579708053667e-06,8.43651661639854e-06,-1.33348341395514e-05,-1.14321556199359e-05,0.00507011712293303
"kabwe","beta15",9.59211085488347e-07,-1.24771299892907e-05,2.98364830361506e-06,6.66162994676234e-06,-3.52715105433469e-06,1.94180112505016e-05,-0.000109398156780756,0.000192405331666931,-0.000100188373135673,-6.32221824632296e-07,3.43811750495276e-06,1.17174141135886e-05,-1.44659901514384e-05,-1.21855371174809e-05,1.45529029602623e-05,-6.25268047189032e-06,7.14590388518357e-06,7.69670681911279e-06,-4.31618911964311e-06,1.05913046603702e-05,-1.21648514204696e-05,-2.68796957506804e-05,4.3787676147168e-05,7.31321282014664e-06,2.1075411413599e-05,-1.99534795863609e-05,-7.59190969107521e-06,5.4650013020092e-06,1.80237354448055e-05,-8.94378255736275e-06,1.10990275975308e-05,1.98872357225789e-05,-9.05755701700057e-06,1.07993768849283e-05,-7.38198590924045e-09,1.31964672448267e-06,-6.8935497084954e-06,1.2949815164789e-06,-9.05092033045237e-06,-9.02469219984755e-06,-0.00729235276775245
"kabwe","beta16",-3.03447668218399e-06,1.61365686399772e-05,1.61002000470126e-05,-1.72967494053853e-05,1.98917571918846e-05,-2.11173048511026e-05,2.24500368283192e-05,-0.000100188373135673,0.00016700902880432,-0.000115300835006806,7.99381086995921e-06,2.65808261466675e-06,1.44816741008875e-05,6.84156013720626e-06,-1.01015309659293e-05,1.02278858228662e-05,-3.59775126175077e-06,-1.50342336890691e-05,2.15220913406298e-05,-7.45947929203042e-06,1.60751967813517e-05,1.08800868445641e-05,-3.04496607241086e-05,1.08206818960397e-05,-1.59481529583187e-05,2.43617809049325e-05,1.73627245486632e-05,-1.78215813980548e-05,2.18634758417202e-05,-1.9128685717256e-06,6.19879110821679e-05,-6.38255637080798e-05,2.0251919601411e-05,-3.46534761150668e-08,-3.72246103753088e-06,-3.74298498240875e-06,1.10967618800949e-05,-1.10361884845035e-06,-2.74299181242961e-06,-2.00160448945468e-06,0.0122094058132548
"kabwe","beta17",-5.41718075208801e-07,-4.84259322499743e-06,-3.23855614504523e-05,2.24999116151742e-05,-1.58214624642649e-05,1.10379821583638e-05,7.36030206938038e-06,-6.32221824632296e-07,-0.000115300835006806,0.000239306587242787,-0.000119940615906265,1.36870022415014e-05,8.8561917814472e-06,6.69090708105997e-06,-2.87993237572491e-07,-3.60674984781218e-06,4.08612683092886e-06,1.98372337948596e-05,-2.38860608412746e-05,7.65446475061736e-06,-2.13052795810419e-05,4.75131197044087e-06,3.49737476319558e-05,-2.59450317855673e-05,8.28937363570921e-06,-1.33134005878371e-05,-1.42952765803367e-05,1.43099736395879e-05,-1.48460606703616e-05,-1.93349717531046e-05,-1.34148603705777e-05,7.81383130162672e-05,-1.79468915842858e-05,3.76864655126988e-06,1.43082331020713e-06,-6.1627942945763e-06,2.82712983900451e-06,7.44680427244026e-07,1.38804130675477e-05,-3.2167271389855e-05,-0.00504221389830958
