"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.00246375594736685,6.18213319940752e-05,1.86948597545013e-05,-7.96718246959005e-05,3.91429212900106e-05,-4.30147639667516e-05,-3.29877299543803e-05,2.06415503382933e-06,1.76981851031648e-05,-0.000108274573595596,8.19814556371595e-05,-0.000121594315266296,7.09717356586673e-06,6.98208597567955e-05,-0.000185194432243355,4.07181825076929e-05,-5.55303365544257e-05,5.5582883632386e-05,-6.95943724710931e-05,-7.51338320146224e-05,-9.19201022430143e-06,-4.59442880856122e-05,-1.25604416386424e-06,2.30185215806633e-05,-9.88387329497867e-05,5.15240745897272e-05,2.99552786815874e-05,-0.000343165420148403,0.000341299539213062,-0.000251686639128999,0.000898929471430747,-0.000449567552260121,-0.000322127013258916,-8.37027524674963e-05,-1.79298822014959e-05,5.4365825300817e-05,-2.06314836348295e-05,-3.7184130510031e-05,3.34000768161877e-05,-1.81468065626437e-05,0.0729029967124512
"kabwe","beta1",6.18213319940752e-05,2.54491342329458e-05,-5.82087931239783e-06,1.03626833717734e-07,1.71285912947161e-06,-4.5076814587857e-06,1.70018421239001e-08,-1.31200170003201e-06,1.82466708535413e-06,-1.06698903595114e-05,4.86598515384671e-06,-4.96621091504208e-06,-1.31532391865356e-06,5.55389332752512e-06,-1.47910515225275e-05,1.22340094958411e-05,-2.45163953319971e-05,2.21653631127043e-05,-2.30532909662677e-06,-1.26910292865186e-05,9.94833079569075e-06,-1.69037052983335e-05,8.61582519554732e-06,1.09236769408166e-06,-9.21866670411929e-06,1.76717350111208e-05,-1.50709741369192e-05,-9.23479381637976e-06,2.40971713375391e-05,-2.81320319786983e-05,0.000109442573130544,-3.0343212359305e-05,-4.2787681487017e-05,-9.14912965301343e-06,4.42509604855084e-06,-5.49736018767565e-06,6.72859818425427e-06,-8.392090411445e-06,8.91579755883076e-06,-2.73530132612476e-06,0.0235057692825857
"kabwe","beta10",1.86948597545013e-05,-5.82087931239783e-06,0.000110373005939557,-7.49294756587696e-05,4.18877037467681e-05,-2.00998628522335e-05,-1.58722289839184e-06,-1.07097780107573e-06,-3.7129186929388e-06,1.27928273685014e-05,-9.65264034156395e-06,-1.19167141962394e-06,-1.84505433551945e-06,-6.99531716457115e-06,2.05751125503764e-05,-3.71308838022686e-05,3.83854808924356e-05,-4.01898918430949e-05,8.29395560584339e-06,6.04023791645565e-07,-2.53039383199979e-05,1.05671980619448e-05,-8.26242521081861e-06,9.59634678875583e-07,-2.55084529860608e-05,1.65163358149439e-05,-2.37278112222003e-05,2.23412277878733e-05,-4.8475367861101e-05,-1.1491261320509e-05,-1.02723661797655e-05,-2.66966521877471e-05,1.78631167093032e-05,-5.56288944967801e-06,6.93730129873735e-06,4.02719979622123e-06,-1.41894723701147e-05,1.85934772962039e-05,-6.99948581752494e-05,3.53251914109437e-06,-0.00562070454165075
"kabwe","beta11",-7.96718246959005e-05,1.03626833717734e-07,-7.49294756587696e-05,0.000105849267177769,-8.42798585959865e-05,4.7782781222061e-05,-1.17287600808462e-05,9.65607404933087e-06,1.837283116427e-06,-7.55787556010348e-06,-5.75830836179696e-06,2.63442198040165e-05,1.76011023595667e-06,-1.54622009294889e-05,6.20546889867146e-06,2.80042025498894e-05,-2.56630041845988e-05,1.68164647141124e-05,4.59866054673344e-06,-4.42595043457377e-06,2.24679171007042e-05,-1.66953117169515e-05,4.44663206474193e-06,-2.59455393641655e-06,4.41586937565585e-05,-3.224286395216e-05,1.36773369253054e-05,-1.62111677920489e-07,2.91976651019613e-05,9.88467134272179e-06,-7.85101202877756e-05,6.36588234499279e-05,-6.14241790559508e-06,8.70796718302266e-06,-1.16300213025866e-06,-1.25932612082117e-05,9.22560657729191e-06,7.78558679850509e-06,1.67008606617426e-05,-1.48506594518118e-06,-0.00177482573400584
"kabwe","beta12",3.91429212900106e-05,1.71285912947161e-06,4.18877037467681e-05,-8.42798585959865e-05,0.000109566775159857,-8.51747540893075e-05,2.43188927484144e-05,-7.29743342853864e-06,-4.76627090145658e-06,1.00446553412646e-05,2.20066410977626e-06,-1.7427270154761e-05,-1.12740785525026e-06,9.04386523440963e-06,-1.26531927226852e-06,-2.81063519597634e-05,2.62321257376419e-05,-1.14803519183926e-05,-1.4530760300133e-06,-2.17837962917251e-06,-1.12543160753818e-05,2.10230301690617e-05,-8.41649220343185e-06,-2.36043030730858e-06,-3.78208208782964e-05,3.07781414423719e-05,-7.27368903875515e-06,7.63323839609e-06,-1.6752079324076e-05,-4.51318296248197e-05,0.000149280659960626,-6.57094761399816e-05,9.22798722615643e-06,-3.09511417736313e-06,2.0198152859132e-06,1.07995452921406e-05,-9.59763699583473e-06,-1.32077596393947e-05,-2.71274152912723e-07,9.79758894743163e-07,0.00258557048953869
"kabwe","beta13",-4.30147639667516e-05,-4.5076814587857e-06,-2.00998628522335e-05,4.7782781222061e-05,-8.51747540893075e-05,0.000124422658292982,-7.1638803094594e-05,1.80615684035558e-05,-1.4060825714056e-06,-1.99888714449628e-07,-3.21734379957783e-06,1.2541109275207e-05,-3.53157690968284e-06,-1.23828905446152e-05,1.71282015755389e-05,2.04899124399871e-05,-2.27831730266291e-05,7.39977522081514e-06,5.75454999710425e-06,4.77734734550357e-06,4.58477895849141e-06,-7.14871795428954e-06,-6.81867371359763e-07,1.23522080752922e-05,3.55521899843877e-05,-2.46992218541765e-05,7.31488154770282e-06,1.01744906111387e-06,1.9752153665885e-06,3.35049161515111e-05,-7.8031820225981e-05,4.32993854954452e-05,3.27033676009184e-06,1.17781831392162e-06,-5.38504360192263e-06,-5.126821664019e-06,2.44511057896743e-06,2.38213033651473e-05,-1.76080054277844e-05,-7.30820168689325e-07,-0.00467929705528911
"kabwe","beta14",-3.29877299543803e-05,1.70018421239001e-08,-1.58722289839184e-06,-1.17287600808462e-05,2.43188927484144e-05,-7.1638803094594e-05,0.000102638723994218,-6.51003717803367e-05,2.20214110228763e-05,-6.19206433692554e-06,9.78686075599599e-06,-7.52813825775883e-06,3.20357835447383e-06,2.0160144972126e-05,-3.14156792556647e-05,1.14739441408178e-05,4.58568164802922e-06,5.16238327965615e-06,-8.84334751394432e-06,1.08419739694069e-05,-3.9829588362216e-06,-3.32477156795611e-06,2.55994201462229e-05,-9.49001521841279e-06,-2.47104582367466e-05,2.93218025002167e-06,1.58028614439137e-05,-1.00853891229435e-05,-2.00520197419364e-06,2.65201777636814e-05,-4.62949362711627e-05,-6.23166117509252e-06,6.08857707613551e-06,-1.44586614074104e-07,6.0919801299385e-06,-1.38674571236118e-06,1.04076881492746e-05,-2.09532167116513e-05,2.05021856803132e-05,4.61819856752823e-06,-0.00153718617674823
"kabwe","beta15",2.06415503382933e-06,-1.31200170003201e-06,-1.07097780107573e-06,9.65607404933087e-06,-7.29743342853864e-06,1.80615684035558e-05,-6.51003717803367e-05,0.000103636609387261,-5.87342067651599e-05,1.7275432535327e-05,-1.39587076309232e-05,1.69457026304542e-05,-1.36635164486015e-06,-1.37064645550859e-05,2.28769551984888e-05,-7.63367636072309e-06,2.53823470290917e-06,-2.73817980750751e-06,9.20296079136332e-06,-5.95229236481058e-07,3.70566436296937e-06,6.08935309607946e-07,-8.44026704513319e-06,5.25667745256475e-06,1.86141070351166e-05,1.05511819915851e-06,-9.96422214994424e-06,1.89637030619348e-05,-5.55747966887708e-06,2.38364608279049e-05,-3.8700986737035e-05,1.16568067822147e-05,-1.86051434729392e-05,3.01789638184671e-07,6.41666817376238e-07,1.4413131888346e-07,-1.14257277167755e-05,7.97979754568196e-06,-1.5505982271261e-06,-8.77514266238683e-06,-0.00169243729850491
"kabwe","beta16",1.76981851031648e-05,1.82466708535413e-06,-3.7129186929388e-06,1.837283116427e-06,-4.76627090145658e-06,-1.4060825714056e-06,2.20214110228763e-05,-5.87342067651599e-05,8.52579884417237e-05,-8.68007235335349e-05,3.12082431881589e-05,-1.00634893050634e-05,-7.55927060708502e-07,1.51465191276646e-06,-5.86992062450856e-06,2.57527439665826e-06,-1.07032566196559e-05,1.08683227403083e-05,-4.52767439623892e-06,-1.71196315860398e-05,1.91535107738478e-05,-1.67975884392502e-05,-5.61333866865357e-06,6.79672478553125e-07,-1.00628575678331e-05,3.32131303987519e-06,2.6220409286759e-06,-1.49282870574727e-05,1.10499229127705e-05,-3.13487792487368e-05,3.72428419336962e-05,2.77720726122761e-05,9.7927341119859e-06,-6.13712070063409e-06,2.34190139914904e-06,-4.78711042011538e-06,1.28927611826909e-05,-8.76885639835004e-06,5.44886807005321e-06,-9.44896660936789e-07,0.00204761426416151
"kabwe","beta17",-0.000108274573595596,-1.06698903595114e-05,1.27928273685014e-05,-7.55787556010348e-06,1.00446553412646e-05,-1.99888714449628e-07,-6.19206433692554e-06,1.7275432535327e-05,-8.68007235335349e-05,0.000189314062096531,-0.000107947797081118,4.0429089843273e-05,3.13566307957381e-06,-1.02032136095454e-05,2.60236858648794e-05,-1.39082165848818e-05,3.5800817539574e-05,-4.50775487496204e-05,1.81034745701973e-05,3.04822821229796e-05,-5.55628723238645e-05,6.08584309045538e-05,-1.81261685300902e-05,-3.82712480214158e-06,1.79315251646624e-05,2.63835153343094e-06,-1.97372793924918e-05,3.70723501521288e-05,-3.57314657378738e-05,3.24273847060993e-05,-0.000108742193287303,-5.16644698021408e-05,3.78482277342457e-05,4.12118766006023e-06,1.21512995284832e-05,-7.17360567464108e-06,-5.2076689959392e-06,8.54149408248899e-06,-1.41806613098854e-05,9.78491205663819e-06,-0.0123184693788158
