"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","mu_D_3","p_G_D","start_date"
"kabwe","alpha_D",0.000183967623281643,8.0801855592045e-07,-1.83274933278359e-05,1.02621411956746e-05,5.30455185460522e-06,-7.70243077565612e-06,-1.86041571750418e-06,9.13825526122405e-07,1.64491458134061e-05,-9.72377216540092e-06,-9.61268483231975e-06,-4.54858402377206e-06,1.46377597880314e-05,-9.92440817374337e-06,8.62674341960805e-06,1.00528883168292e-05,6.37204485204569e-06,6.59237857905293e-06,-1.94295537650664e-05,-7.19027158170761e-06,2.3967223571826e-05,-3.01489507709292e-06,-2.32199173332811e-05,4.33226267518631e-07,1.82650236182135e-05,-2.22751938783376e-05,-2.71603980734476e-06,1.22671620001276e-05,5.36436930570604e-06,-9.39620396138428e-06,1.32253361554907e-05,-2.601031597931e-05,5.71538562377633e-06,6.64640877336295e-06,3.85994803946113e-06,-4.89665076839937e-05,7.66000014198206e-06,-8.72365789480321e-06,-9.56768672249095e-06,5.9975529465484e-06,-9.11204505096216e-07,2.41268043834103e-05,-2.74831781815988e-05,0.000103406015160529,0.000851024214805931,-6.54586125543373e-05,-2.97927429061531e-05,0.00123958166054751
"kabwe","beta1",8.0801855592045e-07,8.56104818599724e-05,-1.04166144844227e-05,8.7178710505872e-06,1.68935678475393e-06,5.83906575730185e-06,3.93859354012978e-06,-1.01885608431789e-05,4.83320789508067e-06,-3.14832466133561e-06,7.58263187734932e-06,-5.52489384258015e-06,-6.81219569477637e-06,-4.97972404156113e-06,6.36116674691402e-06,-3.59018150593317e-06,-4.84369157049046e-07,-1.31497397819152e-06,2.1184991992609e-06,-4.18472280278502e-06,3.43242819776341e-06,-1.2610967363126e-05,1.95600369499531e-05,-4.79869639717139e-06,-2.69278564913937e-06,-8.72001209295855e-07,7.2533198286908e-08,5.42550242852075e-06,-8.2893329375533e-06,6.04606875499998e-07,5.74423036726906e-06,-5.13503983958346e-06,-1.22889420752637e-05,2.33999052878949e-05,-6.42439373293427e-06,-1.755921990564e-05,1.27310045114026e-05,-3.01551608303188e-06,4.91735511430039e-07,2.9838541199987e-06,4.64830590700161e-06,-2.46356152220758e-06,-8.45806095115743e-06,3.77363324839919e-05,0.000227894364674074,-4.70644921915486e-05,-2.74421956816291e-06,0.0104783116100003
"kabwe","beta10",-1.83274933278359e-05,-1.04166144844227e-05,0.000792102964127746,-0.000130693514203031,-6.34421958044927e-05,-2.47101942783992e-05,-5.25331890908556e-05,7.90959103830447e-06,6.83660098692231e-06,-3.23219327864333e-05,-5.31660391346177e-05,0.000182915229783556,-0.000135407614850621,-4.77637848899256e-05,1.24429765013481e-05,-8.11413111571413e-07,1.44170827385915e-05,-1.28690402701566e-05,2.36564202482848e-05,5.66786362807232e-06,-9.59239882689655e-05,-3.16992186516887e-05,0.000254721714212258,-1.06386994270429e-05,1.98903248313493e-05,-6.39793150040497e-05,1.20673515247714e-05,3.86879240136802e-05,-7.8486387125308e-05,5.21016160129609e-05,-3.83413031255362e-05,5.9898403160884e-06,1.92051056376023e-05,-3.28752179023923e-05,-5.64759096385864e-05,-1.22508039762916e-06,8.03405644585325e-05,-5.48020281442411e-06,2.02004588735099e-05,-4.37436854499177e-05,5.4198287965107e-05,-0.000100176730746168,-0.000153603467852598,-0.000494553416824885,-0.00105040386541243,0.000356931226003621,6.26200158194267e-05,-0.00222920670189568
"kabwe","beta11",1.02621411956746e-05,8.7178710505872e-06,-0.000130693514203031,0.000177877102542718,-4.51388199220077e-05,-1.58827222941139e-05,1.15100881940027e-05,-7.13110587730461e-06,-1.24779525282786e-05,8.35463932063783e-06,-6.86324055274295e-07,-1.75176866738643e-05,1.04613606255926e-05,1.77005111440209e-05,-2.69346773452288e-05,1.66156985547187e-05,-2.49538860672239e-06,-9.6305186192554e-08,-6.87477315958585e-06,-6.09871942424802e-06,1.92130455241475e-05,4.28676961421e-06,-9.84536105342072e-06,-2.94282284462205e-06,-1.7586227557282e-05,-6.83716423551696e-06,1.287531301384e-05,-1.31774111941571e-05,1.53468902155375e-05,-7.84590391729142e-06,-2.90557076893396e-06,5.57371790702498e-06,-9.76127863360112e-06,2.58061038141953e-05,-1.35160411254534e-05,-3.89304789146374e-05,-1.23442858695953e-05,-4.69188650745606e-06,5.86257093939101e-06,9.16701460080608e-07,-2.52465671821106e-05,-9.3093408207964e-06,-3.6274990684629e-06,-6.3229077727677e-05,0.000149436267080609,-0.000122441514386567,-1.03007160848343e-05,-0.00168545977461842
"kabwe","beta12",5.30455185460522e-06,1.68935678475393e-06,-6.34421958044927e-05,-4.51388199220077e-05,0.000215705309843745,-0.000102708567404488,-2.33836344731546e-05,-6.39172819902312e-06,3.27765055960955e-06,-1.61950589619335e-05,1.19478019270492e-05,-1.99002699756341e-05,-7.14210648917641e-06,1.86453936597556e-05,-8.00731127279926e-06,1.25001681499713e-05,-2.42454057399393e-06,2.63765926421473e-06,-6.58727316162284e-06,2.83503926332682e-06,1.59930539032998e-05,-6.42538126237103e-06,-3.17032372167283e-05,7.26494715503722e-06,1.29737510925553e-05,-1.93461714985732e-05,2.17727134860161e-05,-3.29342782471125e-06,3.04215237372433e-06,-2.11602627843588e-06,-3.39654876160353e-06,-3.85588387716191e-06,1.84144872829706e-06,-3.45477972085929e-05,-2.90662229310982e-05,5.45919024000528e-05,-2.48090588864251e-05,-3.55192560464044e-06,-1.75180584456085e-05,-6.68610038207272e-06,1.17559576195101e-05,-1.06723118096155e-05,3.63504703835568e-06,-0.00041371051022976,0.000324275034577531,6.50079435538551e-05,1.03946921531898e-06,-0.00882271839187069
"kabwe","beta13",-7.70243077565612e-06,5.83906575730185e-06,-2.47101942783992e-05,-1.58827222941139e-05,-0.000102708567404488,0.000336063426630004,-0.000154519439463417,3.28852947906233e-05,-7.4413518889438e-06,2.73244230631821e-05,2.17179061857335e-07,-5.41582355039249e-05,7.5985378841634e-05,-2.2367536618507e-05,-1.60678147923309e-05,-1.34334563497655e-05,1.2950725660779e-05,-1.16783719434753e-05,-5.16880668168894e-06,4.87503734581876e-06,1.49735211668896e-06,1.28068457547623e-05,-5.47340917007626e-05,2.48264343521906e-06,-1.79955301027431e-05,4.37456587510646e-05,-3.22824029302804e-05,-6.3699084437995e-06,1.13240935877219e-05,-1.01787023400841e-05,1.84675323772867e-06,-5.44220927386607e-06,1.76072492718369e-05,-4.49470260654975e-05,6.81216074180251e-05,1.56692654771132e-05,-9.45291128883815e-06,1.27586058933394e-05,-1.47999354883009e-05,1.99591958473125e-05,4.9361082360364e-06,-5.53821387895074e-05,-5.50421568758331e-06,0.000652800650679474,0.000506168995269937,4.87864828754032e-05,-3.87102365434564e-05,0.0366943671780327
"kabwe","beta14",-1.86041571750418e-06,3.93859354012978e-06,-5.25331890908556e-05,1.15100881940027e-05,-2.33836344731546e-05,-0.000154519439463417,0.000334369330909314,-8.55821244909356e-05,3.35812712556647e-06,6.23471290565581e-06,1.65647363170128e-05,-7.15776409041066e-05,-1.51569117661375e-05,-1.93273510282443e-05,-4.09531945378006e-06,1.97860044860547e-05,-1.1577596944625e-05,2.73434065614397e-06,-1.52132189764314e-06,-6.73623306931666e-06,2.06590398982583e-05,-2.40481545154032e-05,1.32892274679928e-05,-2.99564613461306e-05,1.0505533042414e-05,-1.77521318354129e-05,-4.31757893408162e-07,6.23421788447951e-06,-1.11478159037369e-05,-8.44998058072566e-06,1.65360597616059e-05,-2.65736875694335e-05,-6.75526464214649e-06,-2.03327579166974e-05,8.02562758407046e-07,4.91563910983564e-05,-4.36778798762577e-07,3.83589581156823e-06,-1.52974294104101e-05,-1.42586855565781e-05,-1.56494509353307e-06,2.79465832639522e-06,1.1266089481883e-05,-4.06837063784998e-05,0.000258198012625853,-6.62356989946134e-05,2.02079599122724e-05,-0.0246589698307055
"kabwe","beta15",9.13825526122405e-07,-1.01885608431789e-05,7.90959103830447e-06,-7.13110587730461e-06,-6.39172819902312e-06,3.28852947906233e-05,-8.55821244909356e-05,0.000112287533693808,-6.11692811478859e-05,-2.13830812968654e-05,-1.06774074946127e-05,2.66722414229901e-05,2.69640792108702e-06,1.78489022341146e-05,3.27960140920842e-06,-1.07006236280458e-05,2.69586107357598e-06,2.46592491156726e-06,3.26982383021939e-06,-1.50907579766977e-05,2.88753401718041e-05,8.11015426871887e-06,-5.89594035494664e-05,6.17600860631948e-06,4.68473720101918e-06,1.51672311586774e-05,6.30637762065835e-06,-1.01448750652436e-05,2.06759939301013e-06,1.651332791037e-06,7.62207563937033e-06,-6.61416505290383e-06,-2.68892208561445e-06,2.38263531419588e-05,-4.07548532078804e-05,1.08253982880108e-05,2.85357727933509e-07,4.66262256310709e-06,3.93798060995981e-05,-5.72494288378159e-06,1.43877267711392e-06,2.31049935725388e-05,-2.16017990769606e-05,1.44692523055452e-05,-0.000317143897737424,-2.45108924614828e-05,5.00248033072496e-06,-0.000293141327615456
"kabwe","beta16",1.64491458134061e-05,4.83320789508067e-06,6.83660098692231e-06,-1.24779525282786e-05,3.27765055960955e-06,-7.4413518889438e-06,3.35812712556647e-06,-6.11692811478859e-05,0.000164702627822536,-3.41021407708553e-05,-3.29660163335615e-05,-6.31273478391285e-05,9.93612106571127e-06,-9.45377190891454e-06,9.46671673856848e-06,-2.50694924236736e-06,-1.95369815504754e-06,-3.82827382189413e-06,3.60872476590681e-06,-4.8730067418372e-07,-8.34941259055432e-06,7.96729280813023e-06,-5.84545484536548e-06,-9.3398800170141e-06,1.39411316587073e-06,1.24838884436109e-06,-1.407443874082e-05,2.36923511907988e-06,5.07940172857019e-07,3.80414936012287e-07,-5.15833818746511e-06,-6.35966546177722e-06,-1.02623661590781e-06,6.49149443299807e-06,1.1569662566575e-05,7.06471910347076e-07,-4.03238630172824e-06,1.08913680577334e-07,3.21990588547581e-06,1.41624245069754e-05,-1.30986391932184e-05,-2.35867258277037e-05,-6.78617013145155e-06,0.000383133832546489,0.000353514373481555,0.000175861609316835,-5.31633397506511e-05,0.00125765683832017
"kabwe","beta17",-9.72377216540092e-06,-3.14832466133561e-06,-3.23219327864333e-05,8.35463932063783e-06,-1.61950589619335e-05,2.73244230631821e-05,6.23471290565581e-06,-2.13830812968654e-05,-3.41021407708553e-05,0.000242512530430736,-0.000110327054312324,-0.000107964096007458,-2.34862197840231e-05,-4.64807708400278e-05,-1.10496240910847e-05,3.94569730708874e-05,-1.65895489445267e-05,4.07620674514167e-06,-2.18925260257682e-06,4.19645652000694e-07,1.8349677105831e-05,-3.20590554361839e-05,7.5897229642554e-05,-2.81245351225559e-06,-1.76992193117778e-05,-1.42904922798248e-05,7.02819623668905e-06,-1.15221536486542e-05,4.86547414135172e-06,1.32791525047762e-06,-1.59815398331751e-05,2.13269450068914e-05,3.13919737231083e-06,-1.99959082147868e-05,8.95041694713804e-06,5.57253009286243e-06,-2.94840681495372e-05,-1.18239590343009e-05,-1.28881270421818e-05,-2.51820120180578e-05,-2.95800988321322e-05,6.95717214692888e-05,3.22457106529541e-05,-0.00035740653301068,-0.000623550241963553,-4.56380145812244e-05,2.48328742162564e-05,-0.00401465707018892
