"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",0.000216197865673068,0.000818562453334436,-4.41419315646599e-05,-2.34824387836304e-05,-1.63146375766876e-05,2.23547034201668e-05,2.62307308973519e-06,1.97898877525862e-05,-4.12236240466961e-05,4.42588560208113e-05,-2.25549570292446e-05,9.3345977083333e-06,-8.67815565086388e-06,2.6223221153421e-05,-8.31338161557407e-07,-6.48023187488859e-05,2.44908272922688e-06,-3.05972185764341e-06,-6.04860796000938e-06,3.6516039120736e-05,-2.30303375219514e-06,-4.37862052200261e-06,-6.75769882696805e-06,-3.93098296751894e-06,-2.47744484213753e-06,7.13089914897774e-06,-7.57500810242907e-06,-6.36566202984707e-06,-1.1870977557712e-05,-1.16572108827874e-05,2.08628082320961e-05,-5.2375926473965e-05,2.68545670454236e-05,-5.48974387191567e-05,5.56438643366363e-06,8.73611559153292e-06,-2.05592903357668e-05,2.03502868994732e-05,-2.3933182130658e-05,-2.76964210887504e-05,0.000600472035849544,-0.000444468803886195,5.90233725775505e-05,-0.000127559245371417,-6.6039652880318e-05,-0.000967438519544512,8.6246663519417e-05,-0.000223474016231282,0.000299146937627255,-0.000180246463963621,-0.000151765003868981,-2.24481261642239e-05,0.000238566064800922,-1.62304820638683e-06,9.70185244669972e-05,0.000161857539122338,-0.000168392673032226,-1.57622559099391e-06,-1.09189342883251e-06,-1.67125777658138e-06,1.84935015202362e-06,-4.71659622774004e-06,-7.21335503207214e-07,-3.08797695877085e-06,-2.21810136053132e-06,-3.52160785099131e-07,-2.05828923413828e-06,0.000487833690530164,0.000727806306506604,-0.000196892265443288,9.37950771902313e-05,0.000595526961947314,-0.000145939188008285,8.62345650611447e-05,-0.000456894444692793,-0.00136117445673168,0.000139330097893001,3.26187158635319e-06,-0.0148155863988118,0.00331937610549331,0.0025791702512575,-0.0128336579350358,-0.000225851606482141,0.000125710415907825,0.00025064042327063
"east_of_england","alpha_D",0.000818562453334436,0.0105098896649133,0.000227219198229063,-6.22013967931763e-05,8.54280308359138e-06,0.000172989472186533,-0.000119929737751012,0.000153789197607995,-0.000324061919770313,0.000393109658720982,-0.000208334332752457,5.69198264664958e-05,-6.40769398192247e-05,0.000233432392188924,-0.000134245871756797,0.000469791976781491,3.4012784928944e-05,-8.27407799358452e-05,5.85673416518664e-05,0.000182555900918924,-0.000150681861544758,3.98151338937666e-05,-0.000164729321992492,-6.54718550427437e-05,-2.56136116176586e-05,-3.57255816349173e-05,-5.06134445845976e-05,-0.000126258554335484,-0.000137598347093713,-0.000120831385342093,4.3862596931038e-05,-0.000370116154093817,0.000296201338278572,-0.000952109044486569,-1.43251744871894e-05,8.39874261393547e-05,-0.000103191965887993,0.000135392543268503,-0.000224206206987688,-0.000162247673648192,0.00205028234204092,-0.0047064609964229,-0.00309196061118439,0.000642728969864751,-0.00230554796684772,-0.00414730955281877,0.000882097146495187,-0.00080875362409263,0.00226180621746393,-0.000769262821299984,-0.00118937002845781,0.00110661923567484,0.00209321825584565,0.00185197884142733,0.00102087916246431,0.00070709354871174,0.000529084592422456,-1.52351633011724e-05,-1.97795201850249e-05,-1.91199394540941e-05,3.92141785951827e-06,-4.55484682421073e-05,-7.34553536844932e-06,-2.61027204095052e-05,-1.66011247700431e-05,-1.15361517730196e-06,-1.55833504708428e-05,-0.00424455887728485,0.00939348018869479,-0.00250836772331548,-0.00207805585500828,0.00467086641773201,-0.000707213076229849,-0.000714125028470588,-0.00469470903512062,-0.00523924565790852,0.000492723964075795,2.01727193398735e-05,-0.152163082299214,-0.0440961941285652,-0.00218013792180897,0.0260871174774744,-0.00212181575322849,0.00172313924547024,0.00217131939130376
"east_of_england","alpha_death_hosp",-4.41419315646599e-05,0.000227219198229063,0.000452176046043854,-4.72323975739537e-07,-2.98788626233709e-05,-1.93178131240287e-05,-1.83135025163835e-05,2.68620251959424e-05,-2.41722001114338e-05,5.3910814652845e-05,-1.11823748383477e-05,1.17483627273457e-05,5.08032419901394e-07,2.77630564396835e-05,-8.72073223715627e-06,0.0001050276323786,2.82445545622586e-05,1.54491252241154e-05,-5.58827268565234e-06,6.35898292262938e-05,4.61305875009292e-06,3.29036226061088e-05,1.16222337465937e-05,1.64664792478133e-05,5.24331546073153e-05,1.78769601625813e-05,3.32432352200972e-06,2.81060920448784e-05,2.43462220563762e-05,3.74589415880025e-05,-1.39561139483586e-05,4.80328077158274e-05,-2.83622435324056e-05,0.000135504444853253,-1.56337442068982e-05,4.01052937951956e-05,-2.69918599961307e-05,-4.87151886580327e-06,-1.1021316061212e-05,4.60306690121723e-05,0.000640515467627093,-0.000483264875957324,0.000332935092373871,0.000564726759090164,0.000232636910892786,-0.001676162164679,0.000602364989549622,0.000351938476313373,-0.000159295353568623,9.5616215803166e-05,5.46670967905384e-05,2.23377364434759e-05,6.16557135005967e-05,-0.000344915983231407,-0.000134056919529799,0.000117838720093392,-0.000451009521651175,1.05724390370135e-06,1.22971198827216e-06,-5.35578152415972e-06,2.25318489226428e-08,-3.73231408763988e-06,-5.47292615638971e-07,2.48261527035171e-07,7.12966386547796e-07,2.41383560268609e-07,-2.77935732702733e-07,0.00251540029230113,-0.0001831713445971,-0.000106070785522657,-0.000364796691856338,0.0011424035292888,-0.000614104630272432,-0.000317630536528692,-0.000774325810915292,4.53344295420844e-07,0.000157519294482626,-2.02153562394891e-06,-0.0294660987848271,-0.0253318766912796,0.000909412074004974,-0.0091924956088167,-0.000540153723393804,-0.000519649761943583,0.000103525089399799
"east_of_england","alpha_H",-2.34824387836304e-05,-6.22013967931763e-05,-4.72323975739537e-07,1.56115390680951e-05,-7.86844680563388e-06,-6.19768462984568e-06,1.04895927734539e-05,-5.65234063101111e-06,5.3055633884057e-06,-6.62198742038398e-06,2.5743831630481e-06,-1.30880345816793e-06,1.19977019699399e-06,-4.18344379982902e-06,3.98642823800421e-06,1.15560486089643e-05,-2.69270996667757e-06,-5.45701610052001e-09,-3.04728509567983e-06,-2.76002590916978e-06,-1.85378773904517e-06,-5.05665266522409e-07,-1.17797468152801e-06,3.19301629578846e-06,-7.1499876773856e-06,-8.73819312794136e-08,-2.0303119978649e-06,-2.98197917470981e-06,3.18462430631673e-07,4.15111251383315e-06,-3.66012515502959e-06,7.28763716989074e-06,-2.28727138144278e-06,4.29179072543196e-06,2.69853450814281e-06,-7.31077121036835e-06,6.80063112854028e-06,-1.48355346652244e-06,-3.03528695265535e-06,5.99486780688893e-06,6.69791567468332e-05,-2.10249579862607e-05,4.02085360626951e-05,4.40708094742942e-05,-0.000122243289018607,2.45391218356695e-05,7.90385193477014e-05,2.66696940260629e-05,-3.22754252206999e-05,-2.05905116926109e-05,-2.04340936181487e-06,2.71612252673686e-05,-3.12143309626575e-05,-1.32946910828451e-05,-3.33274787830865e-05,-1.47023435372531e-05,-4.18799730926542e-05,2.29805749385591e-07,2.43315671157248e-07,3.95695943748956e-08,-1.82710448176228e-07,-1.02464126297649e-08,1.94999101008901e-07,1.57873644668317e-07,-2.88437234060984e-08,2.7240955397853e-08,8.72457880340152e-08,-0.000199736083333853,0.000107126696135208,-7.52892568250751e-05,0.000290777136671041,-0.00038204083033204,0.000184065195010628,-3.42051172139754e-05,0.000132468808210204,-0.000103939499797124,-7.89503202613037e-06,-5.68050425765504e-07,0.00290868731983554,0.00395077006992149,-0.000361566317016446,-0.00251914613372104,2.4054221796459e-05,4.40736319640299e-05,-7.20465934545816e-05
"east_of_england","beta1",-1.63146375766876e-05,8.54280308359138e-06,-2.98788626233709e-05,-7.86844680563388e-06,1.94268846347754e-05,4.02239830632121e-06,-1.16531069506999e-05,3.31620595371315e-07,2.29100499900172e-06,-4.97513628867947e-06,-6.30638952724869e-07,-2.12928744646456e-06,-3.4326432672579e-07,-4.29500282417228e-06,-5.27725821658199e-06,-1.27024246913175e-05,-1.73363513848334e-06,-3.68756706215888e-06,7.6349334555457e-07,-9.22446509433288e-06,-2.45058575773486e-06,-3.27112233972884e-06,-1.85029549254306e-06,-7.54473996383044e-06,-2.6400885792199e-07,-7.53581853359367e-06,4.11536101559682e-06,-2.75898775176029e-06,-4.83422476467198e-06,-6.71608406584377e-06,-2.09692591918741e-06,-3.24464951990414e-06,-1.12231398839761e-06,-1.44715577659171e-05,-3.60068797474754e-06,2.70461349830419e-06,-1.73718319750085e-06,9.02208810913889e-07,2.00833031560156e-06,-3.27805990289359e-06,-0.000236778386131654,0.00013045057692083,-0.000213990018824625,-5.70489994228913e-05,1.16074847979958e-05,0.000422699056056122,-0.000148338822115576,-3.32887647947646e-05,2.48390074956835e-05,4.01396098786659e-05,1.91700558079644e-05,3.3287815967878e-05,-1.28465268504766e-06,7.78119198687469e-05,4.39757413076867e-05,-3.78168228131424e-05,0.000148541937616772,-1.55299759996085e-07,-3.79652600768774e-07,7.53860999318109e-07,-2.67439932712546e-07,1.02922185866942e-06,-1.68865111109042e-07,2.1365063566254e-08,2.79136426136294e-07,6.68474060339528e-09,2.10761207141709e-07,-0.00040896604345354,-1.52822214815298e-05,0.000101787429580916,-0.00023791515267272,4.81690267054785e-05,-8.62442646519328e-05,3.10565722895768e-05,1.38492025798897e-05,0.000404711126821935,-5.22039622159063e-05,1.886888985587e-07,0.00339337031226553,-0.00112009687103172,-0.000818739504116116,0.00900727233801402,8.85585471883019e-05,4.10344223956708e-05,1.73308416888752e-05
"east_of_england","beta10",2.23547034201668e-05,0.000172989472186533,-1.93178131240287e-05,-6.19768462984568e-06,4.02239830632121e-06,1.03293010891109e-05,-7.8974174790675e-06,2.54985477491108e-06,-3.64738922517962e-06,2.43913300090058e-06,-1.3617547756967e-06,4.04729587801924e-07,-1.56184786073118e-06,5.34804267983526e-06,-3.93118860505582e-06,1.87019094962456e-05,-3.6823316314328e-07,-3.32227929174344e-06,3.19380653900784e-06,-4.08236212222247e-06,-3.05529767337185e-06,-2.65133913066137e-06,-3.1480030254042e-06,-1.92512921499582e-06,-5.69819631786472e-06,-1.48032893087832e-06,-1.17200410285597e-06,-4.64040699788819e-06,-4.41810803904918e-06,-5.67640347120899e-06,3.05373784084952e-07,-1.09534667359742e-05,9.85192073017858e-06,-3.60470395902402e-05,9.66278616133807e-07,-1.62253302294564e-06,9.4439186196193e-07,1.81910823377564e-06,1.494832393773e-06,-1.2588957383729e-05,-6.6566489392195e-05,-7.03296918055429e-05,-8.19069992205391e-05,-5.66611065022498e-05,-3.02207054454709e-05,6.03287425505466e-05,-2.73662560923805e-05,3.01472540035742e-05,6.27440830194071e-05,-2.46080596250399e-05,-2.45303771978641e-05,-2.8559610871968e-05,-1.44854083756658e-05,7.66794246221956e-05,1.46581837796608e-05,-1.60605343412396e-06,5.50553303225227e-05,-3.61604224664871e-07,-8.14764560367737e-08,1.24235907077e-07,3.26601637484603e-08,-4.9601989192368e-07,3.61774046818515e-08,-2.66489095490034e-07,-2.41824194701777e-07,1.76583938157383e-07,-3.94519396194307e-07,-0.000207192918718894,0.000310798883646964,-4.27332835719978e-06,-0.000116194483640774,0.000152558876127625,2.233092329714e-05,5.355434209573e-05,5.84559206364199e-06,-4.13585376269426e-05,4.02585504506959e-06,6.66437313418992e-07,-0.00176440059985274,0.00201066278508799,-0.000127299038440672,0.00244550043039327,-6.08753016020463e-06,0.000113585878045637,2.32843765661947e-05
"east_of_england","beta11",2.62307308973519e-06,-0.000119929737751012,-1.83135025163835e-05,1.04895927734539e-05,-1.16531069506999e-05,-7.8974174790675e-06,1.71641753291434e-05,-5.7293767970346e-06,2.4534314672374e-06,-1.91969496466452e-06,8.43688459620937e-07,-6.38692423145975e-08,1.24675615238989e-06,-3.12519536258228e-06,6.80165514920432e-06,-1.54582088276753e-05,-2.48419298100047e-06,2.76248430090891e-06,-1.2217336524482e-06,1.90205065948627e-06,2.34008121190571e-06,2.84817037500828e-07,1.73270492226898e-06,3.27711826904034e-06,-1.47965165015474e-06,2.86383123827418e-06,-2.43146745883373e-06,1.22195704663504e-06,3.3707816099611e-06,3.0886818971939e-06,3.62181091223825e-06,1.74760789020634e-06,-9.99046682872006e-07,1.46194859112064e-05,3.42688583304325e-06,-5.29275215538219e-06,4.01812644627086e-06,-1.01524648439136e-06,-3.13223004909723e-06,6.32262182153325e-06,0.000147699320481092,-2.66734343249931e-05,9.98492857144407e-05,-7.97910584582862e-06,-6.86247741932353e-05,-0.000139875164755481,5.60447330108884e-05,-7.6747871958869e-05,-2.55950523995675e-05,-2.69269548229377e-05,-1.29381544146024e-05,3.15528807863735e-06,1.09180392031829e-05,-3.77595928342107e-05,-1.29025321814959e-05,1.13531370122565e-05,-7.71803182964561e-05,1.43321576577541e-07,2.01930424239505e-08,3.27555008276786e-08,1.87863774212977e-07,-2.82172586835129e-07,9.84748986899341e-08,-1.1207458861528e-08,-1.4944571058219e-07,-1.98530244619222e-07,2.2766268375091e-07,2.66717817434926e-05,-4.7946963749509e-05,-5.25942586339502e-05,0.000290437556026124,-0.000304945978755309,0.000128339762971508,-1.96022665796319e-05,7.40315344754593e-05,-0.000229505941831508,8.77952689566255e-07,-2.05039528224864e-07,0.00187496670431495,0.00134668148048557,0.000573470862571731,-0.00617516699058953,1.34884819542224e-06,-3.5508624669446e-05,-3.47308022915073e-05
"east_of_england","beta12",1.97898877525862e-05,0.000153789197607995,2.68620251959424e-05,-5.65234063101111e-06,3.31620595371315e-07,2.54985477491108e-06,-5.7293767970346e-06,6.8489266206969e-06,-7.86883831335269e-06,1.00534897048711e-05,-4.7257187247406e-06,1.84874344205357e-06,-1.60077401903813e-06,4.93761265328955e-06,-1.99468131059194e-06,-5.29418795242769e-06,2.110986762727e-06,-3.32247581691653e-07,-9.84226170410112e-07,7.53663728577825e-06,-6.3556571257984e-07,1.61676244915038e-06,-1.29227059517524e-06,-8.12749021038177e-07,4.39317138212558e-06,7.29402072377061e-07,5.73415096259298e-07,4.80783975542069e-07,-7.88973873671857e-07,3.44636994721908e-07,5.58171893009593e-07,-2.3246973470846e-06,-1.10621369120087e-06,4.40078219973393e-06,-1.84410881299621e-06,5.70513616523936e-06,-5.23654370564479e-06,1.88071995929353e-06,-3.19200124556881e-06,-5.14744897973636e-07,8.89432096884086e-05,-6.04596308124017e-05,-1.91914867532055e-05,3.86256930403975e-05,3.60092364099222e-05,-0.000153797473471338,1.95501597548598e-05,1.32643058599368e-05,2.81157718848359e-05,7.63983645442714e-06,-7.97800344173894e-06,8.49926746930132e-06,4.89716786478355e-05,-9.48488330676133e-06,1.95806568469592e-05,2.48805398001918e-05,-1.26571883744694e-05,-1.59089082150764e-07,-6.41405651222762e-08,-4.73626350296768e-07,1.61668653984668e-07,-4.7363116452431e-07,-1.30209839476381e-07,-2.93576216107326e-07,-1.46586653112754e-07,1.98282771217975e-08,-3.07913678353204e-07,0.000262466234155025,7.4873099546191e-05,-3.797310663341e-05,-8.29667851306022e-05,0.000174045592490195,-0.000102747058789653,-1.00419900980807e-05,-0.000123852197053751,-0.000124035983412207,3.15902299426037e-05,2.66614795757155e-07,-0.00319389871236847,-0.00140988621367095,0.000179982349075726,-0.000308538260652299,-5.00053926498269e-05,-1.18397122611948e-05,3.83671555502812e-05
"east_of_england","beta13",-4.12236240466961e-05,-0.000324061919770313,-2.41722001114338e-05,5.3055633884057e-06,2.29100499900172e-06,-3.64738922517962e-06,2.4534314672374e-06,-7.86883831335269e-06,1.58254748951537e-05,-2.07419307529973e-05,1.08168164240233e-05,-3.27870286167224e-06,2.51279675986524e-06,-9.02213909460886e-06,3.4478904559552e-06,1.33932776723146e-06,-2.44306103508348e-06,4.8133380658033e-07,-5.37706743686903e-08,-1.39638969943717e-05,3.05221515270577e-06,-2.93570435583434e-06,3.84262593556454e-06,2.46865087025777e-06,-5.23967955938183e-06,8.02619047459549e-08,1.28412396039972e-06,9.92712323801553e-07,3.40055872261867e-06,2.08363452257627e-06,-3.33127944748783e-06,1.20528021293996e-05,-6.26025362475429e-06,1.3841848506801e-05,1.54310508196179e-06,-7.53972271293096e-06,8.78523591953492e-06,-6.55792937607589e-06,1.09659349889345e-05,1.52453509352668e-06,-0.000167882390010443,0.000164052713194571,3.01136317225589e-05,-4.68833727043042e-05,2.63666012389193e-05,0.000341687918207278,-5.18213999819821e-05,5.16900708746629e-05,-8.64172818583e-05,1.76613480144273e-05,3.61310244467865e-05,-3.89493097595167e-05,-0.000120497496239116,-9.89314901806184e-06,-4.73463968181196e-05,-4.60388033323503e-05,3.52830876423921e-05,5.62972911456583e-07,8.04623965431992e-07,1.10326919760325e-06,-3.68163280932654e-07,2.03536257990565e-06,4.41381019272857e-07,1.16123766596419e-06,6.24190903885285e-07,1.74493463643173e-07,5.98520617971653e-07,-0.000260282185112897,-0.000101167212075326,7.9654422517176e-05,5.78744073859314e-05,-0.000319192725415589,0.000119323043774147,4.19962024852857e-05,0.000256544298294954,0.000242758897771891,-2.99667971920351e-05,-6.25258201700184e-07,0.00725741138422003,0.00360483494444194,-0.000486267862745754,0.00142179925350276,0.000108030597511893,1.57411081735539e-05,-0.000112936970131276
"east_of_england","beta14",4.42588560208113e-05,0.000393109658720982,5.3910814652845e-05,-6.62198742038398e-06,-4.97513628867947e-06,2.43913300090058e-06,-1.91969496466452e-06,1.00534897048711e-05,-2.07419307529973e-05,3.08735078220255e-05,-1.44720124962947e-05,4.96796158253286e-06,-2.60491993151989e-06,1.39866865410111e-05,-4.97797684479426e-06,1.1298083633191e-05,4.6038165278989e-06,1.16979270693966e-06,4.53524133480159e-06,1.90300594041234e-05,-2.78562681250167e-06,7.13293546849328e-06,-3.38234941165802e-06,-2.09340476278632e-06,1.26325040161653e-05,1.24522899800992e-06,-1.65017414255127e-06,1.92839202413613e-06,-3.15115012311538e-07,-1.20969041438223e-06,5.51630544946621e-06,-1.3453172478587e-05,8.65952197015393e-06,-1.17013189979698e-05,-2.89944732483859e-06,1.13925142341449e-05,-1.0269779750545e-05,5.86337374485398e-06,-1.26839102580734e-05,1.71602278278042e-06,0.000230987962712814,-0.000261561660028399,-5.210303694003e-05,7.41838539017322e-05,-1.90700475297273e-05,-0.000542413452095497,9.14019962110119e-05,-7.19521565073934e-05,9.52038727210016e-05,-4.35035177365507e-06,-4.81398682755289e-05,3.3083134983283e-05,0.000160251060111874,1.68023586835056e-05,6.16609869815808e-05,6.34515599659243e-05,-4.63756452367051e-05,-6.73408228075278e-07,-1.07024502116292e-06,-1.61300711210183e-06,4.82367398080206e-07,-2.90620582089296e-06,-5.40282878141745e-07,-1.31571572491688e-06,-6.63350148169419e-07,-2.36928341618564e-07,-5.52314155445437e-07,0.000451344608742366,0.000167682730560381,-0.000100853812575367,-0.000149734685503982,0.000473200348873158,-0.000177869887249779,-6.70508235127681e-05,-0.000364101192450143,-0.000246664499735823,3.32118833813315e-05,7.6198216911799e-07,-0.0113201012035895,-0.00862624864853047,0.000829312457456677,-0.00236696458924355,-0.000175210559683683,-7.51441040702789e-05,0.000145643839076255
