"region","name","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","beta1",7.1211413530951e-05,2.88003042673577e-05,1.67018244283498e-05,-1.21536029458361e-05,1.7391420085488e-05,1.17799642343755e-05,-4.5168494121555e-06,-1.05313180220556e-05,-8.81579117279265e-06,2.50811787106219e-05,-1.22620310435455e-05,3.70871800422837e-06,6.11258134785718e-06,1.17877659832438e-05,-1.17383450967288e-05,-1.73668869333948e-05,2.46864494255963e-05,-6.78391266459573e-06,2.54470968071517e-06,1.33124307468446e-05,1.95382910614371e-05,-6.12750342772633e-07,1.15364078580945e-05,-1.58718177489246e-05,-1.02108083275075e-05,-2.04271505599882e-05,1.43404317834632e-05,3.21353779716369e-06,4.38115270015102e-06,-9.04023757727708e-06,2.9399424811939e-06,-1.72023992436724e-05,-1.05366295522229e-05,-8.20373895223129e-06,-1.67282998325846e-05,-1.81581689129372e-05,2.06203268741073e-06,8.27893805812261e-06,-0.000264873181357971,0.0170302251829111
"kabwe","beta10",2.88003042673577e-05,0.000429000550563101,-4.95090268057735e-05,-8.79666644202499e-05,-3.97558576654627e-05,7.81037156106145e-06,-6.91467121651048e-05,-6.42779404591769e-05,3.43260953779621e-05,2.28390027857519e-05,-1.2620687732965e-05,-2.39709496077567e-05,1.84982332489113e-06,4.64728268997348e-05,-3.48035729808887e-05,-3.26303086936533e-05,1.83991953309108e-05,-3.2020251980199e-06,3.90390427201318e-06,-3.71693114372795e-05,0.000117197897346102,8.85349597940709e-05,9.06203107180512e-05,-8.36639628328354e-05,-4.86039948219424e-05,-0.000103944743004558,0.000166275234426274,-0.000195139248211123,9.08786939978352e-06,-1.77901797345172e-05,-4.73163795406567e-05,1.71202112611093e-05,-0.000239627870790445,3.39767208864361e-05,1.47344496757355e-05,-6.17095581210597e-05,-6.60186874698093e-05,5.7359368260742e-05,0.000400867853053027,0.00800710084294257
"kabwe","beta11",1.67018244283498e-05,-4.95090268057735e-05,0.000578853002815123,-3.35477251242274e-05,-0.000195207567541381,-6.01940775007809e-05,-2.75097671848537e-06,0.000144858447746614,-0.000106247849404553,-0.000184056035811985,2.1210887965139e-05,-2.67179897086963e-05,1.36403100617572e-05,-1.52746135110228e-05,4.35356000390455e-05,-4.37672721919355e-05,-2.59776717565121e-05,3.41991524623827e-05,-1.83961992583887e-05,9.18451732024069e-07,-7.20009087243204e-05,2.28840009598195e-05,1.30655315901884e-05,-4.46888904989641e-05,-2.4477748957591e-05,0.000207884185279797,-1.12088411204411e-06,4.78195068180873e-05,-0.000129831769682028,0.000253269859414249,0.000156512738671773,-3.67330230398521e-05,-2.18263787398849e-05,4.46091786295957e-05,-0.0001262295277252,-7.68602570860831e-05,0.00013470342470436,-5.780108754663e-05,-0.00022850533060502,0.014419173913077
"kabwe","beta12",-1.21536029458361e-05,-8.79666644202499e-05,-3.35477251242274e-05,0.000266923057253671,-7.33082443026025e-05,-3.24503534206069e-05,-2.93718101827031e-05,0.000117547059463793,-7.66650303310574e-05,-5.8823731721462e-05,9.74267666618653e-06,-1.06974675282936e-05,1.26015842325207e-05,-5.05481615966615e-05,5.62564484393114e-05,-8.48280281027081e-06,-1.95758886828205e-05,-2.09800761377476e-06,2.59110721929616e-05,-4.41016079217026e-05,-3.16036540600712e-05,-6.25250441629556e-05,-4.54306557397049e-05,0.000105752960741493,-8.25896288545254e-05,0.000133137873248603,-7.04822436052603e-05,6.62849659698042e-05,-5.01214356602125e-05,-7.54858187687308e-06,2.20217018524715e-05,-6.20718101233568e-06,0.000115574767175912,-1.95045206353256e-05,-4.05705761586252e-06,1.24964289446997e-05,3.80934326737284e-05,-7.56396594243856e-05,0.000130470167824409,0.00109091724249256
"kabwe","beta13",1.7391420085488e-05,-3.97558576654627e-05,-0.000195207567541381,-7.33082443026025e-05,0.000608811935949603,-2.50415518186173e-06,-7.78721782198013e-05,-7.78272005194814e-05,-7.35918379565177e-05,7.94032849580594e-05,-2.71265300046272e-05,-1.39090061190231e-05,5.3141087962397e-06,2.03647926460284e-05,6.94031542012873e-06,-3.2996525334502e-05,4.0184889383861e-05,-1.78678721960323e-05,-3.44097788210256e-05,8.13772979120774e-05,1.54088203968202e-05,4.79172360290553e-05,1.37522032210008e-05,-5.28633603032379e-05,7.97277450008527e-06,-9.9069896115054e-05,2.64450932563828e-05,5.9071404483563e-05,0.000106523713913363,-5.2246912152624e-05,2.37842508233481e-05,5.06003163022767e-05,-2.87270250504262e-05,7.31272797520538e-06,-3.68828590845588e-05,3.04018297104461e-05,-3.9506055709937e-05,3.84814084651722e-05,-0.00137303321591325,0.0263941583908012
"kabwe","beta14",1.17799642343755e-05,7.81037156106145e-06,-6.01940775007809e-05,-3.24503534206069e-05,-2.50415518186173e-06,0.000288953622597235,-4.73883161304198e-05,-7.55553947614755e-05,-3.10407820581439e-05,1.90553322939958e-05,-1.64840830355299e-05,-2.2012002317703e-06,1.70864337038527e-05,-2.59967317463565e-05,-2.72921541690968e-06,1.78426171298544e-05,5.43936683065307e-06,-1.01285835022862e-05,-8.44960097001762e-06,2.29103451327462e-05,-1.18234508806921e-05,6.50737086036705e-06,-8.5538816681288e-06,-1.93364411054153e-05,2.36153229494773e-05,3.35022731795233e-05,3.19357063185361e-05,-4.58810499813905e-05,0.000162424447150746,-6.9281925105746e-05,-5.83971531216366e-05,5.26870462228227e-05,9.8107932984094e-05,-1.79377558638094e-05,-2.80947612683036e-05,-2.69881740167567e-05,-5.53904716630699e-05,-1.0172937007632e-05,-0.000129062387422813,0.0070690521367388
"kabwe","beta15",-4.5168494121555e-06,-6.91467121651048e-05,-2.75097671848537e-06,-2.93718101827031e-05,-7.78721782198013e-05,-4.73883161304198e-05,0.000362301065781167,-0.000126692092474595,-8.94117540066619e-05,6.04257348416008e-05,3.15929037531672e-05,-1.70154455479356e-05,-3.13553299138767e-05,-1.51646524845685e-05,3.68387023494033e-05,-2.3469274732307e-05,1.21690424808581e-05,-8.34733123527946e-06,-9.02995985064112e-07,-4.03151277218743e-05,4.09214534151717e-05,-2.67872327463306e-05,-1.38533000587591e-05,-4.0117508617055e-07,6.64934383816578e-05,-6.28690711880203e-05,4.62142026200649e-05,-0.000121466097912312,9.83410761089053e-05,-9.40386465575663e-05,-0.000123893812659405,-4.58680804934085e-06,-9.7362752998882e-06,-1.49981085404978e-05,1.94738588050856e-05,1.49938378967299e-05,-3.97128062584312e-05,1.32053700429425e-05,0.00070838592569879,-0.0224692314450851
"kabwe","beta16",-1.05313180220556e-05,-6.42779404591769e-05,0.000144858447746614,0.000117547059463793,-7.78272005194814e-05,-7.55553947614755e-05,-0.000126692092474595,0.000768751953618973,-0.000141183741090873,-0.000192667925979158,1.0387810772196e-06,5.5123475732206e-05,-9.85258606211762e-07,5.41573535979132e-05,-4.1632144875291e-05,4.89104939164455e-05,-6.23439103992314e-05,1.6647362203716e-05,-1.01845584619091e-05,6.98879595566943e-05,-0.000143017352447678,3.23256803953164e-05,-2.22663387347245e-05,-2.15117842631562e-06,-8.19092021517004e-06,0.000124175662964742,3.5930889334996e-06,8.33110797799217e-05,-0.000236712059102104,0.000109634940666069,0.000131031820106499,-2.65096596314172e-05,-0.000201529765040367,-5.02946385681966e-05,-3.51453746524181e-05,-3.53420432476801e-05,-1.21013207532005e-05,4.26280466575438e-06,-0.00056923661488854,-0.0101004027029946
"kabwe","beta17",-8.81579117279265e-06,3.43260953779621e-05,-0.000106247849404553,-7.66650303310574e-05,-7.35918379565177e-05,-3.10407820581439e-05,-8.94117540066619e-05,-0.000141183741090873,0.000554265526441582,-0.000247547603631741,1.24427475919532e-06,-1.58852755770205e-05,3.08759943457306e-05,-1.40094331545748e-05,-1.51686146312138e-05,1.30887152495185e-05,3.7276136958951e-06,9.77833689458922e-06,2.8261930972987e-05,-2.95073306234273e-05,1.54817531601054e-05,-2.26486254503033e-05,-1.31725000819228e-05,-1.81021872627094e-05,-1.78628141577799e-05,4.3524301917716e-05,-3.61746188452787e-05,-4.74388852893115e-05,7.12496446512548e-05,-3.69782472174669e-05,-3.3233038495449e-05,1.20459927453094e-05,0.000125972349520688,4.17203727307358e-05,3.22135712935664e-05,1.85675369024303e-05,-2.59599482503634e-05,8.54190651774358e-06,-0.000142736094342262,-0.00525351979205471
"kabwe","beta18",2.50811787106219e-05,2.28390027857519e-05,-0.000184056035811985,-5.8823731721462e-05,7.94032849580594e-05,1.90553322939958e-05,6.04257348416008e-05,-0.000192667925979158,-0.000247547603631741,0.00090294097506416,-0.00010878609321187,6.49852537188128e-05,-4.84219018064896e-05,6.73814307106853e-05,-4.22168857501946e-05,1.05189667551879e-05,1.48089384633248e-05,-3.84623291417679e-05,1.02675082880506e-05,3.68447306689046e-05,6.01050176488842e-05,7.27296078442463e-05,3.56174024969854e-05,-4.06541206659278e-05,-2.2251645626872e-05,-0.000275545747988725,6.18947437510651e-05,-7.59843963992578e-05,1.91272284852775e-05,-2.72939755327288e-05,7.08719291289486e-06,-3.75966905356249e-05,-0.000132617095338634,1.95235480833567e-05,-7.30355179913051e-05,3.07286089190134e-05,-5.37841659065642e-05,5.26854425344279e-05,0.00128805839901074,0.0185313965875466
