"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000115928725885786,-4.75341168781463e-06,-4.05183791507086e-06,-6.54358113700145e-06,1.77188574952971e-05,-9.47295175733216e-06,-5.33039131745595e-07,5.85041908476694e-06,3.41381436653477e-05,-4.91166715237355e-05,-4.62311523170462e-05,3.66378162899183e-05,-2.15244735073171e-05,1.39540750406452e-05,-4.01338497398079e-05,1.86866088330564e-05,7.10317750893461e-06,-2.27531834922204e-05,-1.53790433617717e-05,1.73167689076433e-05,4.27273514041226e-05,-5.14348986615957e-05,-7.71938033850004e-05,4.6807870299311e-05,0.000142028719871716,-8.17625764986832e-05,3.65710098936074e-05,-3.98551062715196e-05,8.92980336497886e-07,-9.99234074809342e-06,-6.56758264211718e-06,-3.21494124727551e-05,3.86186093266496e-05,-9.92169046828854e-05,-3.06054889987286e-05,-4.48628718779749e-06,8.94411131453297e-05,-6.7150853682261e-05,-4.65392427593717e-05,6.84318615289212e-06,-2.00320232413218e-05,-7.14896946147536e-05,2.6146524135535e-05,-1.93153016500577e-06,1.06408919845714e-05,6.80083174629711e-05,-7.578940467032e-05,5.34082663104222e-06,8.17861756817956e-06,5.9648540620151e-05,0.0101911269377122
"kabwe","beta1",-4.75341168781463e-06,5.09295009851693e-05,-2.55527119683518e-05,4.34482832556477e-06,1.60521231992363e-05,-8.87166917993866e-06,1.17764085853214e-05,-1.33731920343579e-05,5.8602832275013e-06,7.6856870388167e-06,-4.16792883393212e-05,5.51263729226449e-05,4.20737832885086e-05,-5.34539942086777e-05,1.59615964407892e-05,-1.89695720918699e-06,-1.50834648533859e-05,1.27350224409008e-05,8.50686890272045e-06,-1.0523476050347e-05,5.76259415985884e-06,-1.14368420470648e-05,4.33715426779441e-06,-4.02244513319043e-05,4.52585306119686e-05,-1.70188263202479e-05,-4.5638537856963e-05,3.90823051022038e-05,-1.99262605781516e-05,-5.89094414439337e-06,1.38786134977909e-05,-2.26244023833147e-05,9.37222769133558e-06,-9.68366703355549e-06,3.71865731060414e-06,8.49145039807675e-09,-2.46028403101663e-05,1.3274276293351e-05,-4.95247486445765e-05,0.000107137379268913,-8.47395453756847e-05,2.871450054189e-05,-2.27711149617737e-05,8.24248509373277e-06,2.58476510831856e-06,-2.67375663523154e-05,4.89350673503559e-05,6.26889404353952e-06,-3.08517595111635e-06,0.000100094291633381,0.0121388186795776
"kabwe","beta10",-4.05183791507086e-06,-2.55527119683518e-05,0.000153195673128876,-7.20900177215293e-05,4.00323825439448e-05,-1.28615423856782e-05,-7.9486768418931e-06,-9.91990566979081e-06,-1.40823341854104e-05,1.72472307717418e-05,6.85851207251078e-05,-7.32456984431379e-05,-6.08856536342382e-05,6.95101405150513e-05,-3.45264632965813e-06,1.65380609954297e-05,-2.47834892959033e-05,2.18104429299163e-05,-1.37312317787397e-05,1.97942505755877e-05,-2.25188660746081e-06,4.43446983390803e-05,-6.81146172958637e-05,2.23165678564963e-06,-7.80390238997146e-06,4.80143624267892e-05,3.05331720489926e-05,7.95050765810878e-06,1.26290572319776e-05,-9.72625711887883e-06,1.92341346625217e-05,1.5329404623666e-05,1.28844100053581e-05,-1.53725408444009e-05,-1.79957747623067e-05,9.73332594315069e-05,-3.14693596898199e-05,1.66762194688082e-05,4.64443513945122e-05,-6.105592039479e-05,0.000124552082376975,4.35104572159963e-06,-5.09789506910311e-05,-1.18389272189016e-05,-1.03056536564936e-05,3.81903175604032e-05,-4.53517539443558e-05,-1.86249730230482e-05,-7.60937846672466e-05,-0.000122913808560188,-0.0343078171347872
"kabwe","beta11",-6.54358113700145e-06,4.34482832556477e-06,-7.20900177215293e-05,8.74171334606456e-05,-5.36658338082965e-05,-2.12725436503798e-05,3.04975206608025e-05,6.54487864678981e-06,-1.05053414071233e-05,1.4209323791723e-05,-3.01054704752662e-05,9.97711854710813e-06,-3.62545465048225e-05,-1.48817580507423e-06,-9.19504590346075e-07,-1.21758309958088e-05,6.55142772190597e-06,6.93969716959561e-06,-2.44642155925303e-05,3.18298763620341e-05,-1.82082957082526e-05,-3.26429445362231e-05,9.91804572906376e-05,-1.04960775436912e-05,-7.61342021781915e-05,1.02233796073489e-05,-1.49981820665212e-05,-1.3461872831165e-05,1.07656074873282e-05,1.16100846331302e-05,-6.69972006477132e-06,-2.82630712361597e-06,-2.23887894285716e-05,9.84418716371048e-06,1.68946332909927e-05,-1.40232986235908e-05,-1.2648498703551e-05,9.54475241941783e-06,5.08271825852757e-06,-9.76106455059942e-06,-2.16115064123209e-05,2.54572852473609e-05,-5.09248010269494e-05,8.23847867239706e-05,-7.61264964330443e-06,-3.52801844145161e-05,8.16203117787126e-05,-2.63831326428421e-05,2.95238904735576e-05,-4.5381248098987e-05,-0.00257625323498654
"kabwe","beta12",1.77188574952971e-05,1.60521231992363e-05,4.00323825439448e-05,-5.36658338082965e-05,8.00830178134899e-05,-1.29731502082478e-05,-3.01844791418171e-05,-9.97426410955499e-06,1.89012602456408e-05,7.40546209357193e-06,-1.55056862326788e-05,2.44082284953741e-05,3.09637904313823e-05,-3.09362752794213e-05,1.4235633925158e-05,1.09552279909059e-05,-5.40518874570353e-06,-5.17906782170613e-07,1.69751696766128e-05,-2.82203470280816e-05,3.38596126624832e-05,1.72377145491717e-05,-8.43302824580725e-05,3.29866565611958e-06,9.51419042313841e-05,-1.98941128919843e-05,-4.0406401122517e-06,1.49955526705542e-05,7.78654135507294e-06,-2.22856592668383e-05,1.55348179872105e-05,-1.02149992485355e-05,2.64904587794455e-05,-1.49767739446915e-06,-4.00820451241472e-05,1.99722537262759e-05,1.39086105411691e-05,-3.19053917460142e-05,-1.1986582329409e-06,6.04287682471891e-05,-2.65784558373822e-05,2.72411989130967e-05,8.5514817564593e-06,-5.10490605082753e-05,6.63265696317731e-06,3.54715377448317e-05,-5.32525443523106e-05,2.590324551317e-05,-3.82552058437686e-05,6.49906616916982e-05,0.000353735130681868
"kabwe","beta13",-9.47295175733216e-06,-8.87166917993866e-06,-1.28615423856782e-05,-2.12725436503798e-05,-1.29731502082478e-05,5.19647829031654e-05,-3.03135350656692e-05,6.27701752028323e-06,7.20254352637945e-06,-2.64005365444867e-05,3.0286849678947e-05,-8.08396433256149e-06,2.33987333573112e-05,-8.34376232318465e-06,-4.25259343663479e-06,-2.92537874301153e-06,2.09911060329095e-05,-3.00048660685093e-05,3.46266081689316e-05,-3.31262442726678e-05,3.52954519499358e-07,1.19115421185377e-05,-2.6136694673484e-05,1.44169897122125e-05,1.22177232538928e-05,-2.99544271136289e-06,7.43436978822559e-06,4.01082873282642e-06,-1.90950652199187e-05,3.08464106446649e-06,-3.82861320512826e-06,6.27727736999686e-06,1.4258188096998e-06,6.53393885185076e-06,2.52445943840678e-06,-3.1058172852876e-05,1.54379679069074e-05,2.38681547054995e-05,-1.94513560138379e-05,-3.79437896292833e-05,1.92308425931548e-05,-3.22830798600485e-05,6.32501203838207e-05,-3.21706369099598e-05,1.37313414560386e-05,-7.32367499797601e-06,-4.78630932592958e-05,3.84224009594656e-05,1.10587613932793e-05,2.75548776985927e-05,0.00788033109354962
"kabwe","beta14",-5.33039131745595e-07,1.17764085853214e-05,-7.9486768418931e-06,3.04975206608025e-05,-3.01844791418171e-05,-3.03135350656692e-05,8.7618535818707e-05,-5.15325128635544e-05,-2.97813010783566e-06,8.70440800796777e-06,-1.65291766860785e-05,3.22483380020271e-05,-1.98896531180649e-05,-1.98066514386657e-05,8.01821749563829e-06,8.30341710502094e-07,-3.13070545940832e-05,3.56393459568272e-05,-1.30400932133235e-05,3.89495797375002e-06,6.01566079060042e-06,-5.53930281100307e-05,9.62601063407946e-05,-2.91334127870335e-05,-6.19577617993984e-05,2.86535114497375e-05,-2.6056811547044e-05,2.80122988554529e-05,-3.21760948592768e-05,2.3566556620016e-05,-1.49943524448773e-05,2.0644913029172e-05,-1.21733056845501e-05,-2.51084652903352e-05,2.72819556284673e-05,-3.36777460140873e-07,3.19079417075817e-06,6.94003096587373e-06,-2.45075837451414e-05,3.61780831226368e-05,-8.29134778191329e-06,3.17789416303538e-05,-0.000104992898800119,0.000102528993578378,-6.19841813816202e-06,-3.53758073802061e-05,0.000101691858740183,-4.88174017492883e-05,1.05278882459281e-05,-6.91410661819912e-06,-0.0016459477688726
"kabwe","beta15",5.85041908476694e-06,-1.33731920343579e-05,-9.91990566979081e-06,6.54487864678981e-06,-9.97426410955499e-06,6.27701752028323e-06,-5.15325128635544e-05,8.41292791739312e-05,-3.01368127467045e-05,-8.29530388492737e-06,4.31684217090581e-07,-3.13625416739754e-05,1.13796455192009e-06,4.14311436732226e-05,-1.45007349700688e-05,-6.28628436586441e-06,1.48232376741244e-05,-9.77386050661957e-06,-2.53324703318601e-05,3.52628760513665e-05,-2.1359135226939e-05,2.18471679822744e-05,-2.95638179116454e-05,2.79813778626151e-05,6.28219757450347e-06,-2.2715678396196e-05,2.76001939279557e-05,-4.48385256595663e-05,2.82264478384526e-05,-7.98765894335634e-06,-1.05394587694648e-06,-1.24065207523483e-05,-1.98445397178251e-05,3.66599396592904e-05,-9.4958175066181e-06,-2.81938998894256e-05,6.29411225853388e-06,-3.75531280929369e-05,3.79150810952717e-05,-4.44237860571936e-05,-7.38373878828119e-06,-3.48721642299192e-05,5.83009907897134e-05,-6.3413900613176e-05,-2.04317457492584e-05,2.14524496298714e-05,-2.57517215961733e-05,5.41368537436551e-07,1.20728978840349e-05,9.94818442839896e-06,-0.000477875408807273
"kabwe","beta16",3.41381436653477e-05,5.8602832275013e-06,-1.40823341854104e-05,-1.05053414071233e-05,1.89012602456408e-05,7.20254352637945e-06,-2.97813010783566e-06,-3.01368127467045e-05,6.46981017936571e-05,-5.31887244234994e-05,-1.65931210748907e-05,2.95867389074975e-05,4.55104060713231e-06,-2.5227046699224e-05,-1.57258109339373e-05,1.56823914733946e-05,1.0357052270821e-05,-2.98865577097317e-05,2.53915831339871e-05,-2.25436274080738e-05,3.15936081323472e-05,-4.38566587536995e-05,-2.20366490039873e-05,-7.60496965779892e-06,9.36268317748697e-05,-5.97327366016776e-05,9.98866932854815e-06,-4.86889208143472e-06,-1.21359726802275e-05,-2.41588322038342e-06,-5.00015204984003e-06,-1.34965339207335e-05,2.05535593521593e-05,-4.19973414360983e-05,-1.99383241642264e-05,-3.222987958175e-05,5.83526935681637e-05,-2.52527019381707e-05,-3.07507500370899e-05,1.64481689801721e-05,-2.23764318343001e-05,-4.85079277720029e-05,4.52238059599629e-05,3.73642791468902e-06,2.32573862988667e-05,2.44853034754493e-05,-5.39839646686197e-05,2.28306959454048e-05,4.69930975069056e-06,6.19047171916548e-05,0.00298582664933197
"kabwe","beta17",-4.91166715237355e-05,7.6856870388167e-06,1.72472307717418e-05,1.4209323791723e-05,7.40546209357193e-06,-2.64005365444867e-05,8.70440800796777e-06,-8.29530388492737e-06,-5.31887244234994e-05,0.000177684211005915,-8.6348866118479e-05,-2.13942913185873e-05,-6.73782189134266e-05,2.67226780531188e-05,4.37832917660265e-05,-4.4510266606329e-06,-1.96320277334507e-05,1.93681967274851e-05,-1.1059974125136e-05,1.01022233079734e-05,-3.27615810864292e-06,5.99402780314547e-05,4.76965185366722e-05,-2.81079537155496e-05,-0.000134747379486255,9.85659133111286e-05,-5.53947829822074e-05,5.83642916859224e-05,3.40205078200224e-05,-2.33966634600128e-05,3.91998694702916e-05,-1.28903841301973e-05,1.52378857803486e-05,5.02392950938746e-05,-8.40656015392926e-06,0.000103123543515389,-0.000145210600511159,8.10059848784412e-05,4.2144442074896e-05,-5.08891272200487e-06,3.45865382748016e-05,0.000117948598224273,-0.000103287977156244,4.2668940097154e-05,-2.06776241954169e-05,-4.92662180313335e-06,3.24414881144161e-05,-7.54427371565206e-06,-3.46127834852332e-05,-0.000101909452582983,-0.0350442815056852
