"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kabwe","beta1",0,8.75718440814201e-05,-2.30452600424255e-05,-1.74036546061749e-05,-1.47212917591329e-06,6.5156055735087e-05,4.32146755822463e-05,9.26703814360485e-06,-7.94031342696185e-06,-5.92317886690352e-06,-1.45473014924735e-05,1.53571200316276e-06,-1.63642916784502e-05,-8.4838871866185e-07,-7.57072695266381e-06,1.68779822568662e-05,-7.31289900640396e-06,-1.27690544369186e-06,-3.57563310678304e-06,-3.7703636660163e-06,9.64601512316956e-07,-2.21962802628219e-05,4.62744413051534e-05,-8.51571052996064e-06,5.55746925813387e-06,-7.76111727966545e-06,2.88167907573199e-05,-7.80239793148708e-06,-1.47251320175437e-05,-1.6411560342184e-05,2.34624887688142e-05,-2.82126995764595e-06,-2.76150415479727e-05,1.36201994644319e-05,1.01315370377435e-05,-4.98706333740954e-06,-4.10185668142744e-05,5.14158893222252e-05,-1.23512803960936e-05,-0.000448033325270961,0.00970706527036195
"kabwe","beta10",0,-2.30452600424255e-05,0.00039765334319977,1.88623908564503e-05,3.06445135574758e-05,-0.000157062953310797,-8.71176024062149e-05,-4.73922197876064e-05,3.56473118432539e-05,-2.88518491730994e-05,-3.00126817569329e-05,9.59858377729259e-07,7.58718687463736e-05,2.34870259376135e-06,2.41456836251323e-05,-4.57611691632095e-05,8.16659402811695e-05,-4.93211167453989e-05,2.55477987377475e-05,1.71567874190422e-05,1.88044751534887e-05,-3.55959023550925e-06,3.65089135848713e-05,3.90883743064121e-05,-3.13209695228639e-05,3.12960224734955e-05,-5.4962652214867e-05,8.91698473396607e-05,-8.69361275887297e-05,0.000206588457340572,-0.000105787444264604,-9.5325888418626e-05,-1.0635897304285e-05,-0.000103271361071227,-4.26938699737342e-05,-4.08467536108711e-05,9.80842858996279e-06,-0.000116189288235135,5.06068082482678e-05,-7.10112309661235e-05,0.019165705076935
"kabwe","beta11",0,-1.74036546061749e-05,1.88623908564503e-05,0.000497113232639755,-8.3497199985069e-06,-6.23477912252349e-05,-2.71150365306562e-05,-6.25243690159436e-05,-1.42442414736819e-05,-0.00012155340744877,-3.06962331958959e-05,-5.06470214227533e-06,-8.57951215956071e-06,4.47541742854806e-05,-3.13605548775971e-05,-4.86088381781461e-05,0.000107269335442845,-6.17238329191775e-05,2.50486200936174e-05,4.94305844544533e-07,-7.58326036409975e-06,-7.44834936226316e-05,4.59431481989045e-05,-3.95478369702632e-05,6.36734023898897e-05,-1.00580901065022e-06,-7.10173377840443e-05,3.41761439773931e-05,5.10815497883749e-05,-1.05661221854508e-05,7.58938126430341e-06,3.92232619210827e-05,3.1392254269252e-05,-5.45820610769931e-05,-1.17394265411774e-05,8.73245488878527e-05,-4.99703382551488e-05,-7.71777312756421e-05,-0.000108721020484836,-0.000199049726796537,-0.0101181677473154
"kabwe","beta12",0,-1.47212917591329e-06,3.06445135574758e-05,-8.3497199985069e-06,0.00027298020552317,-8.75696445387278e-05,-4.89300686596999e-05,-5.04376731466007e-05,2.84325425729957e-05,-2.96602037854695e-05,-4.24936738841805e-05,6.8984988517393e-07,-2.451231094836e-05,1.51651293114443e-05,-2.1020234006534e-05,1.29786279616658e-05,2.52176030325668e-05,-2.42730740823252e-05,1.72787372712353e-05,1.11053628575258e-05,2.03736579459463e-05,1.59553837745583e-06,2.85081351811025e-05,-2.30526592695198e-06,-1.87045845346827e-05,-2.17501858096725e-05,-1.44890333272054e-05,4.27566065874249e-05,5.23825725761751e-06,0.000130457563565633,4.82999673872043e-05,-4.47142693503694e-05,7.94385971990959e-06,-2.25771023988892e-05,-2.48380801255016e-05,-2.080842443502e-05,4.20625898166207e-05,-3.68956077900335e-05,-3.61535162315842e-05,-0.000282596487884018,-0.0054898668654305
"kabwe","beta13",0,6.5156055735087e-05,-0.000157062953310797,-6.23477912252349e-05,-8.75696445387278e-05,0.000660946678923929,0.000136989842622632,7.22290310643295e-06,-0.000142706177327015,-0.000143492446032251,3.39485922491902e-05,1.72309535817698e-06,-0.000106820124902923,6.45275577675158e-06,-7.60051401120841e-05,4.59305606422416e-05,7.91763645409046e-06,1.86272128090579e-05,-3.28484867207794e-05,-1.38380565978182e-05,4.97109729459464e-05,-5.33137012226185e-05,-7.68261371038421e-06,-4.16021625165319e-05,6.04516753914757e-05,-1.75972541442938e-05,8.90814385108405e-05,-0.000162409623517033,0.000165015834430864,-0.000200029830839412,0.000103990792953532,2.59343822193039e-05,-5.34931720968039e-05,0.000145040291653391,2.92273950762032e-05,-6.98284431986458e-05,-0.000190550874202433,0.00010079504571393,-3.4236177403106e-05,-0.000420152982360924,0.0166353417696058
"kabwe","beta14",0,4.32146755822463e-05,-8.71176024062149e-05,-2.71150365306562e-05,-4.89300686596999e-05,0.000136989842622632,0.000519933044539786,-2.40986865579471e-05,-0.000204503920814881,-0.000108005805086059,4.58586565692204e-06,5.37135675393757e-06,5.88177835356566e-06,8.71580126683343e-06,-4.25042109337156e-05,3.62207929046599e-05,-7.4134138453057e-05,7.81366547601617e-05,-1.33484853872936e-06,-4.64758053130394e-05,-2.58604357842815e-05,8.26180526343667e-05,9.60402845468467e-05,-5.90622584885393e-05,-3.91786651689123e-05,-5.19758805267277e-05,0.000145632081103816,-6.5466160180219e-05,4.36839246893616e-05,-0.000105551172123782,9.82552654059898e-05,2.36086384865832e-05,6.97336827441963e-05,9.75955706590378e-05,5.29811862937665e-05,-3.9030998332563e-05,-6.63261418130444e-05,8.1660736742049e-05,-0.000105532049244097,-0.000823750831107638,0.0166891950314278
"kabwe","beta15",0,9.26703814360485e-06,-4.73922197876064e-05,-6.25243690159436e-05,-5.04376731466007e-05,7.22290310643295e-06,-2.40986865579471e-05,0.000529134708975857,-0.000187513147198775,3.35923258651306e-05,-1.12164974024217e-05,-1.90313234519453e-07,8.40526973550693e-05,-1.73537045333933e-05,3.86456105269359e-05,-1.50889955532755e-05,-3.52472175423606e-05,3.04890104137418e-05,-2.3202831089066e-05,-3.59618226035561e-05,3.2427308105506e-05,-2.70017911694836e-07,-1.95705965029315e-06,1.32273427317464e-05,-3.26082251236418e-05,4.3181719044571e-05,-4.67103855032527e-05,3.17084237395244e-05,-4.46299597696507e-06,-0.000105791682994107,7.44312832574355e-05,0.000116458630569404,-1.94366791213161e-05,-7.7461778128413e-05,3.5894217907797e-05,-6.31448836481936e-05,-2.71678255177465e-05,4.66475364089855e-05,-9.03033570888281e-05,7.5017057997738e-05,0.00589785192807359
"kabwe","beta16",0,-7.94031342696185e-06,3.56473118432539e-05,-1.42442414736819e-05,2.84325425729957e-05,-0.000142706177327015,-0.000204503920814881,-0.000187513147198775,0.000842654354192978,-0.000183445532445889,-9.56827576804733e-06,-1.96418473413759e-05,3.43238335267297e-05,2.47538962462362e-06,-1.7493586125561e-06,-2.07725298225686e-05,6.63715253090222e-05,-1.95744747060386e-05,1.60306933216687e-05,1.81949172421126e-05,-3.10789560400049e-05,2.52788658895364e-05,-7.27012284459672e-06,-5.35826131973274e-06,3.01547795966938e-05,8.22090990363694e-05,-0.000174900263235092,8.33218478842403e-06,7.12268957002221e-05,6.96241448923386e-05,-6.31505813839087e-05,-3.94358193287833e-05,9.13784909550228e-05,1.64749461743836e-05,-7.77288416734989e-05,-0.000119029722824021,6.04948222448718e-05,-0.000163510149691665,0.000103286103245045,-0.000496711338545658,-0.0169637214618147
"kabwe","beta17",0,-5.92317886690352e-06,-2.88518491730994e-05,-0.00012155340744877,-2.96602037854695e-05,-0.000143492446032251,-0.000108005805086059,3.35923258651306e-05,-0.000183445532445889,0.00103083874009474,-0.000322481079975648,4.57528529344003e-05,-6.60274990879637e-05,-2.1222662421539e-05,6.93999755205126e-05,-2.05426643346289e-05,-6.2963041333101e-05,-1.01478459921068e-05,1.15126853757625e-05,-4.99864726334351e-07,8.59078847993364e-05,-3.39320057059403e-05,-0.000142653018909656,-1.72050843020261e-05,-1.35996370286099e-05,-4.89617770409141e-05,0.000136243170137028,-6.9438604979002e-06,-5.98573525071175e-05,8.44763983099963e-05,-2.29735643630917e-05,1.42943185306114e-05,-4.06896245300136e-06,-0.000122652135119128,1.24312509032267e-05,0.000169183313004011,8.58153008442986e-05,2.57894892639209e-05,-0.000133443045479351,-0.000133303778061348,-0.0130745366836538
