"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.00670097743025187,-0.000132106183242854,-0.000209109974356638,-0.000388421945050754,-7.03633758695607e-05,0.000313444775112152,0.000387247894527221,0.000166334695577833,-0.000458148883283741,1.1593633423842e-05,-0.000128969050200919,-5.18187389426574e-05,-0.00040372291324371,-0.000375606766269724,-0.000111439697396175,0.00101300832496769,-0.000322914570783448,1.39463842585641e-05,0.00020826860164248,1.67008758511e-05,-0.00070354104615448,9.33980313349622e-05,0.00029549810410709,-6.21969029313533e-05,-0.000204618270878909,0.000193418000635146,0.000509567577732205,-0.000896946093001241,0.000353684037538792,0.00137631240772743,-0.000161443722577335,-0.000375535051191769,-0.000931320069365656,-0.000358588927011851,0.00027782850015869,-0.000100487406222985,-0.000218937059322018,-0.000422174401086998,0.000120602783107897,-8.33059779246778e-05,6.05799480198616e-05,3.32175374091258e-05,-7.56060818646934e-05,-0.00017701891775789,0.000170742062275251,-2.14866667646824e-05,-6.17279005937601e-05,0.000175138954075154,-0.000576070646438487,-0.00254868456890643,-0.152613690859754
"kabwe","beta1",-0.000132106183242854,8.95524750240636e-05,-1.34675720842486e-05,-7.99329046342481e-06,3.39836859552895e-05,-2.56096560873922e-05,-2.43324493231948e-06,-5.74788511656631e-06,4.52305806873561e-06,1.64879866749627e-07,1.77524469543728e-06,2.07437677223182e-05,0.000208355087022378,-2.61340425345894e-05,2.45923250330568e-07,2.39700146791243e-05,-1.6669604513053e-05,-2.50617259492415e-05,-1.89218893455479e-06,-1.46787325021704e-05,3.91438594214598e-05,4.39985614542857e-05,-3.66470632096939e-05,1.30648689988782e-05,2.80692879794566e-05,-3.87336546200713e-05,-6.05928893711273e-05,5.37321746902274e-05,2.43179334443077e-05,-0.000115992780607215,4.48901537496929e-05,1.31254582952918e-05,-3.06659002626923e-05,-6.29958027410009e-06,-9.35002293469418e-06,7.18848473115978e-06,2.06519092879929e-05,-3.75217009782709e-05,-5.0757937307715e-06,-4.09631760735023e-06,9.22174489873219e-06,2.70481928860216e-05,9.60494123653889e-06,-1.33265277921612e-05,-2.8919938647467e-09,1.23017334693197e-05,2.08310215229746e-05,1.0525229072151e-05,1.9281624620903e-05,0.00025979250926289,0.0503007402696234
"kabwe","beta10",-0.000209109974356638,-1.34675720842486e-05,0.000337369813724507,-0.000106377265134016,-2.41086627492924e-05,-6.60244932119204e-06,-7.57904874655166e-05,1.34570799517017e-05,2.50581438992518e-05,3.19914234728727e-05,-2.3966474142313e-05,-6.56979762658877e-07,8.88434639476045e-05,-3.63092939966739e-06,1.98143808588225e-06,-1.41331395165097e-05,-5.69351921203129e-05,3.41782586368368e-05,-3.1908059920277e-05,5.62426795420156e-06,-1.96298587934754e-05,-4.02537602249371e-05,-5.87431835662605e-05,9.25162592627721e-06,0.000118752904475051,1.62965239156913e-05,-5.36313660226287e-05,3.83202679932748e-06,-1.30940473350361e-06,-5.80089638861765e-05,6.03335519779711e-05,7.5261615349894e-05,-6.82085390174425e-05,-1.86895909817433e-05,-2.61063986195451e-05,-1.894696392112e-05,3.33405163053915e-06,8.44069476457773e-05,4.55999975121528e-05,2.21321475302542e-05,-5.70259099853314e-06,-6.52751141975516e-06,2.4546580409072e-05,1.80405785725355e-05,-3.01362801982085e-05,7.29053550754869e-05,8.52366170361772e-06,-1.92405688759609e-05,-0.000103121547764099,0.000279123225654411,0.0375111423516962
"kabwe","beta11",-0.000388421945050754,-7.99329046342481e-06,-0.000106377265134016,0.000237733531183772,-3.33908594483742e-05,-5.10491567515825e-05,-5.50410940860076e-05,-2.39227171578211e-05,9.22487919974071e-05,-5.28738140726233e-05,2.02081344561392e-05,4.99394633426082e-05,-0.000364153049079529,6.17356743350742e-05,-3.58096723900712e-05,-0.00013746328318619,0.000153680110434698,1.04210837639364e-05,-2.07610690827528e-05,-1.29827424440014e-05,6.53712411244115e-05,-1.64142619285165e-05,0.000106281597164956,-3.5576449404225e-06,-0.000107167887523068,-1.34346505124311e-05,-7.7341836153249e-05,0.000133655737192364,4.93599141474371e-05,-0.000110833810454618,-7.29808047751897e-05,4.25577860234975e-05,0.000204093757479996,6.44097210632062e-05,-6.74787017038008e-05,1.53581244055481e-05,1.44495046284848e-06,7.13314946420873e-05,-4.24409328802426e-05,2.0770672578802e-06,-4.24909721886845e-05,-2.48660989019877e-05,1.85416985416147e-05,9.39597442023547e-05,3.86878081330681e-05,1.88833591773312e-05,-6.80623227593286e-06,-4.18724393559171e-05,-2.94844798611679e-05,0.000346920168008297,-0.0533935737493126
"kabwe","beta12",-7.03633758695607e-05,3.39836859552895e-05,-2.41086627492924e-05,-3.33908594483742e-05,0.000212151931786869,-6.64011135313468e-05,1.16407514914559e-06,-1.2923425750635e-05,1.43555305502855e-05,-6.25738560913943e-05,-3.89016783892474e-05,4.79934740035413e-05,0.000285494674253948,4.29509239957423e-05,-2.63822225611233e-06,-4.92087172694615e-05,6.49375290768189e-05,-3.1702868278038e-05,-1.60175271452637e-05,-6.0524400239367e-06,5.67118798708222e-05,2.50064289759809e-06,4.21379716660362e-05,5.85875394565395e-06,-2.63302015106492e-05,-3.94720595147852e-05,-3.45548843435455e-05,4.86664147756433e-05,6.26239887355371e-05,-0.000166231898550356,-4.20248123845719e-05,5.44662901488594e-05,0.000114307527432396,3.75881561413105e-05,-1.63504278331595e-05,1.99603145977174e-05,1.80220760429255e-05,1.83111242021793e-05,1.99640670646083e-05,8.917887730346e-06,2.19517030326922e-05,2.16219794066916e-05,-8.33556988773125e-05,-1.04828266808021e-05,-2.19582007521252e-05,3.48852094399479e-05,-3.18656866023356e-05,1.06456429278547e-05,-6.43766139589048e-05,0.00106336214766261,0.018981195071277
"kabwe","beta13",0.000313444775112152,-2.56096560873922e-05,-6.60244932119204e-06,-5.10491567515825e-05,-6.64011135313468e-05,0.000278819554644138,-4.3956514290356e-05,-7.93910369188989e-06,-2.53638776439588e-05,-3.16460556912852e-05,-4.25584012140097e-05,-5.74279442797708e-05,-0.000294024849093224,-1.62466838033977e-05,6.6144116262188e-05,-5.46634017973834e-06,2.4222742122936e-06,-4.74373503646076e-05,6.85134730171736e-05,5.02529930828829e-05,-0.0001025619113296,-5.71532827132298e-05,-3.84226887410676e-05,-4.05591970362747e-05,-0.000125589644898766,7.76978911477328e-05,0.000146229815354086,-0.000170272653925664,1.29984946719243e-05,0.000222611563721702,-1.22213843101257e-05,-5.61721206550169e-05,-0.000149692949182983,-5.80129375650964e-05,8.26058626030099e-05,3.4480728637156e-05,2.13334029144455e-05,-2.04168933249072e-05,5.31635177324351e-05,1.06887947135651e-05,-9.33338186410509e-06,-1.6977628484788e-05,-3.82947381928721e-06,-2.25173723274785e-05,4.85691348437483e-05,1.4448670599232e-05,-6.25049518948134e-05,-5.7014498086192e-05,-1.71468858072174e-05,-0.000379050713100079,-0.021449146388458
"kabwe","beta14",0.000387247894527221,-2.43324493231948e-06,-7.57904874655166e-05,-5.50410940860076e-05,1.16407514914559e-06,-4.3956514290356e-05,0.000304423278291029,-6.22970560146088e-05,-0.000125398703276576,2.56385005873701e-05,-4.23196625559891e-05,-2.22672354779745e-05,-3.76328404980575e-05,-1.59990798480055e-05,2.39632175584335e-05,0.000118917121624939,-9.38887722159051e-05,1.31356910358037e-05,4.34218060069212e-05,2.53729422467143e-05,-9.9410455850335e-05,0.000135390543638395,-8.79087079883204e-05,1.16308080636285e-05,2.82364901790087e-05,1.90617378866607e-05,-1.33621051724082e-05,-3.186543150578e-05,1.99690113570895e-05,4.21793557079531e-05,2.10164945331516e-05,-5.82359109196519e-05,-0.000144037268245284,-5.41310530687133e-05,3.49643047890732e-05,-1.32310312396102e-05,-3.43119970600591e-05,-7.87265534328551e-05,-3.52375573941933e-05,-2.2984422217561e-05,7.79703289653033e-05,2.42119714228566e-05,-3.78795534505569e-05,-2.92719864062854e-05,6.5810825307323e-05,-4.16736253419122e-05,-4.5738258853191e-05,5.57102104850176e-05,-2.58591303974998e-05,-0.000256053791561097,0.0105345602724616
"kabwe","beta15",0.000166334695577833,-5.74788511656631e-06,1.34570799517017e-05,-2.39227171578211e-05,-1.2923425750635e-05,-7.93910369188989e-06,-6.22970560146088e-05,0.000320917544060162,-0.000181760486316537,-1.89738191859394e-05,-3.34799440046816e-05,-2.79227454970122e-05,-0.0010080720729757,-3.98771034127376e-05,5.70337801896957e-05,-1.15246637039042e-05,5.28958198577623e-06,-4.47330952415553e-06,1.0710733718394e-05,-1.69144210187828e-06,-4.25857393949853e-06,-3.23325722676483e-05,-8.00683099242124e-05,-3.74197563701072e-05,0.000128976759216353,1.42545160331846e-05,3.17743728790862e-05,-9.26473052635665e-05,-9.5987207131339e-06,0.000107718962068271,-2.44833248137354e-05,-1.31755994997072e-05,-0.00020197601610032,-1.93430919776165e-05,3.29372640340533e-05,2.03241546933226e-05,1.05744837103166e-05,5.63171726739232e-06,-3.36665418136238e-05,-5.7438007014348e-06,5.35838194835178e-05,-2.98865547003431e-05,1.41258201643799e-06,4.96742096876902e-05,-2.43291594364588e-05,3.67768241857058e-05,4.18713577047102e-05,1.67426174312479e-05,-2.84297611182556e-05,-0.000649252828400301,-0.0352841790237
"kabwe","beta16",-0.000458148883283741,4.52305806873561e-06,2.50581438992518e-05,9.22487919974071e-05,1.43555305502855e-05,-2.53638776439588e-05,-0.000125398703276576,-0.000181760486316537,0.000404196546738887,-0.000112420431790024,-3.70574871832022e-07,4.80855240216003e-05,0.000966947124242802,0.000109485281256086,-5.02966668517952e-05,-0.000101643517721797,5.96394713263187e-05,5.38227032107547e-05,-6.62031569915323e-05,-3.81074561512268e-05,8.36765855254176e-05,-5.95538383960502e-06,0.000153296888668672,5.12876805023667e-05,-0.000160690068045766,5.09036208035011e-05,-6.79733820423394e-05,0.000132621603669249,2.7161792365424e-05,-0.00019787920385325,-2.24540380125572e-05,4.33833731733464e-05,0.000444046472276292,0.000104661732986616,-6.82160169753885e-05,-2.53258972965805e-05,1.30366223488693e-05,9.3124634888509e-05,1.19841787468633e-05,1.67609195108742e-05,-0.000134963540395609,2.34858093936656e-05,1.28007586242377e-05,-4.14707958713552e-06,3.04765106416843e-06,1.68719573242198e-05,-5.42647158134782e-05,-8.70322877036628e-05,-1.98313022594226e-05,0.00151680210200277,0.00249824536030304
"kabwe","beta17",1.1593633423842e-05,1.64879866749627e-07,3.19914234728727e-05,-5.28738140726233e-05,-6.25738560913943e-05,-3.16460556912852e-05,2.56385005873701e-05,-1.89738191859394e-05,-0.000112420431790024,0.000374865493153239,-2.43214974678195e-05,-0.00011622441087041,0.00100889685446163,-0.000114660179110033,6.42439577693176e-05,4.13770903160608e-05,-0.00013821736216152,5.21585439681929e-05,-7.74472902754819e-06,-1.91483975308168e-05,5.47883762268594e-05,-0.000104707094615807,6.55805065210614e-05,-1.48325038695301e-05,-3.59095294707124e-05,2.68516043195937e-05,-6.28202231143105e-05,2.15120999653965e-05,-0.000133627348977901,0.000144425995322977,-0.000117566034104448,0.000144372996639783,0.000159252906295981,-3.65227025084444e-05,-3.37908291703527e-05,-2.26873175812131e-05,-3.49524992709179e-05,-8.34480031084602e-05,-0.000100152741089238,-3.79135055183923e-05,-5.14231109240846e-07,2.85697474470973e-05,4.81941028815653e-05,-1.10331466291161e-05,4.78161702213714e-05,-5.51520718403079e-05,1.18843799134331e-05,-9.64020668471888e-05,-3.98839802900328e-06,-0.00139532071596763,0.0246225281264016
