"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000154024794507276,-5.98736280005332e-07,-4.59364768131659e-05,1.15610098608006e-05,2.29103735074962e-05,-2.90594840680382e-05,1.35329078468586e-05,-3.71121246635367e-05,2.24125557577055e-05,2.02764124902323e-05,-2.29952633526591e-05,2.06846351995483e-05,1.52552913358149e-05,-1.33565393266656e-05,-5.8677644095954e-06,1.46367343352193e-05,1.77951895569098e-05,-3.37272083717158e-05,2.33065724990403e-05,-2.01574697870912e-05,-2.08624146541656e-05,4.79832264843159e-05,2.22874765097639e-05,-9.27934297343894e-06,-2.8228570157657e-05,2.13587983092789e-06,1.63481369282716e-05,-7.78411562655667e-07,-5.61318366021275e-06,2.83485022584289e-05,-3.90057287512741e-05,5.94241740263066e-05,-8.16787856513789e-06,-3.38962018853063e-05,4.39340529787253e-05,-1.64548267912786e-05,2.17712508902186e-06,7.67736789951925e-05,-4.92526552764025e-05,4.38669740077815e-05,-2.13720196223799e-05,4.14434990007823e-06,-2.93746671816925e-05,-9.95584813494657e-06,2.18611488527014e-05,7.07475355403968e-06,-1.60948827564489e-05,-1.78424594729066e-05,4.22334625889644e-05,1.54903478286363e-05,0.015851558409565
"kabwe","beta1",-5.98736280005332e-07,5.87129614753024e-05,-1.77727911180359e-05,1.92282174271598e-05,-1.01160494198964e-05,1.46297396313502e-05,6.57825120357176e-07,-4.83287468461851e-06,-4.6123676900123e-06,1.07824246939216e-05,-1.60438532692e-05,7.34890420090465e-06,-7.46311800882034e-07,-8.19273138648432e-07,-1.01241214505557e-05,6.38527673799745e-06,6.4951166559845e-06,-1.29658794560481e-05,8.31458069856708e-06,-4.83285079227703e-07,-1.08248583757098e-05,-1.25066615952807e-05,5.05313359504707e-05,-3.47049188967545e-06,-1.71806000016312e-05,-3.29061312904376e-05,3.10845616868874e-05,-2.56360025591357e-05,4.07845605052616e-06,1.19961993410506e-05,-1.50488709168904e-05,3.27340882025255e-05,-4.59021718071349e-05,-2.28424007324735e-05,-3.1348062186656e-05,4.83540995262482e-05,1.41978614263135e-05,-1.13790409252484e-05,1.11290634656297e-05,1.59367061073502e-05,-3.63501027182968e-05,3.94925072456706e-05,-1.82161023843532e-05,-1.55382099997231e-05,7.66400299924663e-06,-2.04780128602973e-06,1.71099943425668e-05,2.46075490136582e-06,-2.35842958333696e-06,-5.40230886461543e-05,0.00611771921580265
"kabwe","beta10",-4.59364768131659e-05,-1.77727911180359e-05,0.000197265743923446,-0.000103174224106637,2.39823660101315e-05,-4.13241057844808e-05,5.06798345204521e-05,-1.63459785783826e-05,-1.65326832849272e-05,4.61654975559622e-05,-1.25470800650683e-05,7.89044411318641e-06,3.9805944542383e-05,-1.68994458204496e-05,2.77683974855422e-05,-1.8253211757582e-05,-3.95139055817638e-08,1.29568178426104e-05,-3.04648250178296e-06,1.01702604105621e-05,-1.6473556842739e-05,1.35721451296831e-05,-8.02478632864203e-05,2.86549872445659e-05,0.000102665792092346,-5.04936569887005e-05,-2.10720764975293e-05,3.29232599624072e-05,3.98439217606123e-07,-9.16422448024026e-06,-3.52667823131082e-06,2.24498832397663e-06,1.71452501551419e-05,0.000106290581609072,-2.24860307808327e-05,-7.09997229141969e-05,-0.00010654690652668,8.73021294180127e-05,3.00426321993722e-05,-4.50539077148683e-05,5.04762070720921e-05,-4.93171284033548e-06,4.02763589404147e-05,-6.13946146277555e-06,1.58342796372702e-07,-7.86765671471345e-06,-3.79706415097451e-05,4.16868938018162e-05,-0.000104978465879671,-3.53410913632107e-05,0.00243777331242468
"kabwe","beta11",1.15610098608006e-05,1.92282174271598e-05,-0.000103174224106637,0.000104620043521304,-5.32485453441579e-05,3.9567603136608e-05,-2.83917020453805e-05,1.59131019393592e-05,2.37416154638101e-06,-4.6451843171021e-05,2.61413397248338e-05,-9.08655172382151e-06,-4.76909385965664e-05,8.35823273547599e-06,-4.85978169069619e-06,1.09848520925165e-05,-1.80379821773917e-05,1.09070080773124e-05,-4.03362484076235e-06,-2.74533641173841e-06,-1.28111756606176e-05,-2.09070718232994e-05,5.34642784611105e-05,9.54861086430089e-06,-5.59825532366051e-06,-1.47745499438658e-05,3.38023589002658e-05,-3.72849459042975e-05,9.96117713153514e-06,-3.96190314664486e-06,-1.31030437728917e-06,-1.23276428631089e-05,-2.80941793853732e-05,-4.17284020201427e-05,-1.54426204475654e-05,7.89752105062846e-05,3.38255674737628e-05,-8.33537012793772e-05,-1.47048249737836e-05,2.70131541273566e-05,-4.62512616930452e-05,8.63560331924667e-06,-4.46398608577094e-06,-6.6693389714234e-05,4.0088051847296e-06,-3.44286638251866e-05,4.04676529531989e-05,-1.4268320186049e-05,3.5365467763386e-05,-2.46265078638482e-05,-0.00910235670964742
"kabwe","beta12",2.29103735074962e-05,-1.01160494198964e-05,2.39823660101315e-05,-5.32485453441579e-05,7.51439435241305e-05,-6.45078976789464e-05,1.78387999718021e-05,-1.82928586695927e-05,1.15289769902827e-05,3.90527944336701e-05,-3.04121549429849e-05,9.47404500507487e-06,2.93199645685899e-07,-1.00246387829714e-05,7.02015617423482e-07,-5.63187003778224e-06,2.15678003824906e-05,-1.88495027269012e-05,4.6254413855237e-06,3.10273367159337e-06,5.99138562667866e-07,3.7503291648367e-05,-2.28614290166898e-05,-2.86023960950609e-05,-4.01785942151588e-05,2.15728136822301e-05,-1.85131242940411e-07,8.88570096854931e-06,-2.55075124726526e-05,2.38358906171967e-05,-1.71778311830219e-05,3.37087591293148e-05,-3.96706593515764e-06,-2.52535562995996e-06,3.55334390098716e-06,-6.91543630334064e-05,1.36894144551819e-05,7.39705797748118e-05,-2.07340220678717e-05,-2.84075107476999e-05,7.50382433058645e-06,2.1033491540208e-05,-6.06459336303479e-05,7.16689916233775e-05,1.80160499276767e-05,3.34490393909033e-05,-2.25222748088065e-05,-3.57261789034592e-06,-5.66318551659085e-06,0.000102973782622285,0.000154167604615991
"kabwe","beta13",-2.90594840680382e-05,1.46297396313502e-05,-4.13241057844808e-05,3.9567603136608e-05,-6.45078976789464e-05,0.00012706296609455,-9.11573497683947e-05,3.99881145607761e-05,-1.01874159671769e-05,-5.11006921338362e-05,2.85643546507273e-05,-1.1074242928413e-05,7.72531214204174e-05,1.35471834335773e-05,-5.27221932116061e-06,4.1199605590183e-06,-2.47138790189104e-06,5.33386980607519e-07,-1.66781898933813e-06,4.01625957086669e-06,1.04855235845812e-05,-7.64195872262329e-05,8.763445614913e-05,-1.29453846025007e-06,9.80262864141286e-06,-2.226574878703e-05,-9.14321281435396e-06,1.19056651166659e-05,4.65018369956261e-06,-1.46235965088594e-05,2.37466258749949e-05,-3.0236633285847e-05,-2.81859596719613e-05,2.31835877242056e-05,-9.19728676362774e-06,7.25345067951277e-05,-2.36883904656452e-05,-6.2702363389261e-05,1.50767188471773e-05,-2.88793897393767e-06,2.52266780727518e-05,-4.20308318026288e-05,3.77915387914736e-05,-5.48157407801494e-05,-3.10046488036508e-05,-3.01950863563189e-05,9.76021917594486e-06,1.52215618781114e-05,1.56025904901838e-05,-2.43277520845994e-05,0.00692425520587434
"kabwe","beta14",1.35329078468586e-05,6.57825120357176e-07,5.06798345204521e-05,-2.83917020453805e-05,1.78387999718021e-05,-9.11573497683947e-05,0.000170799770277759,-0.000101950623284985,-2.73334085925151e-05,8.91660591084944e-05,-2.42292279529156e-05,2.69640403051163e-05,-2.23147051034143e-05,-3.46763364496429e-05,1.16236262071825e-05,1.32633505091757e-05,-1.89389593416558e-05,1.79568037169556e-05,4.39917926064012e-06,-1.54962936182477e-05,-1.32568435458233e-05,5.33802460646822e-05,-8.41180111208241e-05,-3.53035418924319e-05,4.1502978298579e-05,-7.85938440012776e-06,7.8377466204193e-06,-4.12474481913508e-05,4.77509858098787e-05,-9.42686794288516e-06,-2.68693864379345e-05,3.79832243997555e-05,2.50944569183847e-05,1.53158912132827e-05,2.14063388986672e-05,-9.9765205266565e-05,4.77128308935209e-05,-1.4252224651749e-06,4.94664127259603e-05,-1.6212073045747e-05,1.47943437275384e-05,-1.58810315794051e-05,4.34374865660738e-05,1.75385198258765e-05,6.14794914454321e-05,-3.64506068948492e-05,-1.44324494443237e-06,1.60232604222767e-05,-3.03032177891077e-05,-0.000102108937981316,-0.00213888378466489
"kabwe","beta15",-3.71121246635367e-05,-4.83287468461851e-06,-1.63459785783826e-05,1.59131019393592e-05,-1.82928586695927e-05,3.99881145607761e-05,-0.000101950623284985,0.000123232100636791,-2.85359701119495e-05,-5.13906827773374e-05,1.89697443712648e-05,-2.99958727134971e-05,-2.6140170682835e-05,3.22282381652937e-05,7.93922218122022e-06,-3.16935281120375e-05,1.28204453666159e-05,-2.26977963187104e-06,-7.8120850799421e-06,1.44543717207196e-05,1.15825319447118e-05,-3.90163692659951e-05,3.91042050235825e-05,3.88247950285041e-05,-3.93571174919091e-05,4.44044279944661e-05,-2.47632304740885e-05,1.83451535527056e-05,-2.8182201416244e-05,4.24267178180731e-06,2.0665827727297e-05,-3.74242132898414e-05,-1.15350034342538e-05,-1.85729703055293e-05,-3.73997586189385e-05,9.0112780458023e-05,4.78859561820106e-06,-7.34868253941014e-05,5.29524969195316e-06,-1.41878141797316e-05,8.61893461284205e-06,2.82874885420058e-05,-5.69703668677808e-05,-2.19000887224925e-06,-5.54584080722632e-05,3.65530228205643e-05,1.63924931285889e-05,-2.84408003118181e-05,1.38657850230288e-05,6.53725836755205e-05,-0.011613580282746
"kabwe","beta16",2.24125557577055e-05,-4.6123676900123e-06,-1.65326832849272e-05,2.37416154638101e-06,1.15289769902827e-05,-1.01874159671769e-05,-2.73334085925151e-05,-2.85359701119495e-05,0.000132530957990781,-0.000126231881750994,1.75770156526412e-05,-5.89202031785853e-07,1.53051949319615e-05,1.64844610085692e-05,-2.7183462779442e-05,1.78412791612586e-05,-2.39220598105663e-06,3.78458551554252e-06,-8.21571903951781e-06,-4.82075733025565e-06,3.07649020375164e-05,1.06131212893319e-05,-5.17232720164677e-05,3.78844746514264e-05,3.96301964822441e-05,-1.98698217461829e-05,7.91876978778073e-06,4.67013249052807e-05,-3.86857210887571e-05,7.63801455453858e-06,2.919585656926e-05,-3.58425802264884e-05,3.30948800868336e-05,-5.64686840924902e-05,1.32284220455405e-05,6.8437716875695e-05,-7.60841756302831e-05,0.000106805039567281,-6.48287014355644e-05,6.7417919710984e-05,-7.49421751524577e-05,2.52177057093807e-05,4.56426219798705e-05,9.22416671941353e-06,-4.05468449147744e-05,3.9797402343128e-05,-4.24949364869939e-06,-1.11248153250507e-05,1.05690655528638e-05,-3.10327511518385e-05,0.00996384628885138
"kabwe","beta17",2.02764124902323e-05,1.07824246939216e-05,4.61654975559622e-05,-4.6451843171021e-05,3.90527944336701e-05,-5.11006921338362e-05,8.91660591084944e-05,-5.13906827773374e-05,-0.000126231881750994,0.000309413911979109,-0.000148112048322877,3.03093183155454e-05,-6.58270180967229e-06,-4.12081819324978e-05,2.94581473806873e-05,-1.79781110227874e-05,3.18544072835975e-05,-2.46635942512941e-05,6.39353597223065e-07,1.03907338479527e-05,-6.77409139885152e-05,5.75717145941852e-05,2.25407051758915e-05,-9.24712078341593e-05,-3.43582940698858e-05,-1.93846491851472e-05,1.47566420125578e-05,-7.54184888658401e-05,5.80739305292106e-05,-4.64376585193142e-06,-4.34667825413734e-05,7.88725828581888e-05,-3.2980761923751e-05,0.000114345797877095,9.88375608093992e-06,-0.000215410733656692,8.1446041275566e-05,-1.00021060650436e-05,8.86507677774436e-05,-0.000128007422664146,0.00013404414904855,-4.91928435841239e-05,-4.56890340067855e-05,4.66345505757051e-05,9.73032676334511e-05,-6.61059626408545e-05,-2.86300183785874e-05,4.28593580688769e-05,-2.99333799148183e-05,7.94109527930181e-05,-0.00725228958881701
