"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.00013506582192615,2.0850523853329e-05,1.26388432413782e-05,1.94815875033743e-06,1.30692119037213e-05,3.70317213127092e-06,-3.07270114250326e-05,1.73759592020143e-05,3.53329458702452e-06,-4.45133331725863e-05,4.17933439392618e-05,-3.77132889464176e-06,4.8686748815626e-05,-3.39565199079484e-06,1.85333644171194e-05,-8.09449480987717e-06,2.29173202042705e-05,-3.4366152265874e-05,1.97092783437648e-05,9.03472827893586e-06,-2.2498154387795e-05,1.57773696155849e-05,-1.04605050450442e-05,2.40580827959519e-05,5.95929570662435e-05,-4.47739135857322e-05,4.80146388537781e-05,-2.04483461575363e-05,-1.03480437734498e-05,2.94683694393873e-05,1.25138395849532e-05,8.88426315260103e-08,3.04231600564312e-06,-3.1335287831173e-05,1.54484188412729e-05,8.35686721518891e-05,-2.82890470394934e-05,-1.65254621186174e-05,7.4512506693936e-05,-1.01381897779002e-05,-5.93480543484757e-05,5.58808913012259e-05,4.78293371627975e-05,2.26631200004908e-05,-2.45175327662662e-05,1.25037751434971e-05,-3.63021492614649e-05,2.64673863646906e-05,-1.93232098461585e-05,-1.30270605837079e-05,0.0181409992352055
"kabwe","beta1",2.0850523853329e-05,6.91855186187124e-05,2.71427609454745e-05,-2.95781692224327e-05,4.00833652559196e-05,-2.44424301629571e-05,-1.46950071108346e-07,8.68291279411734e-06,1.103718877446e-05,-7.20361714085068e-05,5.6183701370495e-05,-6.04423367079488e-06,3.83805406863973e-05,-8.94823954971575e-06,8.22327858240857e-07,1.56112940432691e-06,2.61598375005105e-05,-3.29971904786235e-05,2.05319826027093e-05,-1.62179136258088e-06,-2.70909326525846e-05,5.3026793834141e-05,-5.59182329266943e-05,-4.62160733668428e-05,2.67574666539478e-05,4.06098580248811e-05,-5.83601529218689e-06,-2.05726680417139e-08,-9.55909985372964e-06,2.58050192248743e-05,-1.74088875847614e-05,2.43091275291269e-05,-5.22650281755755e-05,2.1604423999407e-05,1.43414998611638e-05,1.31612787035638e-05,-1.76058574120203e-05,2.30400567663649e-05,-1.58895308940264e-05,1.38439233055406e-05,-4.16232929990423e-05,-1.24591671405474e-05,6.04273348848397e-05,-4.23408466804297e-05,2.88586196161883e-05,1.59229786231688e-06,-1.10439403491917e-05,3.56212219476381e-05,-4.41373463106596e-05,2.15542654826626e-07,0.023584057425838
"kabwe","beta10",1.26388432413782e-05,2.71427609454745e-05,0.00014111028162033,-4.26207579820713e-05,1.76860917167358e-05,-4.68052573382982e-05,-4.85941858112654e-07,4.8836521539237e-05,-8.70919671525012e-06,-6.79017730327922e-05,7.26922171253024e-05,-1.99361653355484e-05,-5.61396887462726e-06,-2.44264894103176e-05,9.88135766141089e-06,-8.56117956022412e-08,3.21223015245625e-06,-1.96955330639987e-06,-3.42694270180728e-07,6.48984590808202e-06,3.03284007766796e-06,-5.47054478890998e-06,1.04932647828157e-05,-8.92389923829505e-06,-4.04598533314566e-05,2.17287842983095e-05,-1.30780623721599e-05,1.55582467867487e-05,-2.18188527871677e-05,2.98826084826715e-05,-3.77958326039755e-05,6.77528644015455e-05,-9.21450055145368e-05,3.37166348548967e-05,3.93698322687542e-05,-2.20706192733907e-05,-2.06412707764923e-05,6.94436088247668e-05,-3.75231041014501e-05,-7.2917436792923e-05,4.32983502938787e-05,-4.94722143587882e-05,3.57988584266473e-05,-8.12137593984545e-05,-5.67869541609875e-06,3.58352015426363e-06,6.90655579441743e-06,-3.29419588724619e-05,-7.07280117047642e-05,9.41250045295954e-05,0.0134677895963506
"kabwe","beta11",1.94815875033743e-06,-2.95781692224327e-05,-4.26207579820713e-05,8.26455484004737e-05,-8.37794572539877e-05,4.29936663125803e-05,-7.78243848241459e-06,-1.11454648613057e-05,-1.72944356208529e-05,7.75185975749084e-05,-5.75027660883692e-05,9.39104066290253e-06,-4.25715139211651e-05,1.19673284277871e-05,-1.22526673046809e-05,1.93645843140232e-05,-3.96361275127504e-05,4.30398249207503e-05,-2.68973936914347e-05,1.47907534143528e-05,1.94067479428403e-06,-3.29547884343597e-05,2.12139056336551e-05,-1.41012283817307e-05,1.70152769709077e-05,-1.77985501243394e-05,-1.97123579604015e-06,5.58181023031337e-06,1.91779711717926e-05,-1.92582594645842e-05,3.23233289686628e-05,-3.13839044582762e-05,4.47450771613203e-05,-1.8743411429562e-05,6.24474749637195e-05,2.82412344403049e-05,3.53432383114536e-05,-3.05971116961104e-05,5.09983717440199e-05,-2.50122791886668e-05,3.67630083402055e-05,-1.4988658038495e-05,4.08079709623779e-05,3.84973507192433e-05,-2.46316857358047e-05,-3.71882475465296e-05,-4.45217006371454e-06,-7.46061154671322e-06,2.44514914147947e-05,-2.0538657623381e-05,-0.0189489945011876
"kabwe","beta12",1.30692119037213e-05,4.00833652559196e-05,1.76860917167358e-05,-8.37794572539877e-05,0.000163571396795418,-0.000107134218676279,7.13261570268261e-06,4.15381334719736e-07,3.12567949762559e-05,-0.00013162498892961,0.000131917247463602,-4.14780685673471e-05,6.07787597417675e-05,1.24023776989881e-05,1.60800418683903e-06,-2.29333194057749e-05,6.09162657702645e-05,-6.84891924874159e-05,3.10154893241443e-05,-1.66007291782537e-05,-2.67056396128354e-05,0.000113564768096277,-5.86523032058638e-05,3.1216520111627e-05,-6.2081905074187e-05,7.42763276576783e-05,-2.67148875776551e-05,2.02500646886109e-05,-5.3164162169642e-05,4.41606832249659e-05,-4.15004120057572e-05,4.67221863960528e-05,-6.63378786442245e-05,1.09955613204439e-05,-7.35644966426126e-05,-7.41646868409323e-06,-6.51670203284728e-05,8.05266577434487e-05,-0.000120199241707692,0.000103644933444713,-0.000100314648045486,0.00011212291881355,-0.00017166911408736,1.82821268079898e-05,-3.49254576044604e-06,9.2990427148357e-05,-1.0357488348031e-05,1.32585223400912e-05,-2.3370360301665e-05,9.93014804436566e-06,0.0262965338119908
"kabwe","beta13",3.70317213127092e-06,-2.44424301629571e-05,-4.68052573382982e-05,4.29936663125803e-05,-0.000107134218676279,0.000194711430901983,-0.000131471073921361,-7.17399923835111e-06,1.15792569583846e-05,9.90563151392268e-05,-0.00010849999621057,4.77006075647673e-05,-1.17237836683993e-05,-1.85507501947505e-05,2.46041815430543e-05,1.04478306984172e-05,-5.12898141849815e-05,4.30376460933597e-05,-9.5381376059146e-06,2.20430874056315e-05,-1.60427424639978e-05,-4.59990058530296e-05,3.71163376538365e-05,1.62748986499556e-05,9.19422651089981e-05,-0.000123072379980193,8.98253509257045e-05,-7.3621252164764e-05,7.80485897537404e-05,-5.64183302983347e-05,4.49740584175552e-05,-2.47469104114593e-05,7.76523911164692e-05,-4.70296988964171e-06,6.72800090278693e-05,3.17566751014549e-05,2.29385863224452e-05,-0.000119249301648533,0.000191861117940026,-1.01276189177855e-05,-1.83452750874909e-05,1.25824532517609e-07,0.000156668920235838,-2.06997536965181e-05,-6.20281654083135e-06,-6.75219019830769e-05,-1.79473816244668e-05,2.64069277539072e-05,2.11785282193213e-05,-5.51954958455556e-05,-0.00513051894332256
"kabwe","beta14",-3.07270114250326e-05,-1.46950071108346e-07,-4.85941858112654e-07,-7.78243848241459e-06,7.13261570268261e-06,-0.000131471073921361,0.000232231690398373,-6.65986105957884e-05,-1.30050288556152e-05,-3.24128282386064e-05,1.37943501779444e-05,-1.28445664216073e-05,-2.81789694268601e-06,8.03820431958902e-06,-2.06944461986504e-05,-9.12358037310589e-06,3.67866905262592e-05,-7.69827067101253e-06,-5.68497368627991e-06,-3.62451157467122e-05,6.24076723955193e-05,-4.36360388009491e-05,-1.9774953572901e-05,-8.42620750199811e-05,-2.45792836140841e-06,5.37247034175773e-05,-5.28091142167033e-05,3.65159194339812e-05,-4.37185869436529e-05,1.97904060590451e-05,4.21527393312798e-07,-6.90409917274753e-05,-9.47741337350565e-07,-4.96968189223224e-06,-0.000105547520814209,-4.73456575685013e-06,-8.38366286810306e-06,9.78483267814391e-06,-7.39082541518241e-05,-7.93358508347469e-05,8.72589975679856e-05,-0.000125134552434368,-9.37664714697599e-06,5.15752511825439e-06,4.84683882371528e-05,1.03172665032873e-05,8.616333848898e-06,2.74087598727166e-05,-5.79229871443006e-06,4.90988282042143e-05,-0.0243949704113695
"kabwe","beta15",1.73759592020143e-05,8.68291279411734e-06,4.8836521539237e-05,-1.11454648613057e-05,4.15381334719736e-07,-7.17399923835111e-06,-6.65986105957884e-05,0.00013124532052315,-6.60208633990915e-05,-4.9140368456481e-06,2.46420937045261e-06,3.0206391769358e-06,1.91757171106481e-05,-1.55105319270798e-05,7.93882657314073e-06,-8.80716015748441e-07,-6.24166522222346e-06,-1.23674941322887e-05,1.43178412367787e-05,-2.12890219560099e-06,-3.09219503350107e-06,-3.47160782019896e-05,3.55296927778852e-05,9.36859529150217e-06,-5.58163483120342e-06,-3.05407214965977e-05,1.15613430367286e-05,-1.54213124488873e-05,1.78185032096224e-05,-7.4961050030291e-06,-2.70294514917079e-05,5.28472312278511e-05,-4.22001376349938e-05,2.37762125396529e-06,5.74926965390734e-05,-6.68547263174799e-05,3.09922859188096e-05,5.23911560432639e-05,-6.10661223775024e-05,2.23015730397534e-06,-3.40997546757079e-07,-3.01021732712675e-05,2.43495550885527e-05,-4.08101166230178e-05,-2.30514663900489e-05,-8.96775798517538e-06,4.28795733173242e-05,-7.89303424018082e-05,-2.1745714370737e-06,9.41505162468823e-05,0.0166252413403076
"kabwe","beta16",3.53329458702452e-06,1.103718877446e-05,-8.70919671525012e-06,-1.72944356208529e-05,3.12567949762559e-05,1.15792569583846e-05,-1.30050288556152e-05,-6.60208633990915e-05,0.000134982292622666,-0.000131302383369172,2.62768990762717e-05,1.6816620896263e-05,4.80295006139566e-05,-1.88615357960558e-05,1.8273987589361e-05,6.48652404937389e-06,-3.53476459978038e-06,1.18096683028451e-05,-1.76974613673059e-05,2.85795072798054e-05,-2.4420335624742e-05,6.91226608028838e-05,-2.3746803182456e-05,2.13808061328035e-05,-1.79708403159931e-05,2.81715847796963e-05,2.45972046523952e-06,8.5248427075852e-06,6.35002129708939e-06,2.20482501641052e-05,-9.67937631559926e-06,1.54632225743088e-05,-1.06180296553148e-05,1.91582885009677e-05,-1.97386205154286e-05,5.73264883029129e-05,-6.34734566278963e-05,-1.00991369629283e-06,6.86302840252596e-05,-3.96513326144793e-05,1.8202674347899e-05,3.71496278147057e-05,-2.32750591202074e-05,-3.87934282143731e-05,-7.63837377232103e-07,1.26556097239189e-05,-4.59856858199621e-05,8.69078044533303e-05,-3.85071969111787e-05,-5.69203368338134e-05,0.01460230088699
"kabwe","beta17",-4.45133331725863e-05,-7.20361714085068e-05,-6.79017730327922e-05,7.75185975749084e-05,-0.00013162498892961,9.90563151392268e-05,-3.24128282386064e-05,-4.9140368456481e-06,-0.000131302383369172,0.000439133138931861,-0.000333965032993744,7.91712016001936e-05,-0.000158142731511887,1.65708302570916e-05,-7.64989616223568e-06,-9.84033102740069e-06,-4.64924700321022e-05,5.19017572536153e-05,-8.592255986851e-06,-1.46772627574463e-05,5.32759667108408e-05,-0.000146746102718399,6.06888096786175e-05,6.76881187812431e-05,3.55181436791449e-05,-0.000100101066878866,4.15901008581501e-05,-3.70514293143323e-05,3.93150886352103e-05,-8.44860318004154e-05,4.6198441827673e-05,-6.07712892773362e-05,0.000137512122929082,-7.71677134982194e-05,2.75696845385545e-05,-2.48566416890345e-06,0.000103017313835316,-0.000162402432872709,4.7328999934122e-05,6.68414392795132e-05,-5.20740369489547e-05,1.27928464084361e-05,5.62536411082175e-05,0.000118935041903684,-2.94276584245952e-05,-6.28178737914097e-05,5.97986869299903e-05,-0.000104964781902216,0.000100299943659796,4.10705301404367e-05,-0.0537690804532266
"kabwe","beta18",4.17933439392618e-05,5.6183701370495e-05,7.26922171253024e-05,-5.75027660883692e-05,0.000131917247463602,-0.00010849999621057,1.37943501779444e-05,2.46420937045261e-06,2.62768990762717e-05,-0.000333965032993744,0.000464501317299779,-0.000194159148537775,5.30985034130598e-05,5.75114455283101e-05,-4.46707539371041e-05,2.38378862370012e-05,4.47885823740135e-05,-6.1471303934652e-05,2.19521288292438e-05,-2.45561772921528e-06,-6.13024468301515e-05,0.000174913128163423,-5.99780811234905e-05,-7.45709184047748e-05,-9.75197430896464e-05,0.000153774642533148,-9.08204856247894e-05,8.53251454707426e-05,-0.00010913371224171,0.00010261464516607,-2.82371587276882e-05,4.69102017124488e-05,-0.000131318624965648,6.41211457511187e-05,-3.86019063733178e-05,-3.42156487702788e-05,-1.63157381132095e-05,0.000158514895425475,-0.00013575769602511,6.6445611633106e-05,-2.70082145810465e-05,8.87791601655871e-05,-0.000168401307098736,-5.06378426521571e-06,4.25786604424066e-05,7.9418471859252e-05,-4.56727083440351e-05,4.89640714592332e-05,-6.38278906825376e-05,-0.000149669529783336,0.0249428011542929
