"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.0002352043526252,5.60842594945148e-06,-1.66289127286161e-05,7.26522402565997e-06,-3.16290217225959e-06,1.8927036444567e-05,-3.85516279456248e-05,-1.91341186612468e-06,-1.13406218223583e-06,1.45928608222874e-05,-1.09715897618457e-05,4.88960025796892e-06,5.79140549891665e-05,4.89007249820887e-06,-2.11706761922293e-05,1.73118357240159e-05,-5.32495439874043e-06,5.09743462640236e-06,-2.49941429050931e-05,1.359376506341e-05,-3.74921813559324e-06,1.10743753176112e-05,-2.3550310734982e-05,2.2361451648981e-06,-4.54265441513527e-06,5.79038902020519e-06,-7.79367169291545e-06,-5.41667671412485e-07,1.16033160060118e-05,4.8620239227615e-06,1.96773959906954e-05,-3.63538090047477e-05,1.37627432701049e-05,-3.05665470143041e-05,-9.45548079894161e-07,6.03119587071623e-06,2.35896919518782e-05,-2.02441279493321e-05,9.04695886747121e-06,-1.08384813539601e-05,0.00387632756773526
"kabwe","beta1",5.60842594945148e-06,9.22446059939389e-05,-3.58466577251038e-05,1.71665224193186e-05,-8.39231407656685e-06,4.83061658749202e-07,6.7756284570033e-06,-1.5902347548638e-05,-1.24611420656489e-05,2.55988932216457e-05,9.20779157141816e-06,-1.72365017549862e-05,0.000302178133837335,1.11523670655716e-05,-1.47314409855278e-05,6.94196238791255e-06,-5.44450018549523e-06,1.25183553869595e-05,-1.19880072683458e-05,3.82489676072569e-07,-5.5217372014768e-06,3.59473110553666e-05,1.44605968575225e-05,6.90032689462064e-05,-4.6341475213921e-05,-9.79870119320558e-06,3.41586285805394e-05,-2.8836138040968e-05,3.05979409150173e-05,-1.99056514408791e-05,1.95162110395852e-05,3.46097240762478e-05,4.42083929456777e-07,-2.72404141217562e-05,-3.09821326564543e-05,-4.33254420681133e-07,-1.60591252307382e-06,2.5905352709988e-05,1.01790658523674e-05,-4.64271146292828e-05,0.0464278513054228
"kabwe","beta10",-1.66289127286161e-05,-3.58466577251038e-05,0.000284457080397536,-0.00012917267263077,3.388110810212e-05,-1.12926785539157e-06,8.59612883508918e-06,7.01749512907456e-06,1.95663957655462e-05,-1.44168432109029e-05,-3.87715412095359e-05,1.89516591547919e-05,-0.000349003277845542,-8.87515780904189e-06,2.16882879124034e-05,-1.26372555222032e-05,1.19422707385117e-05,-2.50615541327627e-05,4.48643727720864e-05,-3.11658194353261e-05,1.65680234989556e-05,-2.88665921598557e-05,1.37165921047299e-05,-0.000113522981165143,7.0288725073763e-05,-6.22967190183092e-05,3.39567091030067e-06,1.80638693602725e-05,-5.34079826550063e-06,6.43970541233006e-06,-8.09205177843224e-07,-5.06732791265259e-05,-2.11746207170105e-05,3.35306161635369e-05,7.37332073762333e-05,2.22647862777547e-06,1.89160005833219e-05,-7.89884636281747e-05,-0.000123893410445239,6.25273383207332e-05,-0.0395256468006513
"kabwe","beta11",7.26522402565997e-06,1.71665224193186e-05,-0.00012917267263077,0.000144492787833547,-8.29624200879e-05,1.36900277689317e-05,7.95336196009462e-06,-9.98520679601261e-06,-1.74535828211593e-05,8.62596415274508e-06,3.51351569543614e-05,-1.14670959045875e-05,0.000360394784777099,4.82466064371139e-06,-6.59075602324948e-06,-4.79357492034313e-06,-8.39778220454289e-06,2.74541012903648e-05,-2.55951233688596e-05,1.84649291846565e-05,-7.66105993888255e-06,3.51751890560979e-06,2.228371187674e-05,3.56469708557772e-05,-4.95219805559734e-05,2.59057995903772e-05,1.13836269486544e-05,-1.78850847695146e-05,1.79151327278695e-05,8.35627925190831e-06,9.37547198629547e-06,3.51330055119795e-05,1.78853203977707e-05,-1.76877752052058e-05,-3.94309133605099e-05,-1.74831805079317e-05,4.40096480914858e-05,2.32827692279534e-05,1.26521822925566e-05,-6.66271478962142e-05,0.0267882513094463
"kabwe","beta12",-3.16290217225959e-06,-8.39231407656685e-06,3.388110810212e-05,-8.29624200879e-05,0.000134543978903667,-8.28379946696089e-05,-9.99702905371137e-06,3.78562168021536e-07,1.97195013121694e-06,1.98429956827999e-05,-1.45598803971706e-05,1.90847920890728e-06,-0.000267367700927484,-4.28354702442737e-06,9.31514514274648e-06,2.21637642047141e-06,2.81255160324495e-06,-1.24570220143914e-05,4.94905442113755e-06,3.12492387291768e-06,1.4906627527249e-05,-1.65426313654384e-06,-8.32470193860112e-05,-2.38226277364471e-05,8.28205527277913e-05,1.05880296308743e-05,-2.36685946485919e-05,2.29377657066807e-05,-2.43378107516541e-05,-3.27096949880238e-06,-4.10080763213815e-07,-4.94194682603777e-05,-8.14047526498025e-06,3.51463939497386e-05,3.26809144936301e-06,5.61254917611992e-06,-3.69445735908298e-05,-1.07692813344048e-06,2.47610782692751e-06,8.49647124899272e-05,-0.0236007923979719
"kabwe","beta13",1.8927036444567e-05,4.83061658749202e-07,-1.12926785539157e-06,1.36900277689317e-05,-8.28379946696089e-05,0.000163094839081589,-0.000106240752590744,1.50382200442847e-05,1.18662688454734e-05,-1.23542262572078e-05,-1.48305508150708e-05,3.14650202132148e-05,0.000121583098473377,-1.34518375122421e-05,7.62429464141101e-06,-1.50881600717469e-06,-2.84908771860076e-06,8.69224205839728e-06,-8.57365146849084e-06,4.76220738190688e-07,-1.02657777015706e-05,1.52187563121784e-05,1.8470151282139e-05,8.80126609074203e-06,-2.77155917454026e-05,-3.125851937703e-05,3.85921689159495e-05,-2.56298234362044e-05,1.89011819499949e-09,-8.27893180203035e-07,-1.05808150650844e-05,9.52870065170026e-06,-1.3155866008077e-05,-2.4547794523594e-05,-7.44706847535884e-06,-2.60884161184342e-05,2.50299135355039e-05,-3.61420433748871e-06,-7.35121213044732e-06,3.82121992014477e-05,0.00299870302074715
"kabwe","beta14",-3.85516279456248e-05,6.7756284570033e-06,8.59612883508918e-06,7.95336196009462e-06,-9.99702905371137e-06,-0.000106240752590744,0.000218560700738909,-6.24216193378481e-05,-2.59375288743025e-05,-1.4268476769248e-05,3.66797472455995e-05,-4.00147903840835e-05,-7.57400651696545e-05,2.02751800606575e-05,-1.26221570827769e-05,3.1460934048872e-07,1.70890570154401e-05,-2.41431445363509e-05,4.43196449386009e-05,-4.03329367085909e-05,8.19670380155145e-06,-2.00264885031942e-05,7.02578004533226e-05,-1.15826314345697e-05,-3.02838923037988e-05,2.5386935099902e-05,-2.56048919023445e-05,7.97867064450381e-06,2.18225965844208e-05,5.24654739768785e-06,2.24854108963229e-05,6.84109834646585e-06,6.99817358365738e-06,1.03909682413311e-05,2.05328006096407e-05,1.81037483280147e-05,-1.56559918598208e-05,3.43414420648553e-07,-5.83703786536405e-06,-7.57746104175894e-05,-0.00144230538772054
"kabwe","beta15",-1.91341186612468e-06,-1.5902347548638e-05,7.01749512907456e-06,-9.98520679601261e-06,3.78562168021536e-07,1.50382200442847e-05,-6.24216193378481e-05,0.000121083538713107,-5.39287929268787e-05,-4.07350305663628e-05,2.74992651890988e-06,1.50880409931091e-05,4.25159831357663e-05,-1.05340179221384e-05,1.06141551100569e-05,-1.37445142914181e-06,-4.8114558914336e-06,5.01114001720102e-06,-7.18483219789711e-06,7.30037687577567e-06,-1.44356952440444e-05,1.78347546113824e-06,1.11299814113442e-05,3.61906194277183e-05,3.92682776210844e-06,-2.57722190030565e-05,5.02370606404807e-06,6.25955946222045e-06,-2.17473470592461e-05,1.13426987892992e-05,-1.99147713271905e-05,-2.87733233540082e-06,-3.04574103091937e-05,1.68261344259262e-05,-2.71873964787942e-05,7.18948377740979e-06,-1.57695532058828e-05,-6.81650955416927e-06,1.1673677591868e-05,1.80178059377427e-05,0.00682331095410396
"kabwe","beta16",-1.13406218223583e-06,-1.24611420656489e-05,1.95663957655462e-05,-1.74535828211593e-05,1.97195013121694e-06,1.18662688454734e-05,-2.59375288743025e-05,-5.39287929268787e-05,0.000138155268059127,-8.53134798960572e-05,-1.11843439821355e-05,1.29979867044982e-06,-0.000100671017057201,4.47520791528472e-06,-7.75579250764994e-06,1.44706574267877e-07,2.30144644236371e-06,-3.1224671434917e-06,-3.66623491106281e-06,6.01831083879e-06,1.16394463628224e-05,-1.08565927663547e-05,-2.13332669451819e-05,1.34291464987178e-06,1.14591089445566e-05,8.75471320320763e-06,-2.13185419131523e-05,8.39461228039219e-06,9.23929842341251e-06,-1.12647882544857e-05,-1.37845414057415e-05,2.06667373638114e-05,1.12929902134231e-05,-3.91606428131339e-05,2.03577876958047e-05,-4.13542989646407e-06,1.84040935489188e-05,4.28222773621839e-06,-1.10567094942955e-05,1.51575134862977e-05,-0.0100399317783598
"kabwe","beta17",1.45928608222874e-05,2.55988932216457e-05,-1.44168432109029e-05,8.62596415274508e-06,1.98429956827999e-05,-1.23542262572078e-05,-1.4268476769248e-05,-4.07350305663628e-05,-8.53134798960572e-05,0.000342056136832712,-0.000182819601397496,7.95923432350413e-06,-8.01185986412474e-05,8.74326274299485e-06,1.76607179389694e-06,1.52295268011813e-05,-2.22973466608694e-05,9.67637230011233e-06,2.55889263945277e-07,1.64850191306802e-05,1.83165843708939e-05,-5.61860274399955e-06,-3.67117235190294e-05,-2.96639128247243e-05,-3.95203147444472e-05,4.71747867426089e-05,3.97314062996952e-05,-3.18733890763746e-05,1.86413991579946e-05,-7.47340715416864e-06,3.03608211740105e-05,3.19948370976749e-06,7.40785190526282e-05,1.45228665025237e-05,-1.83141777820327e-05,3.04557318529909e-05,2.23892528123005e-06,-7.00870853111391e-06,-3.40104217858009e-05,2.77853595535894e-05,-0.00577611362343796
