"region","name","initial","min","max","integer","include"
"kabwe","alpha_D",0.00579844489103797,0,1,FALSE,TRUE
"kabwe","beta1",0.108413074756946,0,1,FALSE,TRUE
"kabwe","beta10",0.0699917006573966,0,1,FALSE,TRUE
"kabwe","beta11",0.0391937769516472,0,1,FALSE,TRUE
"kabwe","beta12",0.0385339871998073,0,1,FALSE,TRUE
"kabwe","beta13",0.03847695398687,0,1,FALSE,TRUE
"kabwe","beta14",0.0649864481662324,0,1,FALSE,TRUE
"kabwe","beta15",0.0215130695715651,0,1,FALSE,TRUE
"kabwe","beta16",0.0317947834785931,0,1,FALSE,TRUE
"kabwe","beta17",0.0891877772855918,0,1,FALSE,TRUE
"kabwe","beta18",0.0576734050631097,0,1,FALSE,TRUE
"kabwe","beta19",0.0525813201589305,0,1,FALSE,TRUE
"kabwe","beta2",0.0612114105824022,0,1,FALSE,TRUE
"kabwe","beta20",0.0464045998324019,0,1,FALSE,TRUE
"kabwe","beta21",0.0609800024084071,0,1,FALSE,TRUE
"kabwe","beta22",0.0535103647861077,0,1,FALSE,TRUE
"kabwe","beta23",0.0527302703771987,0,1,FALSE,TRUE
"kabwe","beta24",0.07234251369026,0,1,FALSE,TRUE
"kabwe","beta25",0.0524239146891075,0,1,FALSE,TRUE
"kabwe","beta26",0.0553462540207711,0,1,FALSE,TRUE
"kabwe","beta27",0.0339446160567388,0,1,FALSE,TRUE
"kabwe","beta28",0.0596466137114219,0,1,FALSE,TRUE
"kabwe","beta29",0.0560381925428954,0,1,FALSE,TRUE
"kabwe","beta3",0.0610948163617317,0,1,FALSE,TRUE
"kabwe","beta30",0.102789345939232,0,1,FALSE,TRUE
"kabwe","beta31",0.081329116914481,0,1,FALSE,TRUE
"kabwe","beta32",0.068461615952419,0,1,FALSE,TRUE
"kabwe","beta33",0.0745384679737294,0,1,FALSE,TRUE
"kabwe","beta34",0.107876422140057,0,1,FALSE,TRUE
"kabwe","beta35",0.0743597525727713,0,1,FALSE,TRUE
"kabwe","beta36",0.085656394165619,0,1,FALSE,TRUE
"kabwe","beta37",0.0710020573722104,0,1,FALSE,TRUE
"kabwe","beta38",0.0805292639630265,0,1,FALSE,TRUE
"kabwe","beta39",0.114386861663718,0,1,FALSE,TRUE
"kabwe","beta4",0.0627430213898393,0,1,FALSE,TRUE
"kabwe","beta40",0.0954915482787512,0,1,FALSE,TRUE
"kabwe","beta41",0.0999001566411054,0,1,FALSE,TRUE
"kabwe","beta42",0.0936997688987131,0,1,FALSE,TRUE
"kabwe","beta43",0.131998536956833,0,1,FALSE,TRUE
"kabwe","beta44",0.130260224829446,0,1,FALSE,TRUE
"kabwe","beta45",0.100003425951708,0,1,FALSE,TRUE
"kabwe","beta46",0.100566150047771,0,1,FALSE,TRUE
"kabwe","beta47",0.19202657260577,0,1,FALSE,TRUE
"kabwe","beta48",0.0696935752561337,0,1,FALSE,TRUE
"kabwe","beta5",0.0291601082568874,0,1,FALSE,TRUE
"kabwe","beta6",0.0335619194425344,0,1,FALSE,TRUE
"kabwe","beta7",0.0630000481800425,0,1,FALSE,TRUE
"kabwe","beta8",0.03863849178018,0,1,FALSE,TRUE
"kabwe","beta9",0.0400365356595079,0,1,FALSE,TRUE
"kabwe","p_G_D",0.8050023429792,0,1,FALSE,TRUE
"kabwe","start_date",50.7687214755019,15,75,FALSE,TRUE
