"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000210389472987154,-5.47700730814785e-05,-2.72292354369007e-05,-6.49783137808051e-06,-2.71596031431805e-05,1.51099665440775e-05,1.57741435853493e-05,4.58957507717799e-05,-4.83979809467356e-05,-1.01729844516941e-05,-3.04228634691501e-05,5.90574992253704e-06,-4.71882499928215e-05,1.56698481375185e-05,-1.06607563907339e-05,2.02427688769923e-06,-4.59464686397057e-06,-1.04419254031729e-05,1.37769010427826e-05,-3.06462914202258e-05,3.83559435938478e-06,4.19679372800892e-05,4.978579514713e-05,1.27344958082543e-05,-0.000184784967595438,0.000113837292836877,-3.88858040723628e-05,4.76105787482297e-05,-4.27590116249964e-05,3.19082434373489e-05,2.62828963351726e-05,-5.2609419566256e-05,-2.68379458070529e-06,3.11019730478516e-05,3.61220144215714e-05,-3.70788686044086e-05,0.000142674115953456,-7.83086554020574e-05,4.10265938158613e-05,2.36194471270334e-05,-3.84113284015382e-05,6.24896720061182e-05,-1.69192963512158e-05,6.57019039136478e-05,4.02423169893336e-05,-1.93851758720786e-05,2.22328714819679e-05,-1.83101149903087e-05,5.25621759166841e-05,-0.000132824182930048,0.00792304258978669
"kabwe","beta1",-5.47700730814785e-05,0.000146065811766573,3.44993395991397e-05,-2.64404737014236e-05,2.95728198269918e-05,2.30067917950184e-05,-6.44907622980316e-05,2.12449388049118e-05,-1.63840979172629e-05,2.1143961232279e-05,1.18745733327193e-05,2.14245192240554e-05,-7.58365173577684e-05,-1.15739544928242e-05,-5.24887537946092e-06,-4.97170366632738e-06,4.23866960155669e-06,5.32375941541153e-06,-1.33875407555549e-05,2.62704082505458e-05,-3.3788070097188e-07,-2.84617151526404e-05,-8.0391626241735e-06,-8.9819680236396e-07,6.93315568648743e-05,-4.49241085788958e-05,2.12537701058891e-05,-2.04583914015557e-05,6.2204606140939e-06,-5.30079473492202e-06,-2.31574722026771e-05,3.90227288458824e-06,-3.87416782843962e-06,-1.01075116836464e-05,3.88527751664188e-05,-2.91305754060379e-05,-5.39781266286736e-05,8.66088167765733e-05,-7.70401869953841e-05,-2.60746976334796e-06,-4.21319568474199e-05,-4.84577680385044e-05,3.97470637864457e-05,-1.51852319452608e-05,-2.6780818893072e-05,1.35577865548832e-05,-1.61707618841861e-05,1.47850574197241e-05,-3.59119132882402e-05,1.90260871604888e-06,0.00390533593488557
"kabwe","beta10",-2.72292354369007e-05,3.44993395991397e-05,0.000173121534829056,-7.51272035708197e-05,2.44154924629029e-05,6.05416368055535e-06,-9.87629728593454e-06,-3.55397315298493e-05,1.60571772603163e-05,1.75405231984091e-05,-1.2524384466422e-05,-4.01351013073042e-06,-8.29185458497366e-05,2.44795216604784e-05,-1.01670355461628e-05,-3.4548585040296e-05,4.66871179521118e-05,-2.15801708761812e-05,1.68873457238256e-05,-2.56777707479141e-05,6.58683914945598e-05,-5.81160812269517e-05,2.58012543924162e-05,-9.11044628245645e-06,-5.392268926099e-06,6.12339912093783e-06,3.5232077053622e-05,-5.73792600647719e-05,3.78365680249463e-05,-1.37833745068973e-05,2.43322812455765e-05,-2.88579228169566e-05,2.32388737471766e-05,7.64109755749239e-05,-3.51082257006188e-06,-9.68552910205236e-05,3.35287592602766e-05,5.34170003139139e-05,-3.18862978108425e-05,-1.54802772348083e-05,4.34201400882373e-05,-6.04990932480313e-05,4.36408621736967e-05,0.000140398381770983,-1.12008722504423e-05,3.79711763536622e-06,-5.026424216321e-07,2.36563014265714e-05,-0.000111069184892947,-8.41891524861958e-06,-0.0174648552851607
"kabwe","beta11",-6.49783137808051e-06,-2.64404737014236e-05,-7.51272035708197e-05,9.35776034261555e-05,-5.22776031000517e-05,2.30635420327873e-06,7.5579820562728e-06,1.45535776999355e-05,-1.75347782288735e-05,2.06473823571717e-05,-1.12010044956731e-05,4.97501325759975e-06,5.3681544098482e-05,-1.26801402802734e-05,9.11061233049058e-06,5.50488287670613e-07,-1.30640455913873e-06,2.00740693326462e-05,-2.80174080134504e-05,5.03966705449414e-06,-2.14359946351877e-05,2.2112996818123e-05,-8.35087434259103e-06,3.24788223223537e-05,2.17972380155614e-05,-1.17177426898236e-05,-2.66273326002611e-05,2.69164629282356e-05,-4.69826143538286e-06,-4.2411678529147e-06,-1.3069121398454e-05,3.61864099187316e-05,-3.03481155660023e-05,4.72535153086076e-07,-1.54651065913312e-05,6.00006026716699e-06,4.08365544411964e-06,7.83931201679194e-06,-1.57984531935281e-05,6.2336708408567e-06,-1.55744486084163e-05,5.52416931293348e-05,-5.32614494161951e-05,-5.57844376410325e-05,-5.76571537241153e-06,2.18397131798813e-06,-4.78287638834257e-06,2.60338208755224e-05,-1.55028895982204e-05,2.23350044333061e-05,0.00850743769943175
"kabwe","beta12",-2.71596031431805e-05,2.95728198269918e-05,2.44154924629029e-05,-5.22776031000517e-05,8.73017913134113e-05,-3.78134768731223e-05,-1.1675362441323e-06,-4.4135429283552e-05,4.82178924844432e-05,-8.76331268862643e-06,-1.00430764956721e-05,1.6973663603031e-05,1.02871644938101e-05,-1.50070670284749e-05,4.98268970550576e-06,1.23090338784725e-05,-1.42073585851966e-05,4.43528055121814e-06,1.58404181736959e-05,-1.54481355938502e-06,7.28039700547346e-06,-1.87570757715373e-05,7.25603110923524e-07,-2.68123004279526e-05,5.89645342371442e-05,-5.86633970973788e-05,2.63940341096809e-05,-3.03437832107101e-06,4.67456582262012e-06,9.0863454781805e-06,-1.33446542443184e-05,1.48244701146683e-05,3.62750735087469e-05,-3.0427613598085e-05,-2.1119682101176e-05,2.22615053646526e-05,-4.83104016217139e-05,-7.30655113169785e-06,5.51968540496909e-05,1.30240943046905e-05,9.45961870667716e-06,-2.55201747304436e-05,6.11606849500495e-06,1.21301720682864e-05,-2.04346060145924e-05,6.81372001431917e-06,2.0982196398686e-05,-2.31373135463145e-05,-6.18822275306534e-06,3.63802940167064e-05,-0.00825900487527783
"kabwe","beta13",1.51099665440775e-05,2.30067917950184e-05,6.05416368055535e-06,2.30635420327873e-06,-3.78134768731223e-05,8.93936652494898e-05,-5.98108052474418e-05,1.05398028181835e-05,-1.24364057899492e-05,8.72244940589174e-06,1.5517491731557e-06,-1.85944784500427e-05,-2.5385778736236e-05,3.82842540050756e-05,-3.38562760090057e-05,1.03783954342471e-05,1.88233014149853e-06,-1.27355131891973e-05,1.33767543734542e-05,-7.8019404944389e-06,1.50144012020742e-06,4.90388256316848e-06,7.55902714990396e-06,2.86487404116208e-05,-7.23884024186451e-06,-3.09504445618593e-06,-1.48164651775736e-06,-1.23016270464737e-05,-1.76967656699081e-06,8.29510702274936e-06,-8.28004733632649e-06,-2.10392460714051e-05,-1.13045400814516e-05,2.34161577260353e-05,3.04961503475948e-05,-6.85703230315552e-05,3.19788406123166e-05,2.6796539050403e-05,-1.46989594088394e-05,-8.59898238011615e-05,2.22538482452956e-05,-5.33555630021635e-05,2.6660344768267e-05,-4.09960202883215e-05,2.20168089438224e-05,-2.07445948376669e-05,-6.69569858478658e-06,1.56476500051114e-05,-1.07934107431157e-05,4.46415059285448e-05,0.0113630244855484
"kabwe","beta14",1.57741435853493e-05,-6.44907622980316e-05,-9.87629728593454e-06,7.5579820562728e-06,-1.1675362441323e-06,-5.98108052474418e-05,0.000113088095520677,-5.47187028993681e-05,6.24073066414175e-06,-6.81876645439882e-06,-1.35333320995813e-05,5.83943396899379e-06,6.45038987149449e-05,-2.19080493293413e-05,2.6105552628487e-05,-2.52932977243701e-06,-1.21990445046687e-05,1.82336046593301e-05,-1.19837561937209e-05,4.35769832974314e-07,-1.38331117034422e-05,1.63329768976464e-05,-1.03074445280344e-05,-3.5253080622288e-05,-3.83712123136763e-05,2.63864644154668e-05,5.13810474312337e-06,4.4015282297749e-06,-5.36889301413214e-06,-7.11635337356536e-06,9.75696584602918e-06,1.27306038069954e-05,-2.18099929318479e-05,-2.54693701685378e-05,-1.9576165686845e-05,7.73866586918778e-05,-1.79035880956591e-05,-5.90272811865808e-05,3.9581427321774e-05,5.42632958173633e-06,1.5244759994088e-05,3.34995911420078e-05,-4.44583858398962e-05,3.49053997133346e-05,1.81508373542868e-05,9.95672672618253e-06,2.39495453452438e-05,-3.3107710427122e-05,1.92789738228742e-05,2.3129581025538e-06,0.00248298988980798
"kabwe","beta15",4.58957507717799e-05,2.12449388049118e-05,-3.55397315298493e-05,1.45535776999355e-05,-4.4135429283552e-05,1.05398028181835e-05,-5.47187028993681e-05,0.000186314983052721,-0.000107082105282492,-3.87093999319634e-05,4.60548015645072e-05,-6.84881091625961e-06,-9.15468466024835e-05,-1.78234843435362e-06,1.14283264669711e-05,-1.8996948561224e-05,2.0355822268024e-05,-1.6675487437376e-05,-1.2357510370406e-05,6.66518323052706e-06,-9.78641174047315e-07,2.12272396284149e-05,2.02737772844875e-05,2.415734269484e-05,-0.000101841064568946,9.47518207572076e-05,-4.09803420310591e-05,2.82166474656197e-05,-1.48273306119125e-05,7.08961209848284e-06,1.79426388518558e-05,-3.34576425047979e-05,5.61573051377985e-06,3.11852896648751e-05,5.08541819659841e-05,-7.20815840376689e-06,7.72650492392429e-05,-1.83994960359137e-05,-8.46277041604385e-05,0.000163953688561391,-9.60772044724107e-05,6.7362761044778e-05,4.90493155411187e-05,-6.3861916058625e-05,2.58142979752795e-09,-5.89357247144546e-06,-3.36668935099758e-05,3.1948020103113e-06,5.49670858703169e-05,-0.000191063216262198,-0.00366094506158757
"kabwe","beta16",-4.83979809467356e-05,-1.63840979172629e-05,1.60571772603163e-05,-1.75347782288735e-05,4.82178924844432e-05,-1.24364057899492e-05,6.24073066414175e-06,-0.000107082105282492,0.000143430243845388,-6.2024085756683e-05,8.20903234114294e-07,-1.09049284132512e-05,0.000124950933742561,1.30191337719426e-05,-2.40015266668767e-05,3.88241904718371e-05,-2.71119392876175e-05,2.3542321399438e-05,3.54120863078885e-06,-6.65091263878885e-06,2.22175016103615e-05,-3.71011102748555e-05,-5.20182030476489e-06,-3.79490678457651e-05,0.000120427794444596,-9.0014241976549e-05,1.76553530113072e-05,-5.00859918069116e-06,1.11862378919829e-05,1.38387517779001e-05,-1.65604208024961e-05,3.88730605507498e-05,4.63411127015757e-05,-5.96472409409702e-05,-4.9704406053258e-05,3.68592503687809e-05,-5.76030160157921e-05,4.95318677713952e-05,7.19659998541102e-05,-9.29212427657532e-05,9.1644567440148e-05,-2.40003433774571e-05,-1.43201528577702e-05,-7.68070718364245e-06,-3.99853487822844e-05,3.19957708010007e-05,8.69117760240944e-06,-3.99353577300091e-06,-2.65902271710792e-05,0.000106614820140692,0.00121352113919141
"kabwe","beta17",-1.01729844516941e-05,2.1143961232279e-05,1.75405231984091e-05,2.06473823571717e-05,-8.76331268862643e-06,8.72244940589174e-06,-6.81876645439882e-06,-3.87093999319634e-05,-6.2024085756683e-05,0.000240767592857861,-0.000196531008592316,7.03979375936841e-05,-0.00011643908727019,-1.60403721557852e-05,3.41854766677571e-05,-6.79343281485804e-05,5.59797430916091e-05,-3.08405762104761e-05,8.82773907253085e-06,-8.11135003130679e-06,5.86882576515836e-06,1.60533499466095e-05,-1.03309136649989e-05,0.000101290579229226,-2.37869310592617e-05,-1.23471492726233e-05,1.87036455137012e-05,-2.32047977285546e-05,4.8993227933089e-05,-6.78081522889823e-05,-3.08015400142348e-06,3.07166466528732e-05,-8.9275681133099e-05,0.000146239317523437,-1.41486168957417e-05,-0.000172134045702002,1.85528915402479e-05,-3.22769678762982e-06,1.76498432519122e-05,-8.93660986083022e-05,-1.83300504263158e-05,7.930081057401e-06,-6.7233139024995e-05,5.23787914256361e-05,1.39779075524732e-05,-7.40958825431026e-06,-2.19893693068533e-05,6.92683175743927e-05,-7.57945786569086e-05,5.69622267847484e-05,0.000422803673323246
