"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.00131282792823686,-1.54059754675349e-06,1.04782244229654e-05,-7.26705626112955e-06,2.23753961481988e-06,-1.11520262359035e-05,-2.67622741695811e-05,-7.92455649483525e-06,3.16251702421086e-05,-6.63507016976347e-05,3.28863838596198e-05,-5.48346272209005e-05,1.59790229698897e-05,-2.20057168922492e-06,-1.43137504310297e-05,-4.31773587765376e-05,5.2023292154393e-05,-5.0461382888493e-05,-3.0526830087804e-06,-6.73317370697081e-05,-1.88353363843418e-05,-1.90484765374738e-06,1.16153530067327e-06,-3.74728228694971e-05,-1.20108031011744e-05,-1.61088228152813e-05,6.63486177891529e-06,-0.000105147713376032,9.33983056785923e-05,2.42297478826333e-05,8.80262755393387e-05,-0.000199936257639036,-0.000113442092870117,-1.87065757452675e-05,1.39890122475693e-05,-1.03876070028871e-05,1.59199277241069e-05,1.43158345011371e-05,-4.7062467601791e-05,0.000149694247699003,0.0028879352031316
"kabwe","beta1",-1.54059754675349e-06,2.48608268390429e-05,1.38200107725564e-06,-1.01835495637398e-06,-3.30589658529334e-06,5.96119826836037e-06,-2.70842739111071e-06,-1.45718641492198e-06,-3.66870210513498e-07,4.12728256134966e-06,-3.0380916660561e-06,-1.17677217379745e-06,-2.37442774528268e-06,-9.24393040364833e-07,1.24315720406765e-07,3.72340407279627e-07,-3.12296641338714e-06,2.00162771672918e-07,-7.93306251927442e-07,-1.00593707116152e-06,-5.56266238013233e-06,1.61831129064206e-06,5.55122704787363e-06,-2.16429282848157e-06,-1.24200763067452e-05,7.55440745591609e-06,-8.71221823154788e-06,-5.39922338158631e-06,1.23285098101051e-06,1.29646765067927e-05,-4.37773949846741e-05,3.64379357789931e-05,-9.92044194829236e-06,6.88592686147821e-06,-5.59922149905489e-06,2.92431325657037e-06,-4.20083768281262e-06,5.17146256617052e-07,-1.03876883597144e-06,2.55874748831258e-06,0.0264930083251705
"kabwe","beta10",1.04782244229654e-05,1.38200107725564e-06,0.000117160347209312,-6.50171943561834e-05,1.73158050008778e-05,-3.73655472936866e-07,-6.77265215936478e-06,7.46525105475817e-06,-5.57946068884212e-06,4.72776334216409e-06,3.51693075364415e-07,-7.5994029257889e-06,-8.9410737654283e-06,1.37713022392534e-06,9.52206306826057e-06,-1.39442436774321e-05,1.0146537662652e-05,-6.71142541671578e-06,-6.97260861095999e-06,1.92807561349666e-06,1.13649713123468e-05,-1.85445580224078e-05,-9.87642044780588e-06,1.01003819550519e-05,2.15109710282682e-05,-1.36248214320813e-05,-6.77121241279473e-06,5.86365766920561e-06,-1.49513062507579e-05,-2.02124535494252e-06,7.23432387563505e-06,-2.3855858197157e-06,-1.1697651473451e-05,-4.70503868131501e-06,1.0259742717038e-05,-1.1138809791714e-05,1.52312551973972e-05,3.93427944307985e-06,-7.38382405535534e-05,2.09962859210379e-05,0.000132434970822462
"kabwe","beta11",-7.26705626112955e-06,-1.01835495637398e-06,-6.50171943561834e-05,9.43443055456499e-05,-5.91845516334458e-05,2.05229551573103e-05,-1.10084087827129e-05,5.16128483825335e-06,1.18314345864656e-06,6.31862731414659e-06,-6.98928779389139e-06,7.90309188637517e-06,5.75760916861094e-06,2.18938550345541e-06,-8.19676141535328e-06,9.67466426150045e-06,-2.52533689313649e-06,1.17469522969787e-06,9.15880712830863e-06,5.99044482036227e-07,-1.10508202483334e-05,1.91694778002012e-05,3.50370939257129e-06,-7.07868396503842e-06,-9.96682860359807e-06,1.56800045540022e-05,-4.01492718377201e-06,9.72242152551534e-06,2.95449756126968e-06,5.93813016417302e-07,2.56472609673612e-05,6.12060980382185e-06,4.07605878946939e-06,4.39040670069132e-06,-2.8318475781696e-07,-5.16808523453238e-07,-5.99507843704424e-06,3.7119782659508e-06,1.62867506130113e-05,-2.5783290367305e-05,-0.000433298423774348
"kabwe","beta12",2.23753961481988e-06,-3.30589658529334e-06,1.73158050008778e-05,-5.91845516334458e-05,8.98929788569349e-05,-6.95973121172914e-05,2.95674496792849e-05,-9.26163533810514e-06,-2.32980818707431e-06,3.26921198634983e-06,1.50229301949185e-06,-1.88443172655292e-06,-1.75686517304643e-06,2.11538246515325e-06,-1.41252433521137e-06,-9.56973147770251e-07,2.23783152394322e-06,6.46276549498311e-06,-4.07530034510464e-06,1.48284252724884e-06,7.50369227631639e-06,-2.54886433717992e-06,-1.13721461669534e-05,2.71104010423025e-06,1.41717853339035e-05,-1.37783762710788e-05,1.45234052198215e-05,-2.70329132752556e-06,-1.02897904805362e-05,1.52653697133464e-05,-2.29214411089795e-05,-3.93728487647758e-06,-1.59630970647347e-05,-2.84383309049322e-06,-2.18343049126604e-06,2.41615633136841e-06,9.01019413425398e-07,3.95938175944194e-06,-4.66066937303904e-06,8.6981378252468e-06,-0.00404748365333927
"kabwe","beta13",-1.11520262359035e-05,5.96119826836037e-06,-3.73655472936866e-07,2.05229551573103e-05,-6.95973121172914e-05,0.000112120413896031,-7.18576190951357e-05,1.88077737093158e-05,4.07478945974097e-07,-3.3273758934864e-06,3.14431658240703e-06,-3.07001052433603e-06,-3.09606934125295e-07,-2.02629667158034e-06,1.67889673788658e-06,1.30849441910653e-05,-2.39795085276674e-05,9.50450193773174e-06,5.30600351591211e-06,-1.14211220538377e-05,-5.43507668254634e-06,8.25835469147562e-06,1.36409585405935e-06,3.12447105500476e-06,-5.41281553352699e-06,8.8427503300119e-06,-1.76676199443053e-05,-1.88696996860651e-06,2.25966620232893e-05,-3.21447287830113e-05,3.98021564556687e-05,-1.48332385346461e-05,3.28516260063376e-05,-3.68357764885045e-06,1.45338726679885e-06,-1.25678923694924e-06,3.07790991576037e-06,-4.92598554192076e-06,6.48299764745313e-07,2.23094333993283e-06,0.00557744338418567
"kabwe","beta14",-2.67622741695811e-05,-2.70842739111071e-06,-6.77265215936478e-06,-1.10084087827129e-05,2.95674496792849e-05,-7.18576190951357e-05,0.00011184479605891,-7.59969644756751e-05,1.9039917302665e-05,1.0417918004134e-06,-4.80469848022707e-06,5.30467009616987e-07,9.03479875169694e-07,1.54768851612083e-05,-1.24936431110242e-05,-2.10572084807327e-06,1.28791221864523e-05,-7.44230179093361e-07,-3.25225087974307e-06,1.09095080212809e-05,9.48830688215282e-06,-1.05995906437611e-05,2.07854027526387e-06,-7.48905392971544e-06,1.25557021029065e-05,-2.25361752489528e-05,3.84922744575755e-05,-1.6927460557129e-05,-2.45163095867707e-06,2.74025374143188e-05,-4.60595933558376e-05,2.88526037049012e-05,-4.92465292731956e-05,9.17192884400832e-06,5.07514142878587e-07,1.12897477922691e-06,-1.31227668681268e-05,1.35684974172184e-05,4.44405806458778e-06,-2.13638507451827e-05,-0.00281081175911363
"kabwe","beta15",-7.92455649483525e-06,-1.45718641492198e-06,7.46525105475817e-06,5.16128483825335e-06,-9.26163533810514e-06,1.88077737093158e-05,-7.59969644756751e-05,0.000119802238004098,-7.4767557478436e-05,2.1392125254372e-05,-6.59171436684869e-06,1.481429438637e-05,-4.36257444478312e-06,-1.80337061035264e-05,2.00681597100965e-05,-1.4818441667227e-05,1.02243183688761e-05,-6.47442476535381e-06,-7.12524321546609e-07,-5.01651689812613e-06,8.08925928270383e-06,-1.67410743479824e-06,1.61649386930132e-05,1.13233706097635e-05,-2.31412378390544e-05,3.24978169457682e-05,-3.18508205023314e-05,2.19752407804274e-05,-1.49328447104826e-06,-1.99351376582633e-05,4.00594752722825e-05,-2.52029338737101e-05,3.69583040470585e-05,-4.81147989341042e-06,-2.4302957072572e-06,2.24243029764027e-06,3.35176115932829e-06,-6.05090172880206e-06,-5.94499906623883e-06,2.68172062837313e-05,-0.0024203251992934
"kabwe","beta16",3.16251702421086e-05,-3.66870210513498e-07,-5.57946068884212e-06,1.18314345864656e-06,-2.32980818707431e-06,4.07478945974097e-07,1.9039917302665e-05,-7.4767557478436e-05,0.000123770232140213,-0.000110093551527988,4.27574287767782e-05,-2.36917847074545e-05,4.80043170052543e-06,6.68099237119425e-06,2.37268484190543e-06,-2.6212746306488e-07,3.83525947998348e-06,-3.24005945741813e-06,6.05740834854562e-07,1.26220509259624e-05,-1.10628953764691e-05,-1.13134539472738e-06,-5.18628760637759e-06,-6.32452343077825e-06,1.81763139905227e-05,-6.8000140635145e-06,-6.07932460686845e-06,5.09865846504311e-07,1.34659753808851e-05,-6.20911615272793e-06,2.48550108037593e-05,-2.73540784331778e-05,-2.33771570716979e-06,-5.71502198986748e-06,4.31034556296772e-06,-5.73938885577467e-07,4.95254878365856e-06,-5.47229178012287e-06,1.0450375699079e-05,-3.94810053748625e-05,-0.000355370436871821
"kabwe","beta17",-6.63507016976347e-05,4.12728256134966e-06,4.72776334216409e-06,6.31862731414659e-06,3.26921198634983e-06,-3.3273758934864e-06,1.0417918004134e-06,2.1392125254372e-05,-0.000110093551527988,0.000211459029527706,-0.000129147730973884,4.63065737184226e-05,-4.90667661793141e-06,3.0470148397393e-06,-2.09092668755436e-05,2.3103256236139e-05,-1.502069559275e-05,1.51682043322002e-05,-1.87868306680884e-06,-2.917692677533e-06,4.88163009728293e-06,1.15224935490958e-05,-7.4606901541396e-06,2.82719172100655e-06,-1.24735447114441e-05,-5.17597942469274e-06,1.78956317159907e-05,1.07080127207801e-05,-3.11354601506382e-05,1.72194628755055e-05,-2.39558422988745e-05,6.11274671930615e-05,-2.80784966961679e-06,1.04599310084377e-05,-1.74458522648382e-06,-4.59415941516664e-06,1.60820377619282e-06,7.11803969736348e-06,-1.43753367950571e-05,3.36570628996234e-05,0.00489781342693032
