"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.00143942684607276,1.5187411626164e-05,-3.3704503440717e-06,-3.49051259406735e-05,1.41300420942767e-05,-1.84960019671777e-05,-4.39066580380243e-05,-4.1048137691783e-05,1.03913997998041e-05,-3.1710597599453e-05,8.76945170287145e-06,-4.41653010836285e-05,-1.64872887390716e-06,-3.02810754195635e-05,-2.76091568518869e-05,-6.31552203081504e-05,-8.57613565243355e-06,5.94749066163619e-05,-0.000135049320697815,-2.17547919798836e-05,1.01799736789164e-05,-5.75751827249133e-05,-7.82038471309316e-05,-2.93538605357423e-05,2.49242149766581e-05,-4.331275186719e-05,-3.54460437621837e-05,-3.90501248415458e-05,-8.25439080819945e-05,8.39660352294385e-05,0.000101701330197799,-0.000404703708187243,4.99304627772379e-05,3.95286809339084e-05,-4.30549944063723e-05,4.09551651452915e-05,-1.71399645828934e-05,-3.64558686376624e-05,-1.7439659149652e-06,0.000993556344207674,0.0257029914235219
"kabwe","beta1",1.5187411626164e-05,1.19610969491651e-05,-6.64242478933968e-07,-1.54157843783269e-07,8.41299696786737e-07,1.17644763416072e-07,-4.83511817452617e-07,-1.97374389177716e-06,2.983214964912e-06,-1.58388540920462e-06,2.28913158642923e-07,-2.56097170561299e-06,-1.57289153226333e-06,3.13141058977993e-06,-1.96738244521435e-06,-1.29045814285912e-06,5.47644811095714e-06,-7.09127108883983e-06,3.42620797240409e-07,2.11599567983353e-06,-4.51033362162282e-06,-2.28809774026803e-07,-1.14056664571937e-06,-3.71432779881817e-06,1.94330791686626e-07,-2.66972888415788e-06,-1.10764194228251e-06,-2.6443146799993e-07,-1.3415362127867e-06,1.35337872747998e-06,3.82774009429221e-07,1.0140551942699e-05,-2.99993952503956e-06,2.7029694754495e-06,-7.08433028723938e-07,-9.30275612067089e-07,2.67533482588345e-06,-1.6918005305762e-06,5.38101034614261e-07,3.8579802439846e-06,0.0128315221033243
"kabwe","beta10",-3.3704503440717e-06,-6.64242478933968e-07,0.000125882741752034,-6.32252509543734e-05,1.25365941302801e-05,1.1317524213823e-06,4.66854736606697e-06,2.46309618386917e-06,-2.73410453500831e-06,1.08819912520886e-06,2.86204295367332e-06,4.20052881736252e-06,-2.49055997591506e-06,2.32990622823045e-07,-2.9003545116356e-06,2.68686272764602e-06,8.47680482124647e-06,-6.48964263970168e-06,-3.84130018498684e-07,-5.80397761494736e-06,1.89899462827378e-05,-1.57392886291799e-05,5.60895635184072e-06,6.40830806849881e-06,7.84434450152577e-06,-7.07549142491697e-06,9.42490178644123e-06,-1.03859620889162e-05,-5.91499967691401e-06,1.232281219936e-05,-2.25684708287878e-05,2.69439124237199e-06,1.51513603901364e-05,-1.34476382546562e-05,1.19074384359668e-05,-3.17860524598563e-06,-6.33792480086094e-06,2.93274631506488e-05,-8.43959142818043e-05,-1.91337987632705e-05,-0.00324392611244503
"kabwe","beta11",-3.49051259406735e-05,-1.54157843783269e-07,-6.32252509543734e-05,9.81114915531393e-05,-6.7745801642717e-05,2.86104727203111e-05,-1.10248138309548e-05,3.22400841915749e-06,5.46707406271723e-06,3.54797631946356e-06,-1.22193272990801e-05,7.80739728717735e-06,1.5839706338962e-06,2.4642281232278e-06,4.81750339095841e-07,4.37911523564187e-06,-4.37323761795239e-06,-1.08644447741957e-06,1.33026352896522e-05,6.93374663751443e-07,-1.13118402846746e-05,1.60916778759162e-05,4.0972770579423e-07,-5.06894628175481e-06,-5.27284793172005e-06,8.34907456503084e-06,-4.66430164918235e-06,9.33492240804088e-06,1.35941891514687e-05,-7.40659889469443e-06,3.17402512169237e-05,7.37751792468477e-06,-2.29427905093227e-05,7.2239219531565e-06,-2.80745878383437e-06,-5.36063853320782e-06,1.0269602087403e-05,-7.83560409430265e-06,1.58775990966139e-05,-5.30383631696063e-05,-0.000210898028006152
"kabwe","beta12",1.41300420942767e-05,8.41299696786737e-07,1.25365941302801e-05,-6.7745801642717e-05,0.000117188925482658,-9.62517032552017e-05,3.71808277754991e-05,-1.26884652614593e-05,-8.91756977210775e-07,5.61709054104849e-06,7.67624882720184e-06,-2.3691514654759e-06,-3.7778458819092e-06,-3.27939678950211e-06,1.74868184210561e-06,-4.74672016282255e-06,7.26917102472278e-06,5.43238470810263e-06,-1.17027729421648e-05,5.71949550493665e-06,4.40649618589821e-06,-1.56967341423325e-05,-4.27800044654171e-06,1.2062557139959e-06,2.28730637922682e-05,-2.37991731314984e-05,1.10679702549084e-05,-1.72217902266883e-05,2.01669694247404e-07,1.77833774778666e-06,-2.24566818999952e-05,-7.91703258734184e-06,1.87781432525873e-05,7.084183448841e-06,-3.28494877115083e-06,6.05802856725816e-06,-7.33268215626826e-06,1.40246809007019e-06,5.37539312302044e-06,2.92167745314614e-05,3.85754768234054e-05
"kabwe","beta13",-1.84960019671777e-05,1.17644763416072e-07,1.1317524213823e-06,2.86104727203111e-05,-9.62517032552017e-05,0.000149704103748269,-0.000100626073985396,3.94596936370009e-05,-4.0286010930697e-06,-1.01263207472984e-05,2.44804510972828e-06,2.38497063310128e-06,2.45224425450769e-06,1.58868409815408e-06,6.98138021185032e-06,7.12929212678736e-06,-1.25781300137867e-05,1.88231827356393e-06,7.54919199281904e-06,-7.66284225000629e-06,1.61674753440827e-05,-5.19897546568034e-06,1.46235446880235e-05,5.42669896134484e-06,-1.39607568169108e-05,8.05576393218818e-06,1.9443921317203e-06,1.03151307527789e-05,-2.59091140011137e-06,7.8890613091121e-07,-1.4953890233693e-05,1.66545467422377e-05,-1.35257696450674e-05,-1.63020225572067e-05,1.10892090637652e-05,-3.42924320945445e-06,1.94662537994364e-06,1.11350230279859e-06,-4.59970160585022e-06,-3.63426254731786e-05,-1.82178361690727e-05
"kabwe","beta14",-4.39066580380243e-05,-4.83511817452617e-07,4.66854736606697e-06,-1.10248138309548e-05,3.71808277754991e-05,-0.000100626073985396,0.000143154058574946,-8.9644286674986e-05,2.36470209816241e-05,5.63509204155083e-06,-4.76388186776247e-06,5.97347970481221e-06,-1.27105539544538e-06,2.4471862535537e-06,-9.24706420359416e-06,6.62253772194124e-06,1.30798589608449e-05,-1.44000237059031e-05,4.88015328930825e-06,1.25771040616839e-05,-2.25662909102612e-05,3.22346968268671e-05,-2.06996285030681e-05,-3.76729250507666e-06,-4.0791880213445e-07,7.55612938481885e-06,5.07105351048226e-06,-3.42827483522756e-06,-2.90864690510939e-06,7.76847377372859e-06,4.39907732931905e-06,1.59527568984227e-05,-1.14594721951524e-05,8.86493106920045e-06,-2.14962403569939e-06,-2.05397859747137e-06,1.01833967544034e-06,5.57650817919651e-06,-4.8060068510376e-06,-5.45370518424746e-05,-0.00158834214499626
"kabwe","beta15",-4.1048137691783e-05,-1.97374389177716e-06,2.46309618386917e-06,3.22400841915749e-06,-1.26884652614593e-05,3.94596936370009e-05,-8.9644286674986e-05,0.000130159339301397,-7.48712305193946e-05,1.92727496340614e-05,-3.19811493637609e-06,4.06048416476568e-06,-6.7405117131402e-07,-8.58683575609383e-07,1.22474925834507e-05,-6.42509258280802e-06,-4.52285567695439e-06,1.56034735136397e-05,2.84945036788354e-06,-3.17536465096402e-06,1.68122591129488e-05,-2.96557987754173e-05,2.35847748513275e-05,8.25500645793144e-06,4.25061997990955e-06,1.3295494124404e-06,-1.97453237135763e-05,1.94922038242507e-05,1.95966809158596e-05,-1.69810559616869e-05,-2.91206292786548e-05,5.32128475402547e-05,9.77859226609621e-06,-7.16244094898158e-06,-3.42313918953602e-07,-5.98189476015048e-07,2.40306544608763e-06,-2.90497667431627e-06,6.79532789592671e-06,-1.06886701249943e-05,-0.00319763573681532
"kabwe","beta16",1.03913997998041e-05,2.983214964912e-06,-2.73410453500831e-06,5.46707406271723e-06,-8.91756977210775e-07,-4.0286010930697e-06,2.36470209816241e-05,-7.48712305193946e-05,0.000132062599363004,-0.000117505801439111,2.84585317109065e-05,-1.6760489295592e-06,3.93831930524883e-07,7.63725683538411e-06,-1.51587038742736e-05,1.07155418877953e-05,1.14572354391362e-05,-1.6839059945075e-05,7.23636752380515e-06,-3.6278180141127e-06,-1.43587621499987e-05,3.56561909102448e-05,-1.17363505649302e-05,-5.95572586981553e-07,-1.03064080405739e-05,2.64775797950738e-07,2.07418600477599e-05,-1.39159224574013e-05,-1.51067332068857e-05,8.07156246912459e-06,2.0677024828494e-05,-6.1111642721394e-05,-1.71708117448765e-05,-4.94100477621045e-06,5.31154007413165e-06,8.53223242122571e-07,-2.03686800104468e-06,8.97667078664169e-06,-6.20162790931004e-06,-3.85470784231485e-05,0.00239081304993992
"kabwe","beta17",-3.1710597599453e-05,-1.58388540920462e-06,1.08819912520886e-06,3.54797631946356e-06,5.61709054104849e-06,-1.01263207472984e-05,5.63509204155083e-06,1.92727496340614e-05,-0.000117505801439111,0.000227428413307074,-0.000132924247271332,4.6394374066198e-05,1.02136877592828e-06,-1.67452207451038e-05,2.785410072788e-05,-1.16433302775563e-05,2.95227556982692e-06,3.01389917918291e-06,1.00029945178348e-05,-2.29150179232847e-07,2.14925281157454e-05,-3.51902751714069e-05,1.3688748277782e-05,-1.77725308461968e-06,1.47232673344189e-05,-6.14584303348675e-06,-5.75248456990546e-07,1.25230630992674e-05,2.59256454343721e-05,-2.34229801160973e-05,4.51809073372879e-05,9.3014787055796e-06,1.26986667427744e-05,7.15533829594021e-06,-2.41656911531265e-06,-1.65715172590615e-06,-3.31654984047349e-07,-2.22167121438306e-06,3.09661771444344e-06,-5.61116179800879e-05,-0.00166404699087404
