"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000118614612983143,9.10853023833935e-06,-5.23851141094485e-05,3.80124474231611e-05,-3.08116640832851e-05,3.65557638815352e-06,8.99002539154846e-06,-2.49735836432112e-05,9.68380076935213e-06,3.31526219441356e-05,-3.45996779524157e-05,2.88926260976587e-05,4.64040772308549e-05,-2.48301253754913e-06,-1.91348656261652e-05,5.13185319435612e-06,-6.31615335350746e-06,6.70134003846924e-06,8.32249797758908e-06,-1.01253599406298e-05,-8.88764133027664e-06,1.8451128159123e-05,-2.99424514319563e-05,-2.87485909008129e-05,3.57201103834727e-05,-3.04722674221487e-05,-6.17176474926741e-06,1.94396242604921e-05,-1.56728548211528e-05,1.30260361916795e-05,3.63910540728258e-07,-1.5836203679985e-05,8.42930332587157e-06,9.2984785587263e-06,6.37230682644823e-05,-1.73275804512788e-05,-1.69244098492698e-06,1.62244929444359e-07,1.06839840459244e-05,1.74149539730326e-05,-6.14475490614506e-06,2.9643812221704e-05,-9.92484767742632e-05,4.00728486757612e-05,-4.3166717889376e-06,-8.62909326862074e-06,1.44537526551207e-05,-1.23601273334927e-05,3.01125078988188e-05,2.33046321119891e-05,0.013063016522582
"kabwe","beta1",9.10853023833935e-06,0.00011370993000662,-8.56252311652429e-06,1.97439417080696e-05,4.05114279642008e-06,-1.03434855429234e-05,-9.34204223347864e-06,-2.12521081352059e-05,-1.85858284572353e-06,5.97642447019458e-05,-4.36313847500449e-05,3.72330118382394e-05,7.77264833409865e-06,-2.52210206472825e-05,5.95259356915124e-06,-1.45728904937039e-05,6.9270331255907e-06,1.14082596571608e-05,-1.3486406549126e-06,1.49769967554475e-06,-1.64380368337208e-05,1.05014694249351e-06,1.30554433992857e-05,8.8158202633162e-06,-3.10851231509175e-06,-1.70094278255573e-05,6.65908247899633e-06,2.74656240248243e-05,-1.28803698774934e-05,3.8132851287403e-06,-1.64917124820933e-05,2.98990088162029e-05,1.17616616375606e-05,-1.29485231750643e-05,2.42149081112867e-05,2.17355817149726e-07,1.86224255236357e-05,2.07125986548696e-05,-3.24800922149957e-05,6.23458257321718e-05,-8.95161747829566e-05,0.000118134901989344,-5.89592183384056e-05,0.000100102382770022,-5.83494318319635e-05,1.1278278408641e-05,1.0606734282138e-05,4.74055299507128e-06,-1.94231273794275e-05,-0.000106351242141131,0.0144717770098503
"kabwe","beta10",-5.23851141094485e-05,-8.56252311652429e-06,0.000214494437083152,-0.000113571383668515,7.22482195439706e-05,-3.90646814819717e-05,-1.59231446839372e-05,2.79087135553414e-05,9.71377046875166e-06,-4.67983164302975e-05,3.99588426233721e-05,-6.11553665098414e-05,-0.000144874089435333,2.7722079783633e-05,1.03476794445044e-05,-1.20819152725638e-05,1.15854603117454e-05,-1.52708359950684e-05,-2.63376654826804e-05,4.2001208879509e-05,4.67463506245562e-06,-3.60519093755146e-05,5.79917123255738e-05,1.56731840059895e-05,-7.50361416585939e-05,6.58229702571501e-05,2.41055516284241e-06,-3.09014176488836e-05,1.12501165514629e-05,-1.060074694029e-05,9.39770426915433e-06,9.04896733300571e-06,-3.37572725823893e-05,2.42935055713582e-05,8.47483630537058e-06,7.81043035897993e-07,-7.94048332143726e-05,0.000157087088445267,-0.000187301597648788,0.000137752918270057,-5.24900860450573e-05,-7.44353049631063e-05,0.000115738169204557,-5.46584314405101e-05,-4.89912051315626e-05,1.32500853785962e-05,1.55214270413189e-05,3.79533967152566e-06,-0.00011083496761219,0.000160736608767178,-0.0190492238647195
"kabwe","beta11",3.80124474231611e-05,1.97439417080696e-05,-0.000113571383668515,0.000125974769479171,-8.4824687855012e-05,3.42458526855944e-05,3.19920320845121e-07,-5.10581133673924e-06,1.72192476236769e-05,-2.06073545555711e-05,-3.47397606027684e-05,4.89209551835128e-05,0.000240633545425192,-9.66747996843012e-06,-1.17131888762881e-05,3.20311805550585e-06,-1.68797842244389e-05,1.66348175210096e-05,2.28275137855022e-05,-2.99051583983327e-05,-1.32940626807817e-05,1.70072495348079e-05,-1.47144761793637e-05,4.92713500054122e-06,4.94473707568828e-05,-6.19646444261093e-05,-2.66027588894383e-06,3.2342671075494e-05,-1.11623700261219e-05,7.74699106465294e-06,-5.33465494316564e-06,-1.09747804964339e-05,3.34623525787909e-05,-3.5341639742231e-05,-5.46539455299228e-08,-8.03644269707453e-07,3.02663159883499e-05,-9.25959839756516e-05,9.62292488584989e-05,1.29775267355784e-05,-5.96972846980632e-05,0.000109616290433026,-0.000109961333487968,1.9281669292526e-05,-1.93751115577631e-05,1.9300360050806e-06,1.47401822916501e-05,-3.28220910503857e-05,4.32806965884592e-05,-2.25141070570398e-05,0.0356050947463807
"kabwe","beta12",-3.08116640832851e-05,4.05114279642008e-06,7.22482195439706e-05,-8.4824687855012e-05,9.97628348931802e-05,-6.25714558758085e-05,1.10561814468376e-07,-1.04830045673891e-06,-8.88586055785741e-06,1.36016215450671e-05,2.98463564119616e-05,-2.50726616695427e-05,-0.000181534928499518,-1.05035202569843e-05,2.28334777294443e-05,-3.17406730685052e-06,1.87471419852807e-05,-2.6739388517931e-05,3.53997520684642e-06,1.75821478055582e-05,-9.15020797165056e-06,-1.97887050813205e-06,2.71242529411188e-05,4.04693125525959e-05,-5.21560151322891e-05,6.17031764996419e-05,1.12141662084956e-05,-2.96096323954024e-05,9.78191360013498e-06,-1.02543972319926e-05,1.08908179652279e-05,-1.93578744108076e-05,1.7537729650149e-05,-1.52996264811039e-05,-1.10856072451741e-05,4.33328205751412e-05,-3.58820479680688e-05,8.32049508597114e-05,-8.60874098223914e-05,-1.46870288800996e-05,2.92527894672835e-05,-5.67740573826198e-05,7.99637685200152e-05,1.6372984126517e-05,1.58140396169358e-05,-4.73328120022833e-06,-2.57067689102154e-05,2.03518798963939e-05,-2.77266747380304e-05,-7.00043548873961e-05,-0.0183160667942719
"kabwe","beta13",3.65557638815352e-06,-1.03434855429234e-05,-3.90646814819717e-05,3.42458526855944e-05,-6.25714558758085e-05,0.000113980637527814,-5.79690207556954e-05,9.65454966816524e-06,6.75247938406722e-06,-1.21791138258456e-05,-3.67402615021072e-05,1.0327642821747e-05,9.87307126550688e-05,1.75761771266458e-05,-9.86755766976193e-06,4.64184614437116e-06,-3.15283888606449e-05,4.92076875396026e-05,-4.6276312380352e-05,1.5930420960542e-05,-1.05627805623587e-07,-8.95492714152507e-06,-1.00658144095728e-05,-4.87823463140017e-05,3.24188324193562e-05,-1.76803114730632e-05,-3.49299768409756e-05,2.55249284496196e-05,-1.49471034914178e-05,1.38450459893745e-05,-2.53706547793711e-05,3.57977679826592e-05,-3.23555686070806e-05,4.63797793309693e-05,4.68558210490467e-06,-6.15775002459294e-05,3.53694396867232e-05,-9.5036894665346e-05,8.04684401733694e-05,-1.92942892324451e-05,-4.12643434478894e-06,-1.31027229815061e-05,4.91204031987566e-05,-0.000162706170143699,1.09245411839877e-05,7.37115886441425e-06,1.09043252850238e-05,-1.80026242004734e-05,1.02706131656847e-05,8.73208464063954e-05,0.00213275569207622
"kabwe","beta14",8.99002539154846e-06,-9.34204223347864e-06,-1.59231446839372e-05,3.19920320845121e-07,1.10561814468376e-07,-5.79690207556954e-05,9.34276962596849e-05,-5.4811907783942e-05,-6.71248564335176e-06,4.66489023657941e-05,-5.61771299700379e-06,1.69069674893711e-05,-3.16294920647441e-06,-1.2965243902641e-05,-5.43233113950396e-06,2.12681208415579e-06,1.80372499069574e-05,-2.93648805509524e-05,4.16871048303768e-05,-2.90122022088445e-05,1.91765635406374e-05,2.7824345854207e-06,-4.11585355786462e-05,3.06598737256744e-06,4.2093390247488e-05,-3.57814291975339e-05,1.93493386850239e-05,9.8389082158358e-08,1.16065718923487e-06,-4.72119270455847e-07,1.45594549349335e-05,-9.91089139326399e-06,-1.43032470328939e-05,-3.1453512223742e-05,-1.47739247725651e-05,8.42823460354769e-05,-7.72331108928036e-05,6.36051188790863e-05,-1.49708861512294e-05,-7.32652914621877e-06,-5.07139739855918e-06,5.02828191195464e-05,-9.98673355254179e-05,0.000136252959031223,-1.34687577907792e-05,-4.28842724309311e-06,1.2273443280992e-05,1.94013045802393e-05,6.81316199365152e-06,-1.23910231279711e-05,-0.00541348142827751
"kabwe","beta15",-2.49735836432112e-05,-2.12521081352059e-05,2.79087135553414e-05,-5.10581133673924e-06,-1.04830045673891e-06,9.65454966816524e-06,-5.4811907783942e-05,0.000117446224498944,-2.11471638439514e-05,-0.000123545886078094,6.4025337345882e-05,-2.85980500286839e-05,7.3523199387075e-05,7.06098824040677e-06,1.01938036219134e-05,-3.32500006430692e-06,-3.63702108225062e-06,1.06897433150784e-05,-1.62156158466227e-05,1.86952931516048e-05,-1.00061251832571e-05,-2.48295379416769e-05,8.4254966082418e-05,5.97310327174381e-05,-6.18451145092496e-05,4.2375087545032e-05,-9.29261810584983e-06,-3.66936168275985e-06,1.8445049790053e-05,-1.19590334384423e-05,1.01422278993784e-05,-1.19356935251208e-06,1.35325727710227e-05,4.7287702038845e-05,-6.26334317933446e-05,-0.000114883114527621,0.000132943285443705,-9.98958298758843e-05,7.6127735964101e-05,-1.25678467853005e-05,4.54757350760108e-05,-8.83891274326714e-05,0.000103309564926898,-6.31232002123631e-05,-2.02016329225482e-06,-1.29233984356903e-06,1.65893216777348e-06,-3.13407736943959e-05,1.47409076219983e-05,9.26908502784001e-06,0.0125935409559036
"kabwe","beta16",9.68380076935213e-06,-1.85858284572353e-06,9.71377046875166e-06,1.72192476236769e-05,-8.88586055785741e-06,6.75247938406722e-06,-6.71248564335176e-06,-2.11471638439514e-05,8.00342811085169e-05,-0.000120343256027879,3.4073037888771e-05,-4.67822255813204e-06,0.000140182143058916,5.0998572984079e-06,-1.19997884697254e-05,1.25602333143803e-05,-1.58526534763581e-05,2.48053594838716e-05,-2.68795762469304e-05,1.56208625345341e-05,-1.82246914024802e-05,2.61491236783208e-05,-2.1004335747342e-05,-5.66759372757788e-05,1.58116822175037e-06,-5.33895250735538e-06,-1.04418816811291e-05,8.1833668688794e-06,-1.12190880476143e-05,1.51042952891354e-05,-1.59192132622443e-05,-2.25372627983419e-05,8.62535050666076e-06,-2.43171932812184e-05,3.43919376570649e-05,1.87300795937265e-05,-3.32157657758671e-05,-2.34445027569058e-05,-5.45872306420202e-06,8.43227043066821e-06,-5.39327789506394e-05,3.4220672280525e-05,-1.91828867504517e-05,-9.93579045149785e-05,2.19442343355759e-05,-1.94226507956977e-05,1.93535696044602e-05,-1.81897722296887e-05,-1.93287130344409e-05,3.9151349758612e-05,0.0187399214192602
"kabwe","beta17",3.31526219441356e-05,5.97642447019458e-05,-4.67983164302975e-05,-2.06073545555711e-05,1.36016215450671e-05,-1.21791138258456e-05,4.66489023657941e-05,-0.000123545886078094,-0.000120343256027879,0.000592280002660106,-0.000338324051613873,6.92435936418255e-05,-0.00054425173836983,5.76740399989644e-07,2.34303035150442e-06,-2.63075854744766e-05,3.56883032326766e-05,-5.53838746527674e-05,6.17684818748841e-05,-5.09217407855257e-05,4.9446056200236e-05,9.48002184285794e-06,-6.95123001707507e-05,3.92600807958305e-05,-9.42626040368552e-06,1.48132440648055e-05,4.59655031036931e-05,-4.16061376135433e-05,3.86279746870236e-05,-5.06402037521514e-05,3.10409560510025e-05,7.1476419771266e-05,-3.78358810907007e-06,-3.63920171400285e-06,0.000124600206949256,7.71669663602501e-05,-0.000110461399704622,0.000323639081386461,-0.000230292959809352,0.000155795032686714,-3.72212140261467e-05,0.000130256157316563,-8.38152269278256e-05,0.000377556421234601,-0.000149436044292436,8.29242167350014e-05,-5.16378974749852e-05,8.41299152898908e-05,-9.42517842338326e-06,-0.000219206908315732,-0.0699860449730113
