"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.00115663506977684,4.23104352657705e-05,-2.77778506990333e-05,-1.36669782780141e-05,-1.4295888741091e-06,-9.29887740722694e-06,-2.26470792734131e-05,-9.98550979459617e-06,-1.13076653415553e-06,-1.4420620171457e-05,-6.87194756671406e-06,-5.98388275053197e-06,6.97591278600499e-06,-4.13834610740274e-05,-2.53259248969119e-05,-1.28210692952074e-05,3.30714158798744e-05,-5.69830240500642e-05,-1.63886430724031e-05,-4.92500653972858e-05,-1.17721377033371e-05,-1.23003086702553e-05,8.43417675538619e-06,-1.28639532923993e-05,1.55281141261096e-05,-7.10020257121846e-05,-4.76367451923404e-06,1.22151296320808e-05,-7.89885646006615e-05,4.59909941938754e-05,0.000114735965737358,-0.000472187972035761,-7.06408683758111e-06,-1.25303612438381e-05,-1.23279175381117e-05,2.74329005196503e-05,-3.30406768277478e-06,-3.00368012401637e-05,1.47329194313498e-05,0.000146735198630747,0.0535919319738747
"kabwe","beta1",4.23104352657705e-05,3.6806985238697e-05,-1.19267918237107e-05,6.05409198477684e-06,-5.37570289677571e-06,-1.06036764337478e-06,3.49686340522141e-06,-1.71053961888923e-06,-1.57533004522956e-06,-2.04332505715911e-06,-4.5556259266339e-07,-2.44385654117153e-06,8.0694802670096e-07,1.36589791227634e-06,-4.99046600236312e-06,4.10712950123782e-06,-1.3032377032986e-05,2.15345423381533e-05,-1.65556957497954e-05,1.47505329128875e-05,-1.20911907932982e-05,2.09348302072969e-05,-8.99363138678709e-06,-4.87857534239947e-06,-5.31028547399376e-07,2.39642665336065e-06,7.28412392546716e-06,-1.76006314057243e-05,2.34484237593467e-05,-4.85472196251978e-06,7.53313797630237e-06,-2.33359850886489e-05,-7.31572485188099e-06,-3.06980186056019e-06,2.53760909843094e-06,5.87988282422491e-07,-6.00420983738941e-07,-7.67124384081659e-06,1.07280067784501e-05,6.11220948172583e-07,0.0390455187275218
"kabwe","beta10",-2.77778506990333e-05,-1.19267918237107e-05,0.000156180643828516,-9.0167093329679e-05,3.4162301803738e-05,-1.04287715822578e-05,7.96890406462302e-06,-7.09961520022358e-06,1.10230238746589e-05,-4.18204872511208e-06,6.12035312108779e-06,1.59340107020047e-06,3.56670031694911e-06,-1.3302828104903e-05,1.76792699596909e-05,-6.11353615327945e-06,1.14936178663744e-05,-5.05525707922129e-06,5.85344244283038e-07,-6.47340134027757e-06,1.75973177905803e-05,-3.01348360212501e-06,1.40713527364221e-05,-1.58822226867307e-06,-2.94094027604059e-07,1.27851778109227e-06,7.51754226101524e-06,-1.75062545233296e-05,1.35644100059005e-05,1.58794958486036e-05,-2.06884385315199e-05,1.02447132627131e-05,5.00360922979149e-05,-8.33857980487692e-06,1.20606146238489e-05,-5.47391333492766e-06,-1.51519070472146e-05,4.48096723145329e-05,-0.000101434474058573,8.78860403462171e-06,-0.0150265327944352
"kabwe","beta11",-1.36669782780141e-05,6.05409198477684e-06,-9.0167093329679e-05,0.000113307335068734,-6.84210406401732e-05,1.72788594838224e-05,-4.54535506298512e-06,7.58070932044255e-06,-1.71971258438085e-05,1.47246131014422e-05,-2.47472770115009e-06,-1.23565777480211e-05,-1.80782825664381e-06,2.78082151913698e-05,-2.32511739330382e-05,1.44045482318666e-05,-8.70181765445207e-06,-4.06069067723315e-06,5.03036667667011e-06,-3.26778916145961e-09,-5.35355282962323e-06,9.7394670935432e-06,-1.20907040315234e-05,3.67414319370182e-06,-8.34894816192705e-06,-1.37009279000084e-06,-1.75114700288932e-05,2.4045355832815e-05,-7.26707102993115e-06,-5.28450263481045e-06,-1.66833625198427e-05,1.74131434836691e-05,-1.24483113237084e-05,2.85476485451754e-06,-7.08506100489576e-06,3.75483607167062e-06,4.31071947272096e-06,-1.94215037508311e-05,3.90107607548825e-05,-2.55045152068834e-05,0.00749708728727032
"kabwe","beta12",-1.4295888741091e-06,-5.37570289677571e-06,3.4162301803738e-05,-6.84210406401732e-05,9.34361603073381e-05,-6.97221820018623e-05,2.89666677813353e-05,-1.46473010712314e-05,1.57830453923761e-05,-1.12772118709163e-05,-6.358324635834e-07,1.25458993257919e-05,7.36487557508583e-06,-1.65163539653902e-05,8.80167580646905e-06,-1.23947508732083e-05,2.15795644016891e-05,-9.43916494769122e-06,5.13831993749347e-07,-2.07686157333069e-06,2.50029347564002e-06,3.40428516064968e-08,7.45600305527833e-06,-6.86832211459688e-06,-6.36556050190375e-06,1.8881448996062e-05,1.02830546872955e-05,-3.45704916776912e-05,3.88383151784645e-05,-2.52550981321224e-05,5.93691970962983e-05,-4.77767685493238e-05,-4.19028147928409e-07,-1.99525095102485e-06,4.76934578903648e-06,-5.60300121672029e-06,-1.81733897081918e-06,1.83528618383718e-05,-2.4213428925688e-05,2.48050237327125e-05,-0.00555631091367336
"kabwe","beta13",-9.29887740722694e-06,-1.06036764337478e-06,-1.04287715822578e-05,1.72788594838224e-05,-6.97221820018623e-05,0.000131770475065758,-9.84823389442878e-05,3.92367260684944e-05,-1.73983625017454e-05,1.76490569413073e-05,-6.14690557981382e-06,1.58582510747687e-06,-1.10126861363029e-05,-2.35155214436341e-06,1.72027945767801e-05,-8.31402342947426e-08,-2.48829356430514e-05,3.03351950296553e-05,-9.07961572170103e-06,8.18892937482587e-06,3.03122889095051e-06,-8.26649430190928e-06,-4.24911142428697e-06,1.54226754767362e-05,2.01656913241298e-05,-2.76632990013434e-05,-3.21760200804879e-06,3.79650286315505e-05,-4.25973384106239e-05,3.49766339757858e-05,-6.83582152118809e-05,8.53568459369196e-05,-2.86799636766318e-05,-2.81679942306169e-06,-9.20585615311005e-06,1.47035829136748e-05,-2.55465187047548e-06,-7.58237102220156e-06,1.09268236134723e-05,-3.66625789832837e-05,-0.00418048852374022
"kabwe","beta14",-2.26470792734131e-05,3.49686340522141e-06,7.96890406462302e-06,-4.54535506298512e-06,2.89666677813353e-05,-9.84823389442878e-05,0.000142124598747454,-9.17742223005026e-05,3.59336438468251e-05,-2.02683245052995e-05,1.04784112497146e-05,-9.23104418078553e-06,9.74836362182613e-06,1.14919037837415e-05,-1.45465487788839e-05,3.70188111949313e-06,2.83754172015343e-05,-3.91394219614054e-05,1.49126443516894e-05,-2.69387594862402e-06,-5.76860584036966e-06,8.58044282533552e-06,7.09566712479001e-06,-1.88773982678389e-05,-7.63567714621097e-06,9.2088568184935e-06,1.31557624217574e-05,-3.09112214715446e-05,3.65140669293321e-05,-2.77850614054049e-05,4.82759227409691e-05,-6.86333044871864e-05,4.9206321164231e-05,1.0908045666556e-05,5.90380003950775e-06,-1.88990781733374e-05,1.12479646615906e-05,-3.84127116615724e-06,-1.23435482377238e-07,8.78682440792424e-06,0.00489878159938123
"kabwe","beta15",-9.98550979459617e-06,-1.71053961888923e-06,-7.09961520022358e-06,7.58070932044255e-06,-1.46473010712314e-05,3.92367260684944e-05,-9.17742223005026e-05,0.000130007600982963,-8.73577695356487e-05,4.40105214772112e-05,-1.47944342225028e-05,8.26120655213337e-06,-8.38059965075319e-06,-3.01478677531399e-06,1.07656118247407e-05,-5.07656525331172e-06,-1.6692184072087e-05,2.89529301604341e-05,-6.69932191399864e-06,1.6247582778157e-06,7.58193798910279e-06,-1.37165261685883e-09,-6.01646312420853e-06,1.16717492798795e-05,-6.46134809068659e-06,1.09652464493434e-05,-1.01013308899263e-05,1.98852048076441e-05,-1.40803253523692e-05,6.46495810466965e-06,-2.25029542882959e-05,6.25542833364764e-05,-4.55086464876876e-05,-4.05585636529528e-07,-3.36626663680651e-06,1.01737896239201e-05,-3.15264902509532e-06,-1.61241575720452e-06,1.00476209232132e-06,8.49272260487081e-06,-0.00296387564666311
"kabwe","beta16",-1.13076653415553e-06,-1.57533004522956e-06,1.10230238746589e-05,-1.71971258438085e-05,1.57830453923761e-05,-1.73983625017454e-05,3.59336438468251e-05,-8.73577695356487e-05,0.000141947274331068,-0.000139090231140366,3.76957339914743e-05,-3.87098578789904e-06,2.9886397771116e-06,-6.52387089286266e-06,3.96937911588926e-06,3.88074433920295e-06,1.27094360449612e-05,-2.44137915720115e-05,8.83685155976981e-06,-5.73677345803959e-06,8.24258389418349e-06,-1.86216104530306e-05,9.0935313089247e-06,-3.76975983083903e-06,2.29277211578518e-05,-2.00519122605853e-05,1.08297778603702e-05,5.79602081088888e-07,-6.62853894887223e-06,2.50125634476715e-05,1.81279050207028e-06,-8.91964453611561e-05,4.88791366061355e-05,5.85978121779213e-07,-4.42975099259994e-06,-1.68420900817449e-06,-7.57617906553542e-06,2.23362836278464e-05,-9.99684801092982e-06,-1.97841734696743e-05,-0.00192164507351065
"kabwe","beta17",-1.4420620171457e-05,-2.04332505715911e-06,-4.18204872511208e-06,1.47246131014422e-05,-1.12772118709163e-05,1.76490569413073e-05,-2.02683245052995e-05,4.40105214772112e-05,-0.000139090231140366,0.00024937353417665,-0.000122150385195339,2.22630991956198e-05,2.44982156413489e-06,1.57352831448011e-05,-1.30567958742983e-05,-5.56787041738635e-07,7.80666195941616e-06,1.57033421318204e-05,-5.5864589471613e-06,1.60113733189095e-05,-1.18592593285475e-05,4.57943960928155e-05,-4.66224272655373e-06,-4.30128940707553e-06,-4.05597928710054e-05,4.88413035760895e-05,-1.54322960292538e-05,2.19657518325701e-06,3.75138991421167e-05,-2.98765676730538e-05,-6.93003894904613e-06,0.000120055830792471,-4.1144094200148e-05,3.01318118895189e-06,8.43808586683895e-06,-2.5250101432783e-06,1.51516974677531e-05,-3.31015550714081e-05,1.01998315733484e-05,-1.0112021184339e-05,-0.00184852282555196
