"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta4","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.00133686988225446,4.87628062600413e-05,-1.59672195130699e-05,-1.28057422168927e-05,2.95974196145644e-07,-1.69395914555964e-05,-8.93368364733564e-06,-3.23403315131493e-05,3.29508291803475e-05,-6.24121788656089e-05,2.66600438644277e-05,-4.350556615043e-05,1.45609179374869e-05,3.07387126967772e-05,-8.18402764587232e-05,1.0044430587337e-05,-1.36571014454329e-05,2.52155859532083e-05,-6.33354072583748e-05,1.00478167750714e-05,-6.97664800136716e-05,-2.01509982046546e-06,2.0320895897141e-05,-4.56370311140221e-05,-2.48549787648197e-05,-0.000107171912070442,0.000102810694562733,-0.000144692245351298,8.81561123735578e-06,0.000141088070185672,-6.08966840802429e-06,-0.000160504568937547,-9.81318036648291e-05,2.10778815848432e-05,-2.28679796854815e-05,1.32998586220928e-05,-7.86315346124712e-06,3.60728466567e-06,-9.55410048779596e-06,0.000250244551862697,0.0624407614275375
"kabwe","beta1",4.87628062600413e-05,3.86104387665425e-05,-5.10157005661282e-06,-1.61957807141484e-06,-1.84633808912754e-06,3.10271160415733e-06,-2.34340109391273e-06,-2.90038560990803e-06,4.32290723479852e-06,-1.07108542546624e-05,7.7614793229008e-06,-9.07295390259984e-06,-5.10126058244482e-06,9.51002224690477e-06,-1.17815659469967e-05,5.69113409551881e-06,-1.26206839122691e-05,1.03436883939193e-05,-8.56444415712075e-06,2.21657055559904e-06,-1.63959849709165e-06,-3.67206874602193e-06,-7.87767235758917e-06,-8.98956538445534e-07,-2.14233546352762e-06,2.65593729456081e-06,1.71993107481353e-06,-1.98234820744412e-05,5.59733755446016e-07,9.07770877933861e-06,-1.13618658120141e-05,1.62687647906176e-05,-2.74581754437273e-05,-2.19929033498697e-06,-1.32406491974086e-06,6.97607216071147e-06,-6.33705726555993e-06,6.73939501245896e-07,2.53217391461602e-06,-4.33982365045273e-06,0.0395787361265311
"kabwe","beta10",-1.59672195130699e-05,-5.10157005661282e-06,0.000128259724261647,-6.59697052993561e-05,2.10705845868107e-05,-7.90648796564337e-06,2.34556458584481e-06,2.31540496561598e-06,2.56001602293019e-06,-3.76963204389277e-06,3.15090253067977e-07,-3.96556296439823e-06,-2.36108958623487e-06,5.02744589249343e-06,-1.09774648351813e-06,-3.25510665233509e-06,1.38311250199612e-05,-9.07323774631415e-06,5.79685726515894e-07,1.57693169233514e-06,-4.97454990527573e-06,-7.18347308783825e-07,5.28140781874326e-06,4.77121850141147e-06,-5.12386368704914e-06,2.11722620576105e-05,-2.22770929303535e-05,9.09883369990814e-06,2.3572766920628e-05,-3.48231832374544e-05,2.98913129581325e-05,-6.78115212046478e-05,1.93066725707491e-05,6.38159314383934e-07,6.96841913480918e-07,-2.37340235908046e-06,-2.19980477150365e-06,2.52841325994418e-05,-8.95483586951787e-05,-3.48750606578788e-06,-0.00673598259322078
"kabwe","beta11",-1.28057422168927e-05,-1.61957807141484e-06,-6.59697052993561e-05,9.49649794023511e-05,-6.22820149138649e-05,2.55032962985228e-05,-1.0883347295263e-05,6.99572508140844e-06,-4.55006287360311e-06,5.20323501374653e-06,4.81433095524554e-06,3.68940580898809e-06,-2.70434418352765e-07,-6.79882256240569e-06,1.01046257295737e-05,5.36252987891172e-06,-5.73673616652109e-06,-8.33385468470009e-06,1.69017459929985e-05,-6.35313246414151e-06,-4.97949532677583e-06,2.63612966999474e-05,-1.03235729950352e-05,2.15410672421078e-08,7.97450420660621e-06,-9.0858195038086e-06,1.2389694932229e-05,1.06731569085867e-05,-3.20152118401546e-05,5.92252135457789e-05,-3.86549943793299e-05,8.84341815545808e-05,-2.36031724518424e-05,-3.29190093002376e-06,2.43399598294255e-06,9.31714724290329e-07,-9.36263182478197e-07,5.84145291394322e-07,1.60918353742504e-05,-1.02979954366938e-05,-0.00170817770027569
"kabwe","beta12",2.95974196145644e-07,-1.84633808912754e-06,2.10705845868107e-05,-6.22820149138649e-05,9.43132780609333e-05,-7.37183698004198e-05,3.0122627150669e-05,-1.0448645042922e-05,5.43548876531306e-06,3.11349228419117e-06,-2.517106315632e-06,-1.26557098138432e-05,3.65900836934046e-06,1.43092441401527e-05,-1.16768199904581e-05,3.17996166163243e-06,7.94317052273799e-06,8.93489081562845e-07,-9.82330963297083e-06,6.73596255559699e-06,7.87892013284383e-06,-1.71253880863532e-05,1.5289749493443e-05,-1.10635355533428e-06,-7.27183960818591e-06,3.50555369676962e-06,2.59020868884436e-07,-6.14728362099317e-07,1.73420812737953e-05,-2.34270826424942e-05,2.20312780094872e-05,-6.08714234430296e-05,4.27849405311621e-05,9.4225777173697e-07,9.3435639828645e-08,-1.37370390658594e-06,3.70017958874068e-07,-4.37678030817844e-06,7.59006253627854e-07,-4.80959394299603e-06,-0.00184176023593158
"kabwe","beta13",-1.69395914555964e-05,3.10271160415733e-06,-7.90648796564337e-06,2.55032962985228e-05,-7.37183698004198e-05,0.000117355991265073,-8.3060096556058e-05,3.26773555046616e-05,-1.88063070127823e-05,9.22140134593794e-06,-5.76065412184532e-06,1.83600385128324e-05,-3.70753373271451e-06,-1.44205918783307e-05,7.86347260485351e-06,-3.05380293038756e-06,-4.45709641174589e-06,1.34185986910065e-06,8.71452729216253e-06,-1.31624810715408e-05,7.69684042235151e-06,-5.96046037909351e-06,6.90411354388351e-06,-2.58176859075517e-06,-1.78355463820328e-05,1.28463496394809e-05,-1.14426503023556e-05,7.31062106293624e-06,-1.35483981236494e-05,8.52691734350172e-06,-3.59703881082346e-05,9.36216261906902e-05,-4.52646646724137e-05,-2.54379003978066e-06,4.89612112990496e-06,1.68376001559831e-07,2.04160905012756e-06,8.52290738012867e-07,2.87817841557991e-07,-8.82261787607534e-06,0.00104856442371877
"kabwe","beta14",-8.93368364733564e-06,-2.34340109391273e-06,2.34556458584481e-06,-1.0883347295263e-05,3.0122627150669e-05,-8.3060096556058e-05,0.000130934863587861,-0.000101926549888796,4.91048845566396e-05,-2.06409392275966e-05,8.81115456008215e-06,-9.96287291474599e-06,-2.20826124981192e-07,7.05297278923231e-06,-2.02857262533575e-06,5.34308061882995e-06,3.01118175711229e-06,-5.31428660330287e-07,-6.4951152504746e-06,1.47026848596974e-05,-1.34759943991109e-05,3.27185540093942e-05,-3.09259672607516e-05,1.23497500881638e-05,3.45279135774456e-05,-2.43233329584188e-05,1.89198327074952e-05,-1.27366437676338e-05,1.84959769982422e-05,-6.15197346903333e-06,6.5436154958039e-05,-0.000119637362917091,3.26929344448599e-05,-1.65266543218835e-06,-5.91277229008974e-06,-4.60285485770787e-07,1.89548076253897e-06,-5.10970271198231e-06,2.43998071641815e-06,-1.85377204575191e-06,-0.000673986498059108
"kabwe","beta15",-3.23403315131493e-05,-2.90038560990803e-06,2.31540496561598e-06,6.99572508140844e-06,-1.0448645042922e-05,3.26773555046616e-05,-0.000101926549888796,0.000156890078310102,-0.000103219054708959,4.64775635656728e-05,-1.44873898845436e-05,1.16004380559506e-05,3.82680752900528e-06,-1.80213482925861e-06,7.53818080454874e-06,-4.99224753024536e-06,8.78735287619396e-08,1.80368217833425e-06,7.38405177813508e-06,3.83300646265989e-06,-1.00291022344568e-05,-9.17432738037678e-06,1.83895457301247e-05,-1.19449345741848e-05,-2.17443087800547e-05,2.77052780785165e-05,-2.53060652287605e-05,3.93370206617913e-05,-4.30380169577985e-05,1.90579255707408e-05,-5.32146358317468e-05,0.000123738048662519,-2.79977666733916e-05,2.87819874968681e-06,5.35142959449497e-06,-2.33798584587866e-07,-4.92498815686134e-06,1.84975258346853e-05,-1.12224950398753e-05,-5.35863592786698e-06,-0.00500900076141843
"kabwe","beta16",3.29508291803475e-05,4.32290723479852e-06,2.56001602293019e-06,-4.55006287360311e-06,5.43548876531306e-06,-1.88063070127823e-05,4.91048845566396e-05,-0.000103219054708959,0.000148845883195586,-0.000136324207598928,3.7639751377975e-05,-6.06801975007797e-06,-3.33226962531234e-06,1.35608123916776e-06,-1.198055483539e-05,1.73751661159508e-05,-2.64279600617176e-06,-8.21812114721288e-06,1.73952629056363e-06,-9.87888112497733e-06,2.56523802533151e-05,-5.9785346860773e-06,-1.79084410969627e-05,2.52610804058911e-06,2.97548452713146e-05,-1.34769124006639e-05,8.67716854989618e-06,-2.65656666490611e-05,4.45610258110183e-05,-1.93905495727577e-05,5.20504322866256e-05,-9.01522874303064e-05,2.55521202276461e-05,5.0859050753273e-06,-2.88423096201203e-06,-5.13618134177295e-06,1.12978908321277e-05,-1.97904136150277e-05,8.09332859045247e-06,-5.10802567092021e-06,0.00434716016772305
"kabwe","beta17",-6.24121788656089e-05,-1.07108542546624e-05,-3.76963204389277e-06,5.20323501374653e-06,3.11349228419117e-06,9.22140134593794e-06,-2.06409392275966e-05,4.64775635656728e-05,-0.000136324207598928,0.000249646601498238,-0.000137141487090774,3.30788214180015e-05,2.48711574165346e-06,-8.87136809457098e-07,2.12090699141655e-05,-1.99243802510944e-05,2.49456376874661e-05,-1.6673643937042e-05,1.17707133911272e-05,3.46235386962717e-06,-3.8824370069827e-06,7.31065103027724e-06,1.87670905969789e-05,3.80019589317068e-06,-1.03487754779152e-05,-2.3117733480431e-05,2.44174865057546e-05,1.66936312253849e-05,-1.72261198857007e-05,1.80324881202516e-05,-6.27493016750096e-05,0.000129348824420573,-2.33542804992921e-05,-5.05506132846532e-06,2.43729121592753e-06,1.9097780907826e-06,-5.11003405597761e-06,1.64000521817653e-05,-5.68807229004149e-06,-1.8716414689318e-06,-0.0119744553912498
