"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000285950434136459,1.57524552810419e-05,-1.65699893757585e-05,-3.71699648112077e-05,-6.36349438308451e-06,6.3890493535367e-05,-6.96202438112853e-05,3.10614172038913e-05,-8.3088089740444e-06,1.85057286282295e-05,-3.46123326306139e-06,-4.91469030363424e-05,-0.000158459568566315,4.64111151383138e-05,-2.15724243720173e-05,2.50965652637685e-05,-1.35179068368893e-05,2.73106011154599e-05,-5.24484626896915e-05,4.88395561771231e-05,-6.66016590544722e-05,0.000111611126741165,-0.000127986450097418,-1.99378127602752e-05,2.79196534783745e-05,1.62323877607259e-07,8.45363266191304e-05,-0.000114033613139182,8.01281185125776e-05,1.51674144177292e-05,-4.94295116554745e-05,4.43206713562932e-05,-5.48006992217285e-05,7.98769369611338e-05,-6.94149892621794e-06,-4.50458459013805e-05,7.60905131501701e-06,-9.75828166410965e-05,0.000177265393192592,-0.000100189844717402,4.66644229225784e-05,7.31497897869823e-06,-2.19169987484845e-06,-0.000141986654234838,-6.12571766129869e-05,8.76015193316622e-06,4.05266380043147e-05,-4.25387971522652e-06,9.50324596903138e-07,0.000117990708341633,-0.035662146556279
"kabwe","beta1",1.57524552810419e-05,9.51703434859209e-05,-2.4470069853741e-05,-1.73044858169281e-06,1.15090382455183e-06,-1.55648972334458e-07,3.15487621788423e-05,-1.74545982420194e-05,2.31525101493755e-05,-5.32980315680208e-05,7.49403521700106e-06,5.11851838823688e-07,-0.000129642659640863,-4.08703100668852e-06,-1.3989093457363e-05,-3.08598910017565e-07,1.41252415487012e-05,2.59138185779572e-06,-2.0427515202994e-05,-7.03487705285878e-06,7.68859514308022e-07,5.80545780165602e-05,-7.89814886050992e-05,-7.23552557157828e-05,3.11788434825261e-06,1.64245077595169e-05,-8.68391469196586e-06,-8.43916040107642e-06,6.19171770226802e-07,-2.26801695154339e-05,5.21213891112322e-06,-3.79728138884064e-05,1.10645441106151e-05,2.27556648665478e-05,1.73195811052691e-05,-2.13664521295561e-05,-5.92259374745957e-06,-5.58598497453182e-05,-1.27300546975724e-05,2.54803625510662e-05,-5.08842939428352e-05,1.96254524027594e-05,-1.31628000820398e-05,-9.40554837298695e-05,1.79775519684575e-05,2.97333060982999e-06,-3.30719730878643e-05,-2.95204173835804e-05,6.00120762415273e-05,8.50041379368108e-05,-0.020712176578594
"kabwe","beta10",-1.65699893757585e-05,-2.4470069853741e-05,0.000196131112602783,-9.54344561860655e-05,5.4580448953251e-06,4.8280551907594e-05,-0.000129388729178078,4.44112473089807e-05,2.82605205619922e-05,1.33111676466555e-05,-1.60900704740257e-05,2.05131522485037e-06,-5.11460117496728e-05,-8.73488959634891e-06,1.89397043210397e-05,-1.42114995674472e-05,9.10633697748602e-07,1.58344341426521e-05,-3.05012666113418e-05,4.70019531490759e-05,-2.41704490413301e-05,-1.03314988831399e-05,-6.88145170447682e-06,-1.18197369163909e-05,-1.83422981269068e-06,-1.09698079248363e-05,4.1486275372819e-05,-6.75209334882909e-05,7.78671037146079e-05,-5.79022107754996e-05,2.43101786244027e-05,3.10768418706417e-05,-1.31243482125734e-05,-8.11177288684525e-05,-6.79301821414997e-05,0.00014387287784855,-6.43730613174891e-05,5.16083414173808e-05,-5.73791053684905e-05,3.78291463583829e-05,2.21197690080158e-05,-4.98477328351313e-05,8.94837849888646e-05,-1.81853163890142e-05,2.6744319358245e-05,-2.51492357584299e-05,6.34954273322075e-05,2.20169421238451e-06,-0.000124187275269608,-9.13137101753735e-06,-0.0205206525924012
"kabwe","beta11",-3.71699648112077e-05,-1.73044858169281e-06,-9.54344561860655e-05,0.000137137670999299,-5.79973830564249e-05,-5.45675795378609e-05,8.05761876459202e-05,1.53910490884354e-05,-5.28741155251071e-05,-1.60086362585809e-05,3.96934628092369e-05,-1.39622498940541e-06,0.000110629717478387,-5.20386767877257e-06,1.35086755180315e-06,7.79293188839052e-07,5.73981395047632e-06,-2.51601672337248e-05,3.76579423829321e-05,-3.72717899549023e-05,3.12106379852489e-05,-1.25887709753476e-05,3.33480245644719e-05,0.000124104193988303,-1.65874334692703e-05,8.56730047492348e-06,-3.89442298227444e-05,5.04669559075428e-05,-2.14906753278194e-05,4.31406780596853e-07,1.82847133841809e-05,-5.8005747646268e-05,3.6408181296095e-05,1.68780392384348e-05,3.7282079727196e-05,-7.75417733992579e-05,2.14678672090653e-05,2.53333527985845e-05,-7.38156666200215e-05,8.23649716279826e-05,-5.43390215249893e-05,7.62487253632155e-06,-3.54677631697791e-05,3.87006439409234e-05,-2.64846852668697e-06,2.48441377518705e-06,-5.89789362223915e-05,2.9113180859151e-05,2.5150788756052e-05,-5.20924036038518e-05,0.0480944488560462
"kabwe","beta12",-6.36349438308451e-06,1.15090382455183e-06,5.4580448953251e-06,-5.79973830564249e-05,9.3478651064898e-05,-2.21579095824942e-05,-4.45601920900671e-05,-2.84928310863954e-05,4.75284032674189e-05,2.94257704386436e-07,-2.12471482798674e-05,1.77474540644005e-05,-5.45474740369402e-05,-5.02080864464601e-06,4.71678783483723e-07,-8.56789641296279e-07,-9.91126783994008e-06,1.0916106966658e-05,1.71632958769098e-07,-9.89524189152391e-07,-3.53063562033892e-06,5.11478755565496e-06,-1.8828315709815e-05,-6.94592058052116e-05,8.2132093540516e-06,-2.4325645603825e-06,2.29002078286593e-05,-2.35688057852506e-05,1.22607082405629e-05,1.0718717159899e-05,-2.01635469169559e-05,5.82725320276281e-05,-1.89165505280639e-05,-2.52177505504318e-06,6.55222438813272e-06,1.94930289653e-05,4.10899592000526e-05,-3.59156296321119e-05,8.88890062692183e-05,-7.08488509426543e-05,3.40441875601367e-05,4.94441152079731e-05,-4.58298260140989e-05,8.06867130860157e-05,2.06505610780042e-06,2.53980054123948e-05,1.41129898228843e-05,-3.79516444842558e-06,-1.17119300300556e-06,-4.97756056977462e-05,-0.0177100537486129
"kabwe","beta13",6.3890493535367e-05,-1.55648972334458e-07,4.8280551907594e-05,-5.45675795378609e-05,-2.21579095824942e-05,0.000122087079879208,-9.22847170849816e-05,-2.76349163697609e-05,4.70199933652688e-05,2.20182051714847e-05,-3.68240528221423e-05,-1.99878112258042e-05,-0.000131032056995561,1.2494057931912e-05,9.13521913279407e-06,-1.95534157254108e-05,2.99045125642954e-05,-2.16480048117178e-06,-2.54675316571099e-05,2.3400963805406e-05,-2.54090262460521e-05,4.59003022919214e-05,-6.68042440536103e-05,-5.31074019029614e-06,4.78689384064042e-05,-4.35654834507331e-05,5.67540817805096e-05,-5.86357719817458e-05,3.81973861736573e-05,-1.24523941089595e-05,-1.70833612840074e-05,4.66948607376055e-05,-4.17446706022434e-05,2.09142842197727e-05,-6.07762614228874e-05,1.54216638044802e-05,-9.81753464239186e-06,-4.53652962840366e-05,4.87228622115598e-05,-1.36134457374501e-05,4.14099674843237e-05,-1.28571240019955e-05,-5.01725754990488e-06,-6.17284134978733e-05,-3.0671431635843e-05,-1.2784333428443e-05,7.66373363088334e-05,-5.50570895531215e-05,-5.12850542455375e-06,5.19246314342555e-05,-0.0412421306926581
"kabwe","beta14",-6.96202438112853e-05,3.15487621788423e-05,-0.000129388729178078,8.05761876459202e-05,-4.45601920900671e-05,-9.22847170849816e-05,0.000302494678786227,-7.755330608575e-05,-7.59407243048437e-05,-2.7504933289858e-05,3.09974564584701e-06,1.96623636686262e-05,0.000217962550221046,1.29846242968698e-05,-4.51084727798486e-05,3.86052145151215e-05,-2.25116383024781e-05,-4.75307273698298e-06,2.66595605328587e-05,-5.10363330778134e-05,6.30042721911089e-05,-5.8610597451413e-05,6.55785282179979e-05,-1.20186675594973e-05,-4.40894293149407e-06,-3.96027212137172e-06,-9.06320987853573e-05,0.000158643622662762,-0.000183200805676828,6.81503740807756e-05,-1.97065836692571e-05,-9.36972929912883e-05,6.19356270848554e-05,1.35927048126854e-06,3.05136715453401e-06,-0.000114564817866955,-5.01731465071208e-05,2.92166928032535e-05,-5.45857536711925e-05,-1.98828805779646e-05,-0.00011391208339744,2.3541875079342e-06,-2.25991678514203e-05,-5.61266350192225e-05,3.76527689698297e-05,-2.0763384641288e-06,-0.000148431282011347,4.59756480187058e-05,8.30297202770186e-05,0.00021104259123946,0.032980433420891
"kabwe","beta15",3.10614172038913e-05,-1.74545982420194e-05,4.44112473089807e-05,1.53910490884354e-05,-2.84928310863954e-05,-2.76349163697609e-05,-7.755330608575e-05,0.000169457179855892,-9.33665110429522e-05,-2.46098485637567e-05,9.3356574342019e-05,-3.0132706509457e-05,3.09375359141745e-05,-1.26750813192015e-05,2.06132920149823e-05,2.28242315820293e-06,-7.97735268360358e-06,1.81457585238535e-06,-2.77387043342323e-06,2.89812819787163e-05,-3.40663918974312e-05,1.08629087014602e-05,-9.42193366709309e-06,6.48650009738337e-05,-2.76645422287041e-05,6.6583386794527e-05,-2.82955816477636e-06,-5.86897848895589e-05,0.000100662044259877,-4.21495604348669e-05,3.96186598654789e-05,-4.89923172144758e-05,2.97395455174518e-05,1.72563236972377e-05,5.80062095148877e-05,3.46271002139773e-05,8.6348629316116e-06,2.89179486729702e-05,-7.54442032410137e-05,9.72567605142964e-05,1.31894461589473e-05,-3.52331786921351e-05,8.20875341027428e-05,-1.83702909275974e-05,-1.64644096206805e-05,-1.02188053306777e-05,2.42731775557106e-05,2.31526589147705e-05,-4.5207458771834e-05,-0.000102110061884222,0.031404798685702
"kabwe","beta16",-8.3088089740444e-06,2.31525101493755e-05,2.82605205619922e-05,-5.28741155251071e-05,4.75284032674189e-05,4.70199933652688e-05,-7.59407243048437e-05,-9.33665110429522e-05,0.00016217411027587,-1.50684937167012e-05,-0.000111565348186247,5.32376621783511e-05,-0.000170703069850035,-2.43938187099042e-05,1.89938455306079e-05,-2.64538999519674e-05,1.10516186562639e-05,1.59126116742131e-05,-1.96684725364833e-05,-7.73461182489259e-06,2.72368032718854e-06,1.57809528589496e-06,1.8069785762219e-05,-8.63834232007475e-05,-4.59733480716875e-06,-3.98573414251781e-05,2.15235986068482e-05,-3.51500725879755e-06,-9.97532045877131e-06,2.3547671994724e-06,-1.68117866878699e-05,6.57807897116468e-05,-9.77355936822181e-06,-3.77641403211926e-05,-1.82862683812693e-05,5.33001617710829e-06,6.25193293408547e-05,-2.52199756128643e-05,4.15162551918834e-05,-2.62546147326203e-05,1.4687089196019e-05,5.05300467586959e-05,-5.1717317372905e-05,7.15588953078443e-05,1.53755081419174e-05,4.80582197162468e-06,5.7301008874812e-05,-4.60263917027753e-05,1.87257652116711e-06,-7.76767367880977e-05,-0.0423128834499077
"kabwe","beta17",1.85057286282295e-05,-5.32980315680208e-05,1.33111676466555e-05,-1.60086362585809e-05,2.94257704386436e-07,2.20182051714847e-05,-2.7504933289858e-05,-2.46098485637567e-05,-1.50684937167012e-05,0.000178923775069121,-0.000115255837754287,1.2116642557322e-06,0.000124066678636236,2.39408986571333e-05,-3.84046594197176e-06,9.27899338089741e-06,-1.02566294660845e-05,-1.30725426064833e-05,1.4230625138203e-05,9.03599869346948e-06,6.66459802790535e-06,-4.02114029245544e-05,6.54545764013836e-05,7.14472006282548e-06,-3.30064280068677e-05,-1.06164195686426e-05,1.76340430682432e-05,5.70042077301026e-06,-5.75064380805755e-05,5.66224806705699e-05,-3.38266753664383e-05,4.55430767371417e-05,-2.60340961341801e-05,-6.86841115155261e-05,-0.000102751827513814,5.48919689194964e-05,-6.02869866214872e-05,5.53034711098603e-05,2.974113675618e-05,-7.52414207818583e-05,5.25267611933454e-06,1.89144646073668e-05,-2.4547414525052e-05,-1.92961203116851e-05,-5.35374464662089e-06,-2.66322859268354e-05,5.55367108364521e-05,2.12872559871098e-06,-2.91039008412962e-05,6.40865049125315e-05,-0.00666651842220751
