"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta43","beta44","beta45","beta46","beta47","beta48","beta5","beta6","beta7","beta8","beta9","p_G_D","start_date"
"kabwe","alpha_D",0.000106950898308128,-2.86963772270933e-06,-3.90961913253732e-05,2.40248784713635e-05,-1.16646328812168e-05,7.17476202808367e-06,4.67609216162611e-07,-4.38311082057322e-06,-2.36210433819506e-05,2.76035006960319e-05,-2.09229264184232e-05,2.73777052261941e-05,-2.22501142804361e-05,-1.98406548488145e-05,1.16757723116366e-05,3.85650889935164e-06,-4.39226772473578e-06,-8.56327933127881e-06,-8.55313160475593e-06,3.67410397862611e-06,1.15265232280466e-05,-1.41695965153396e-05,1.75305804098623e-05,-3.96023141696962e-05,-2.097978618664e-05,8.33166046470732e-06,2.47691855712039e-06,-1.49341416061559e-05,5.45571668354656e-06,-7.76713794256936e-07,7.37009064898803e-06,-2.46813300222135e-05,8.48057955064474e-06,4.33421161320684e-06,7.12131219995025e-06,5.6198724824376e-05,-8.71317898151415e-05,-1.63845210963666e-05,7.77932131241998e-05,-4.95425140039344e-05,2.26452656346366e-05,-1.90724065144073e-05,1.46557387348624e-05,-1.92212146394975e-05,6.93017634566883e-06,-1.71573741458393e-06,2.12548954349081e-05,-2.11705676057855e-07,6.5117138407968e-06,-2.42207702688579e-05,-0.00592552682214038
"kabwe","beta1",-2.86963772270933e-06,7.78636472963511e-05,7.30071752450385e-06,-6.22797455078647e-06,2.10992117858578e-07,-1.01882685398181e-05,8.38013063831339e-06,-1.93562790225593e-05,4.14517380607345e-05,-2.72405754090446e-05,-2.94907603800418e-07,-2.48743221723048e-06,-4.46540502217702e-05,1.33066682229116e-06,-7.42578595094199e-06,1.41091791103326e-06,-1.59655056000655e-06,1.09812771641746e-05,-1.56998318372034e-05,1.81595786388224e-05,-2.19735567131076e-05,-2.53340292721654e-06,-4.0219320749327e-05,-4.81316922199632e-05,1.97731179539047e-05,3.40624888138985e-05,2.04641844314777e-05,-3.61321727276121e-05,1.92264135850888e-05,-2.05899928567944e-05,7.56568418252764e-07,1.281764534394e-05,-1.60514010440668e-05,2.11668411273713e-05,2.83240458477345e-05,-5.37442057087904e-05,3.9202214783317e-05,-6.36350157172148e-05,7.32201850828961e-05,5.76113028337599e-05,-5.37697940220909e-05,-3.10304811478988e-05,3.01886122787803e-05,1.45113320435909e-05,-1.47703766820941e-05,-2.13049780617925e-06,-7.07789813258501e-06,1.95128717413486e-05,1.5457502916273e-06,-5.5353086464714e-06,-0.000496755374630798
"kabwe","beta10",-3.90961913253732e-05,7.30071752450385e-06,0.000267194748909948,-0.000167752529450787,6.57444785767105e-05,-5.77718588297572e-05,1.84647825104355e-05,3.04162186940413e-05,1.53665107416092e-05,-2.80934798038408e-05,-4.90952616628341e-06,1.09180426605306e-05,-7.7348911785355e-05,-1.62747908334747e-05,2.32395910826659e-05,3.88115691088373e-07,-2.3435702627572e-05,3.7757278560771e-05,2.21470267382974e-06,3.00812948025151e-05,-6.94437561516074e-05,5.68069462216718e-05,4.74733012805277e-05,0.000177282503361524,-1.84801832002363e-05,6.31177445156647e-06,-2.31995956877314e-05,3.54532110165042e-05,4.23020150455388e-05,-2.36322802596617e-05,3.65337072989142e-05,3.507357179154e-05,6.2084173758894e-06,-4.65391853786251e-05,-1.59271943197138e-06,6.75324336919801e-05,8.72522466133205e-05,0.00011818864396479,-0.000127944769892906,-4.56690725319436e-05,0.000160275410369393,-1.00507149330834e-05,-2.42486533553903e-05,0.000116952472766259,-2.22314371885435e-05,7.60913316674315e-06,-2.99681161786123e-05,3.9130076501395e-05,-0.000133319045333388,-8.80462564038352e-05,0.0169690983304211
"kabwe","beta11",2.40248784713635e-05,-6.22797455078647e-06,-0.000167752529450787,0.000153514438014657,-6.91220210542276e-05,5.38202506400799e-05,-3.68331144954838e-05,-1.81996292808412e-05,-7.23417034599225e-06,1.4608583474646e-05,1.71824770913542e-06,4.75734551388818e-06,-4.96754469544931e-06,-7.31669268225265e-07,-4.6871145664e-06,-2.05426838200752e-05,4.53088912324823e-05,-4.84066490820717e-05,1.39247971966265e-05,-3.06928768325031e-05,5.67443354750997e-05,-3.38366422910906e-05,-3.47170087281267e-05,-0.000105980624680183,-1.7776599007634e-05,1.96688280870828e-05,4.37427304219652e-06,-1.46783099004409e-05,-2.77864110321417e-05,4.80258812924876e-06,-2.74234061228566e-05,1.92945774107476e-06,-4.35531850424761e-05,5.40719426894637e-05,5.70408559221394e-06,-2.85758681734338e-05,-8.44550518504547e-05,-6.70002265605671e-05,7.82709675576412e-05,9.72289815790309e-06,-9.04136418510707e-05,1.7398608150416e-05,-8.42777478236797e-06,-7.63762340684958e-05,1.60171243780174e-05,-3.35782559609405e-05,5.59058648762578e-05,-1.90932235008058e-05,5.2588627187392e-05,6.44402569886492e-05,-0.0213206126928665
"kabwe","beta12",-1.16646328812168e-05,2.10992117858578e-07,6.57444785767105e-05,-6.91220210542276e-05,8.1258612840512e-05,-9.08859561068754e-05,3.94787137153085e-05,1.13699642947987e-05,-1.23016909288615e-05,4.42931804287638e-06,-1.77572541387724e-06,-8.61778906479429e-07,-4.01530164765398e-07,-7.81773240198425e-06,1.12709569195329e-05,1.9749964735187e-05,-3.12858584301326e-05,3.68934703159465e-05,-3.77545790675836e-05,4.19788522424945e-05,-3.2499087813416e-05,2.41116495139844e-05,3.7655715223944e-06,5.1886551892161e-05,2.31573616814074e-05,-3.01968516162301e-05,-6.03491515178755e-06,1.85652711314027e-05,7.53031159029726e-06,8.67219533160837e-06,-4.49132166795141e-06,4.10394879048439e-05,-2.30498186963119e-05,-3.12779662603653e-06,-1.42477316417149e-05,-1.31436160377014e-05,7.48832684131292e-05,6.14059165784463e-05,-8.38865429131161e-05,-2.82922563232586e-06,5.77900372857215e-05,-3.29224724310082e-05,4.27032385354425e-05,4.34242392357806e-05,-2.07872097633647e-05,2.57332059538639e-05,-1.48980922454351e-05,-2.07940447534109e-06,-2.48804211049606e-05,-5.74403458147729e-05,0.00503600179485693
"kabwe","beta13",7.17476202808367e-06,-1.01882685398181e-05,-5.77718588297572e-05,5.38202506400799e-05,-9.08859561068754e-05,0.000204157690632861,-0.00015830915942313,2.29259715128062e-06,5.22067552845651e-06,2.55873345132432e-05,-2.36438059839335e-05,3.24844503423656e-06,7.33837446876016e-05,2.14505438108822e-05,-2.86534605554485e-05,-6.9692480646752e-06,1.8893184648477e-05,-3.40581093298045e-05,3.93528283959484e-05,-4.86786450501752e-05,5.86993033154041e-05,-4.19811850854596e-05,1.43923924004598e-05,-4.29267178635942e-05,-6.34037786890668e-05,5.23189528165266e-05,-3.74307893145611e-05,2.7203849851694e-05,-3.80495642295237e-05,-6.31039388588171e-06,-7.05520263502535e-06,-6.12693005676386e-05,5.07743694757376e-05,1.19045567525608e-05,2.21856438088361e-05,4.39899407824726e-05,-0.000202740362687911,-6.04516173848002e-05,0.000137723065070694,-2.47474189131713e-05,-0.000125765188876784,7.14127210752759e-05,-6.16044531837346e-05,-2.1637155259727e-05,3.98224451792062e-05,-3.47557155916476e-05,2.08711724312922e-05,-2.02183334485036e-05,3.3393838682915e-05,0.000108488113184886,0.0150448965463974
"kabwe","beta14",4.67609216162611e-07,8.38013063831339e-06,1.84647825104355e-05,-3.68331144954838e-05,3.94787137153085e-05,-0.00015830915942313,0.000207665474429375,-5.6737038532764e-05,2.21019925676192e-05,-3.61247420403396e-05,2.63639499218053e-05,-5.74027090062219e-06,-8.2521180657354e-05,-4.23478177002317e-06,1.59563443573867e-05,-1.15657499842653e-05,3.56560768409744e-06,8.93840098145941e-06,-3.69152680427348e-08,1.40742358311655e-05,-5.73449962514945e-05,3.35063619519382e-05,-1.31543768146934e-05,1.89256963110626e-05,7.41558442893117e-05,-4.96340843108839e-05,8.34692623368809e-05,-8.76810179041435e-05,5.73993432825359e-05,4.45903064366509e-06,2.04773160213008e-05,4.62994915050812e-06,2.05168423931572e-05,-6.32178738854815e-05,-2.47645214194396e-05,-3.80812899717613e-05,0.000194100475855187,-9.26259029526379e-06,-3.05248849337035e-05,3.57998625449954e-05,8.24996674645388e-05,-4.98508388905625e-05,2.79892201164047e-05,6.86488699090419e-07,-1.88699422611974e-05,1.62367093761629e-05,-4.66286221129909e-05,4.77853052171861e-05,-1.26433356103137e-05,-5.70895745563465e-05,-0.0228332567509784
"kabwe","beta15",-4.38311082057322e-06,-1.93562790225593e-05,3.04162186940413e-05,-1.81996292808412e-05,1.13699642947987e-05,2.29259715128062e-06,-5.6737038532764e-05,0.000124356496539997,-9.06108823810361e-05,1.27561227955503e-05,3.88186772217471e-06,-8.25749281500322e-07,4.22258539407724e-05,-1.72704802946187e-05,1.83219199929298e-05,1.27329341934888e-05,-1.60020724750055e-05,4.96049462663126e-06,4.03183012466023e-06,2.50754428987383e-06,1.35451322650234e-05,-7.06398155110904e-06,4.59712701781263e-05,3.48215694419293e-05,-1.20976498673456e-05,-6.9322713928115e-06,-7.28546553052933e-05,8.62912179442323e-05,-2.86597264068876e-05,5.24423263438794e-06,1.70885672510117e-05,-1.58148484632964e-05,-3.15924753009726e-05,4.94427256722003e-05,5.84360023519699e-06,5.52076730397566e-05,-1.64824289447358e-05,3.08176362188724e-05,-0.000104361596507041,-1.89338926144964e-05,3.7952184390991e-05,1.07795729924441e-05,-7.48534246045893e-06,-1.95443915944196e-05,-1.59794417315354e-05,3.26401582977796e-05,2.1899184524629e-05,-4.46561166869973e-05,-6.52171970023769e-06,4.01049032294944e-06,0.0158767023491674
"kabwe","beta16",-2.36210433819506e-05,4.14517380607345e-05,1.53665107416092e-05,-7.23417034599225e-06,-1.23016909288615e-05,5.22067552845651e-06,2.21019925676192e-05,-9.06108823810361e-05,0.000162825862546473,-9.40132699818112e-05,-3.17858584694286e-06,-1.2544725111085e-05,-5.9728029748517e-05,2.08751097521082e-05,-1.72591622847736e-05,-1.04656247689166e-05,2.75270151466471e-05,-2.3481332545203e-06,-1.48907205421876e-05,2.88568421771895e-05,-4.89521064000878e-05,2.34404703626982e-05,-4.5604558898145e-05,-1.95635628504783e-06,1.47578164511553e-05,2.04010113162307e-05,7.02284935242445e-05,-4.97944807481616e-05,2.31765714081131e-05,-6.73515354292495e-06,-5.10158927826305e-07,1.04818519018419e-05,6.52611337534354e-05,-5.21084439153932e-05,4.73129980504074e-05,-6.93148538672326e-05,6.76485637836877e-05,3.47054224022468e-07,5.59474305412491e-05,6.14247458315626e-05,-5.15084229371395e-06,-1.46835491070397e-05,1.59752662706415e-06,3.53138958342764e-05,7.86340173630858e-06,-4.18634641645772e-05,-4.18438802428874e-05,5.90793780723202e-05,-1.57876982797091e-05,-4.74533860354315e-05,-0.00363677936466581
"kabwe","beta17",2.76035006960319e-05,-2.72405754090446e-05,-2.80934798038408e-05,1.4608583474646e-05,4.42931804287638e-06,2.55873345132432e-05,-3.61247420403396e-05,1.27561227955503e-05,-9.40132699818112e-05,0.00016452359751357,-8.13854864369122e-05,2.81749342814845e-05,0.000108980992917132,-2.16432753325351e-05,1.68863661170658e-05,1.31902222624148e-05,-4.43604071933503e-05,2.40078443050193e-05,-2.41838139130698e-07,-2.13520899984164e-05,2.55796603341625e-05,-2.57713394240338e-05,3.92220684095946e-05,-8.88281718786884e-06,-5.24583187018696e-05,2.40550981197505e-05,-5.30898188837466e-05,2.9335612666664e-05,-3.14191435035224e-05,2.73376130138299e-06,-3.81279931940448e-05,3.07017190291113e-05,-4.88334424416534e-05,6.22199584034294e-08,-4.76373326675466e-05,7.76321532177058e-05,-0.00015039383108401,-1.50781703032042e-05,3.69643975550685e-05,-7.6016670877274e-05,-2.49549524216639e-05,-9.25929760317065e-06,1.72629786072386e-05,-1.48147289553733e-06,-1.00858671376727e-07,2.85067924687114e-05,8.98161611933048e-06,-2.66805167532364e-05,1.6848997736189e-05,6.65002903812479e-05,0.00942542571012482
