"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000231379737999889,3.56500283542534e-05,3.54939147666499e-05,-8.16268596837947e-05,-6.72786629005089e-06,4.72021025916369e-05,8.74862284833172e-06,5.5505344653589e-06,2.77739659111936e-05,3.24375788782525e-05,-0.000110678091211232,2.43685294074691e-05,-6.82659638733955e-05,5.21895010534409e-05,1.33913045441846e-05,-2.13241954537363e-06,9.74182806812608e-06,5.37771967724951e-06,1.35118567648201e-05,-0.000107653060879189,2.55979778574483e-05,4.82789362132311e-06,0.00015520047608118,6.32620919578729e-05,-0.000184882288308329,0.000111528084006933,2.98118101501594e-05,5.50855966518612e-05,-9.9237999763785e-05,-6.01273987939739e-06,6.0572795950205e-05,-7.05042562471289e-05,-1.6255993130878e-06,7.27261951456438e-05,1.89334487945348e-05,-0.000107904129620752,-0.000124520484248546,6.39092781438551e-05,-3.70866703976892e-06,6.5888908031987e-05,-7.12519810126435e-05,-1.7213310150743e-06,4.81625824890543e-06,-0.000152628763703799,-0.00108544207603874,2.31868977858338e-05,0.00104702469312117
"kabwe","beta1",3.56500283542534e-05,9.46675733009062e-05,1.20270783037122e-05,-3.74758323130989e-05,2.03742765901019e-06,1.63043044740172e-05,1.12543590756091e-05,8.39357232682677e-06,8.82748989221849e-06,-1.59797772332869e-05,1.22291485646241e-05,2.11669318499053e-05,-3.99577201562338e-05,4.24002889341409e-05,-3.99759322414013e-06,-5.8549523412535e-05,1.27151607656224e-05,1.85486866947777e-05,8.47421132518932e-06,6.37632961353731e-06,-2.46495901988962e-05,5.08456638455075e-05,2.57652262945056e-05,4.81005581886369e-05,-7.28219514496767e-05,3.23596122017241e-05,4.15406674841671e-05,2.65950712912179e-05,-1.18905060662076e-05,-3.19035460894161e-06,4.47310902631231e-06,-4.29031114677885e-05,4.61763204479033e-05,3.07237795765092e-05,-2.01479041685645e-05,-7.79748548095415e-06,-4.30973935626258e-05,2.92861933958808e-05,1.44242091949956e-05,5.06347207582061e-05,-4.77793567723808e-05,1.50405474345121e-05,4.31991215207491e-06,0.00128250446137425,-0.000526821378406466,-0.000104194550639747,-0.000821341676783688
"kabwe","beta10",3.54939147666499e-05,1.20270783037122e-05,2.00728914424477e-05,-1.33393344302715e-05,-1.0238747741547e-05,9.03568953602611e-06,-5.47524521805109e-07,-5.64328128916821e-06,-1.38432402714446e-06,5.51088150187515e-06,3.25824682210636e-06,6.18601901253908e-06,-1.45993713539185e-05,2.41561501109665e-05,-1.61423887785616e-05,-8.08826754824643e-06,5.51668086338305e-06,-2.94785231708775e-06,7.51771443331765e-06,-2.30949206413038e-05,4.01119951082138e-06,-4.78296170300339e-07,4.57484905651443e-05,3.19826019983013e-06,-4.97928120265387e-05,1.69496299452657e-05,2.8538817210201e-05,-4.55435553002519e-06,-2.14055253125076e-05,2.47169755395991e-06,1.46663907430306e-05,-6.19250511197148e-06,-7.67971726661053e-06,1.02192333367056e-05,-3.79458759566191e-06,7.95336895723529e-06,-2.82351175547896e-05,2.62400345736113e-05,1.791677125869e-05,1.11378495752263e-05,-1.55098738813362e-05,-2.46564281517082e-07,-5.35743629361378e-06,0.000202504631546284,-0.000159977977734787,-2.58490990602848e-05,0.000472363800204604
"kabwe","beta11",-8.16268596837947e-05,-3.74758323130989e-05,-1.33393344302715e-05,6.40848501857648e-05,-1.40843031858231e-05,-1.61266336762982e-05,-2.15424801454658e-05,6.66764590050652e-07,-3.84569026127224e-06,-2.19637041403966e-05,4.62118723650886e-05,-1.93130683474156e-05,3.18997622737961e-05,-2.80240872686076e-05,-2.90006215940531e-05,3.68421180961852e-05,-1.61123717760343e-05,-1.81159863383871e-05,7.57555904041513e-07,1.33433583021734e-05,6.94647311810662e-06,-6.03297175978389e-05,-3.54903043905184e-05,-4.15636178028019e-05,8.85198938657973e-05,-4.34941777346124e-05,-3.87249530255147e-05,-4.11119173123576e-05,3.59817685211647e-05,-1.90164845725653e-05,-2.15831065228969e-05,6.26280227583135e-05,-3.78480657168801e-05,-7.97048001572276e-05,-1.37368930284446e-05,4.37349384644428e-05,6.91777669877035e-05,-4.19202801619065e-05,-1.37373766987702e-05,-5.38844176016447e-05,7.19590673659475e-05,-2.39878387823728e-06,-8.20534955756742e-06,-0.000259627354287719,0.00110105210444569,1.36296363662156e-05,0.00168900972178655
"kabwe","beta12",-6.72786629005089e-06,2.03742765901019e-06,-1.0238747741547e-05,-1.40843031858231e-05,4.66958432303471e-05,-1.14946317579289e-05,1.315732160875e-05,-6.55290077626976e-06,-3.98398591756865e-06,1.53907452460684e-05,-3.48837612818729e-05,-1.07165175429888e-05,-2.12765081066787e-05,-1.12808855440302e-05,3.92655342190499e-05,-4.58092079963971e-06,-8.19560129779636e-06,2.61178325846041e-06,-8.23443789445207e-06,3.06583080978002e-05,-3.06482646422044e-05,5.84826455005822e-05,-8.02963479557296e-05,1.41512696330571e-06,2.67547332164167e-05,-5.24011537487225e-05,1.83722313862565e-05,3.65961152711425e-05,-1.71480120195539e-05,1.70377601238408e-05,-2.00280641832776e-05,-2.99826286104065e-05,1.36627354691618e-05,4.67757305225264e-05,1.64928749199722e-05,-9.04430327793894e-05,4.26742595469036e-05,-6.10471958050142e-05,-1.78750376975367e-05,1.97072539217811e-05,-4.02116525943937e-05,2.39268151200803e-05,-6.84784196790423e-06,0.000140232409874252,-0.000453416715100329,7.02353899276498e-05,-0.0035238898920748
"kabwe","beta13",4.72021025916369e-05,1.63043044740172e-05,9.03568953602611e-06,-1.61266336762982e-05,-1.14946317579289e-05,4.70370256510781e-05,-1.05476896529477e-05,-1.23886145664759e-05,7.36267742105904e-06,5.88903705477344e-06,-3.6530416005688e-05,2.17110042557116e-05,-2.42080591907338e-05,9.56321965541775e-06,1.03661321204658e-05,-9.02464993982577e-06,3.6602387480575e-06,-4.51485451223286e-06,1.54757660433234e-05,-1.81800523101867e-05,-1.7232038335299e-05,-5.33562070927152e-06,5.87857671756821e-05,1.35330051422846e-05,-1.97514130416381e-05,1.13304584219872e-05,-1.51307346110449e-05,4.4573931575526e-05,-1.84654329139402e-05,-1.33659344986113e-05,9.03352291816953e-06,-2.35316887834721e-05,2.91149023694137e-05,2.71029069250489e-05,6.32984908065299e-06,-4.31818407885216e-05,-3.76018533894048e-05,1.68378160584162e-05,-1.32934070159389e-05,1.9260100009569e-05,-9.0440815852365e-06,5.23954540723475e-06,-1.56119081787162e-07,-0.000294713792472966,-0.000389435306499551,4.87756138503023e-05,0.000166319641161067
"kabwe","beta14",8.74862284833172e-06,1.12543590756091e-05,-5.47524521805109e-07,-2.15424801454658e-05,1.315732160875e-05,-1.05476896529477e-05,3.51289696288393e-05,5.27561852618146e-06,-2.24401570306106e-05,4.62721990913393e-06,2.99360350985318e-06,-2.57699955604888e-06,1.32720873644726e-05,8.79039661959759e-06,6.57667643966516e-06,-1.87754178891275e-05,4.1691307552224e-06,1.81021863695982e-05,-3.71919717927473e-06,9.57817888666497e-06,-1.99785668956415e-06,4.03595216500879e-05,-1.59199812543771e-05,1.47444181229849e-05,-3.89741599537921e-05,2.50776116578303e-05,2.59247249399351e-05,3.71191357408348e-06,-1.00934118904388e-06,1.26355407202914e-05,3.19872057383599e-06,-2.62632732017206e-05,2.17514073720836e-05,3.01915008608957e-05,1.83245895686519e-06,1.83989087358112e-05,-2.92895591798434e-05,2.45453846190152e-05,1.77411059757218e-05,1.70669549416193e-05,-2.18811765348206e-05,-1.67229558509981e-05,7.3776800922928e-07,0.000270521743298042,-0.000221043776345371,-2.48237535784726e-05,-0.000105272459000356
"kabwe","beta15",5.5505344653589e-06,8.39357232682677e-06,-5.64328128916821e-06,6.66764590050652e-07,-6.55290077626976e-06,-1.23886145664759e-05,5.27561852618146e-06,4.38066033483974e-05,1.07140244714338e-07,-1.28601146706369e-05,-7.83654689855621e-07,-1.40027492340322e-05,2.42576517562064e-05,-1.39789655720314e-05,-7.23521708445227e-06,2.65841043149508e-05,-2.15000016591052e-05,1.34106375199221e-05,-3.34563425305337e-07,-5.73068743671782e-06,3.16918412680138e-05,-2.33401193646659e-05,-3.47967475945399e-06,1.53689044406873e-06,3.49671723010027e-06,7.95702268199124e-06,-2.98576724024556e-06,-4.09155803982931e-06,-1.90104975293813e-06,-2.96789534779786e-06,-5.46800432732249e-06,1.68989837560486e-05,-7.80557967960727e-07,-4.02891001498857e-05,-1.04358561852953e-05,1.94333288924347e-05,-1.51214473186096e-05,-1.09692985783006e-05,6.90938861803168e-06,-6.41538995076974e-06,9.73244423997731e-06,-1.70874263538717e-05,8.7116051271063e-06,-7.94415587646696e-05,0.000360704474202805,-2.60281462944793e-05,0.000380488872662332
"kabwe","beta16",2.77739659111936e-05,8.82748989221849e-06,-1.38432402714446e-06,-3.84569026127224e-06,-3.98398591756865e-06,7.36267742105904e-06,-2.24401570306106e-05,1.07140244714338e-07,5.04373987440194e-05,7.98922281542373e-06,-5.56658272884575e-05,5.5867848754643e-06,-3.07904677096996e-05,-4.31543298872717e-06,1.14616152765978e-05,3.19711033629541e-05,-1.78759489070638e-05,-1.65588945661041e-06,1.74141009548177e-06,-2.57271028688034e-05,8.10245004454542e-06,-2.89648974496162e-05,3.78308567110254e-05,2.23230614353012e-05,-2.59847221463618e-06,-6.27490624650973e-06,-9.90602694552743e-06,1.72750212941561e-05,-2.23799808016353e-05,-1.03570702330541e-05,2.4054903003689e-06,3.94873053552471e-06,-1.11256454779307e-05,-1.90184378696149e-05,4.73440049156039e-06,-6.06508811617498e-05,-8.87865161427479e-06,-1.57233755567993e-05,-2.40269495957091e-05,1.97437623351676e-05,-1.67841599687415e-05,1.6193026494117e-05,5.17093332053963e-06,-0.000194873326104351,-0.000232002117472005,2.43970456221501e-05,-0.00120613257834632
"kabwe","beta17",3.24375788782525e-05,-1.59797772332869e-05,5.51088150187515e-06,-2.19637041403966e-05,1.53907452460684e-05,5.88903705477344e-06,4.62721990913393e-06,-1.28601146706369e-05,7.98922281542373e-06,7.9758060457532e-05,-0.000130102503732739,-7.0466796525745e-06,-5.1523007023346e-05,-1.48707108930698e-05,4.20979138131272e-05,3.5636497724778e-05,-1.26585884120876e-05,-2.44373141666592e-05,2.18010250749796e-05,-3.61005817856294e-05,1.1973591654408e-05,-2.35476325668265e-05,4.82390201080839e-05,3.61771148784889e-07,-8.54565517290257e-06,-4.15699154743619e-05,2.54192524561662e-05,2.43008499608518e-05,-3.62717116976951e-05,1.77852620662153e-05,3.33039392001338e-06,-6.73863654163716e-06,7.10838998526495e-06,-6.36786988733595e-06,3.08695946345875e-05,-0.000104507557912503,-3.96156598742725e-06,-3.22135728151229e-05,-1.15391545927861e-05,1.79883797294321e-05,-5.53757401875683e-05,1.56444553457175e-05,-7.10915627670154e-06,-0.00153955318322801,-0.000871257288997376,0.00016756777626103,-0.00468686879485595
